PRIVATE  DOMESTIC  -  AVERAGE  RENTS  BY  CLASS [QUARTERLY[82-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Kowloom,Class A New Kowloom - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Kowloon,Class B New Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Kowloon,Class C New Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Kowloon,Class D New Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Kowloon,Class E New Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
01-03/1982,78.5,,83.9,,73.1,,54,,73.1,,86.9,,62.4,,51.1,,87.6,,86.4,,61.3,Z,57.5,Z,108.5,,100.5,Z,89.4,Z,76.2,Z,122.7,,135.5,Z,-,,68.5,Z
04-06/1982,80.2,,91.4,,73.7,,56.3,,73.4,,83.8,,61.5,,53.4,,85,,90,,66.7,,39.5,Z,106.7,,84.2,,86.6,Z,68.3,,120.1,,68.2,Z,74.1,Z,76.1,Z
07-09/1982,76,,93.2,,72.7,,54.3,,74.1,,80.5,,63.6,,49.4,,82.7,,77.9,,72.8,,67.1,,103.4,,87.9,,81.9,,75,Z,122.6,,68.3,Z,74.1,Z,68.4,Z
10-12/1982,77.7,,90.3,,74.3,,60.3,,73.3,,85.5,,65.4,,51.4,,86.7,,73.1,,70.4,,64.3,,100.8,,89.2,,84,Z,76,Z,106.2,,98.6,Z,57.7,Z,52.5,Z
01-03/1983,77.5,,91.6,,72.3,,51.9,,73.8,,81.9,,59.6,,48.2,,76.7,,84.6,,68.9,,58.4,Z,95.4,,74.5,Z,68.9,Z,70.3,Z,97.8,,64.9,Z,71.7,Z,-,
04-06/1983,71.6,,97.1,,76.3,,52.5,,71.4,,79,,58,,48.9,,77.9,,78.1,,68.1,Z,43.6,Z,87.2,,69.7,,69.2,Z,58.9,Z,90.9,,-,,63.5,Z,54.4,Z
07-09/1983,70.7,,75.3,,69.7,,53.7,,66.8,,60.6,,57,,51.2,,75.5,,66.5,,71.7,,56.1,,86,,66.3,,72.4,Z,46.4,Z,96.4,,85.5,Z,62,Z,57.1,Z
10-12/1983,72.2,,74.2,,71.4,,54.4,,63.6,,62.4,,59.7,,48.8,,62.8,,68.6,,63.8,Z,54.1,,78.4,,62,,61.5,,55.1,Z,84.6,,87.2,Z,57.2,Z,43.1,Z
01-03/1984,69.7,,72.2,,67.8,,52.9,,63.2,,66.1,,56.8,,46.8,,65.3,,67.3,,58.5,,40.7,Z,75.1,,57.6,,60.4,,54.3,Z,79.8,,60.7,Z,70,Z,52,Z
04-06/1984,69.3,,75.4,,71,,53.8,,65.1,,65,,56.2,,44.6,,65.3,,67.9,,60.2,,45,,73.8,,56.5,,68.3,,53.7,,86.5,,65.8,Z,44.9,Z,42.7,Z
