PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [ANNUAL[86-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Kowloom,Class A New Kowloom - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Kowloon,Class B New Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Kowloon,Class C New Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Kowloon,Class D New Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Kowloon,Class E New Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
1986 ,9134,,8968,,8944,,7635,^,9166,,7046,,7841,,6889,^,9760,,8451,,9426,,7686,^,10982,,9431,,10272,,7772,^,12080,,11386,,7471,Z,6534,^
1987 ,10975,,10837,,10896,,9454,,10868,,8187,,9573,,8663,,11631,,10182,,11212,,10092,,12209,,11373,,12029,,9741,,13708,,10369,Z,13194,,8284,
1988 ,13940,,13852,,13641,,12112,,13911,,10906,,11890,,11472,,14714,,13107,,13856,,12315,,15655,,13646,,15338,,12147,,17163,,17628,Z,17004,,11124,
1989 ,18076,,17698,,16729,,14379,,18343,,14670,,15149,,14102,,18949,,17278,,17286,,14150,,20089,,17054,,18914,,14790,,21751,,20823,Z,21226,Z,12827,
1990 ,20775,,19590,,18497,,15909,,20976,,16347,,16435,,15650,,20698,,19079,,19420,,12666,,20514,,18087,,20118,,15498,,20174,,24425,Z,19459,,15038,
1991 ,27917,,25422,,24391,,23145,,28755,,21926,,22818,,22454,,28505,,25486,,24902,,19100,,27100,,22185,,26156,,20863,,25490,,28536,,24767,,19910,
1992 ,38930,,34552,,32696,,32881,,41152,,30676,,30624,,32539,,44019,,35934,,36137,,30623,,42941,,33326,,38485,,34200,,40902,,41588,,40137,,30146,
1993 ,42905,,37770,,36605,,36019,,48154,,36473,,39405,,37002,,52781,,44805,,43343,,34669,,53242,,39920,,45297,,41822,,52759,,49305,,50831,,40966,
1994 ,52209,,42682,,41775,,41203,,62044,,42067,,48388,,42189,,72028,,54335,,51973,,42908,,74627,,47392,,61870,,53548,,82911,,63661,,69898,,59010,
1995 ,49324,,41369,,39629,,38883,,56066,,39609,,46166,,39424,,63740,,49584,,48274,,39713,,67433,,47376,,56909,,47929,,74031,,65824,,62785,,53362,
1996 ,52369,,43721,,43193,,41713,,62125,,42836,,52297,,43230,,74573,,55321,,54927,,46601,,82364,,52923,,60582,,54889,,93657,,74247,,80924,,58670,
1997 ,69206,,56544,,57460,,59323,,83159,,54523,,69868,,59899,,104021,,77485,,81436,,72566,,115082,,79841,,84798,,79521,,135544,,128516,,122631,,80549,
1998 ,50687,,42155,,41422,,42063,,57203,,40880,,47876,,40935,,71676,,61639,,51428,,49259,,77009,,71109,,59678,,51977,,88213,,96633,,79249,,56499,
