PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [QUARTERLY[82-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Kowloom,Class A New Kowloom - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Kowloon,Class B New Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Kowloon,Class C New Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Kowloon,Class D New Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Kowloon,Class E New Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
01-03/1982,9879,,9990,,8615,,N.A.,,10126,,9145,,7559,,N.A.,,10844,,12889,,9019,,N.A.,,13791,,11929,Z,9897,,N.A.,,16987,,14689,Z,12664,Z,N.A.,
04-06/1982,9562,,9598,,7858,,N.A.,,9892,,8604,,7374,,N.A.,,10601,,10356,,8234,,N.A.,,13051,,10526,Z,9618,,N.A.,,15276,,-,,9704,Z,N.A.,
07-09/1982,9156,,8896,,7576,,N.A.,,9698,,7553,,6935,,N.A.,,10461,,10826,,7105,,N.A.,,11775,,9984,Z,8901,,N.A.,,15078,Z,-,,9027,Z,N.A.,
10-12/1982,8602,,8185,,7334,,N.A.,,8923,,7164,,6816,,N.A.,,9917,,8135,Z,7452,,N.A.,,10391,,8942,Z,7782,Z,N.A.,,14742,Z,20270,Z,-,,N.A.,
01-03/1983,8620,,8007,,7622,,N.A.,,8440,,6565,,6555,,N.A.,,8525,,8133,,6764,,N.A.,,9225,,8054,,7613,,N.A.,,10460,,8757,Z,10634,Z,N.A.,
04-06/1983,8493,,7999,,7551,,N.A.,,8295,,6552,,6640,,N.A.,,8319,,7438,,6678,,N.A.,,9227,,7520,,7600,,N.A.,,9763,,8531,Z,9286,Z,N.A.,
07-09/1983,8146,,7764,,7322,,N.A.,,7905,,6468,,6287,,N.A.,,7457,,7655,,6590,,N.A.,,8770,,7711,,7181,,N.A.,,9112,,10143,Z,9112,Z,N.A.,
10-12/1983,7883,,7316,,6847,,N.A.,,7448,,6031,,6152,,N.A.,,7207,,7393,,6161,,N.A.,,7569,,7092,,7171,,N.A.,,7402,,6855,Z,9038,Z,N.A.,
01-03/1984,7861,,7387,,6954,,7222,#,7691,,6184,,6235,,7364,#,7658,,6924,,6510,,6719,#,8076,,6948,,6742,,6044,Z#,8387,,4624,Z,-,,6478,Z#
04-06/1984,7928,,7602,,7093,,7454,#,7768,,6155,,6386,,5409,#,7724,,6835,,6494,,7422,#,7891,,6914,,7287,,5958,Z#,8314,,6235,Z,-,,6602,Z#
