PRIVATE  DOMESTIC  -  RENTAL  INDICES  BY  CLASS  ( TERRITORY-WIDE ) [MONTHLY],,,,,,,,,,,,,,,,
Month,Class A,Class A - Remarks,Class B,Class B - Remarks,Class C,Class C - Remarks,Class D,Class D - Remarks,Class E,Class E - Remarks,"Classes A, B & C","Classes A, B & C - Remarks",Classes D & E,Classes D & E - Remarks,All Classes,All Classes - Remarks
01-1993,95,,92.8,,96,,92.2,,83,,94.2,,87.3,,92.4,
02-1993,95.5,,93.2,,99.8,,92.7,,84.6,,95.1,,88.4,,93.4,
03-1993,95.1,,93.3,,98.9,,91.7,,86.8,,94.9,,89.1,,93.3,
04-1993,95.8,,94.5,,99.8,,95.3,,86.2,,95.8,,90.4,,94.4,
05-1993,95.1,,94.5,,98.7,,95.6,,87.5,,95.4,,91.3,,94.3,
06-1993,96.3,,96.2,,101.3,,96.1,,89,,97.1,,92.4,,95.8,
07-1993,96.2,,99.6,,101.3,,99.6,,89.6,,98.6,,94.3,,97.5,
08-1993,98.1,,100.3,,104.4,,100.2,,93.1,,100.1,,96.5,,99.2,
09-1993,97.9,,102.8,,104.9,,100.8,,94.3,,101.3,,97.4,,100.3,
10-1993,100.6,,104.2,,106,,100,,93.9,,103.2,,96.8,,101.5,
11-1993,101.5,,105.6,,104.9,,101.8,,93,,104,,97.2,,102.2,
12-1993,102.7,,105.4,,108.2,,104.5,,98.1,,104.9,,101.2,,103.9,
01-1994,104,,106.3,,108.4,,105.8,,99,,105.8,,102.3,,104.9,
02-1994,104.9,,107.5,,110.7,,106.8,,99.3,,107,,103,,106,
03-1994,105.7,,108.5,,109.2,,106.7,,107.7,,107.6,,107.2,,107.5,
04-1994,111.9,,117.9,,125.1,,121.3,,115.8,,116.7,,118.5,,117.1,
05-1994,112.6,,118.8,,127.2,,128.2,,122.4,,117.6,,125.3,,119.4,
06-1994,113.8,,119.5,,130.6,,126.7,,122.3,,118.8,,124.6,,120.1,
07-1994,114.7,,121.2,,133.2,,135.1,,132,,120.3,,133.6,,123.2,
08-1994,113.1,,121.9,,131.4,,138.5,,139.7,,119.7,,139,,123.8,
09-1994,113.3,,120.5,,135.2,,139.8,,136.4,,119.6,,138.3,,123.5,
10-1994,115.3,,121.6,,134.8,,138.8,,138.1,,120.9,,138.5,,124.4,
11-1994,114.2,,121,,137.1,,139.5,,133.3,,120.5,,136.9,,123.6,
12-1994,117.2,,121,,131.3,,137.6,,134.8,,120.9,,136.4,,123.9,
01-1995,113.8,,119.9,,132.6,,139.1,,135.4,,119.2,,137.5,,122.7,
02-1995,116.3,,118.5,,129.9,,136.8,,130.8,,119.2,,134.3,,122.1,
03-1995,114.4,,121.4,,134.1,,135.5,,132.5,,120.4,,134.2,,123.1,
04-1995,114.8,,119.8,,131.1,,132.5,,130.4,,119.4,,131.6,,121.7,
05-1995,117.4,,122.2,,127.5,,132.2,,129.9,,121,,131.2,,123,
06-1995,116.4,,121.6,,127.7,,130.7,,128.4,,120.4,,129.7,,122.2,
07-1995,116.6,,120.5,,126.1,,128.2,,128.8,,119.8,,128.5,,121.5,
08-1995,114.4,,119.9,,129.2,,127.1,,127.4,,119.1,,127.2,,120.7,
09-1995,114.8,,120.3,,124.8,,123.9,,122.3,,118.8,,123.2,,119.7,
10-1995,112.7,,118.4,,127.8,,121.6,,121.3,,117.6,,121.5,,118.3,
11-1995,112.8,,117.7,,121.4,,120.9,,121.7,,116.3,,121.3,,117.4,
12-1995,110.7,,115.3,,123.9,,117.6,,121.1,,114.8,,119.2,,115.7,
01-1996,112.6,,115.1,,122.6,,121.6,,117.7,,115.2,,119.8,,116.2,
02-1996,111.8,,117.7,,125.5,,118.9,,117.2,,116.6,,118.1,,116.9,
03-1996,114.7,,115.2,,121,,120.9,,117.2,,115.9,,119.2,,116.6,
04-1996,113.4,,116.9,,122.1,,117.3,,117.3,,116.3,,117.3,,116.5,
05-1996,113.7,,118.1,,123.8,,120.1,,123,,117.2,,121.5,,118.1,
06-1996,115.4,,117,,122.7,,117.6,,118.7,,117.2,,118.1,,117.4,
07-1996,115.8,,119.5,,127,,123.1,,121.4,,119,,122.3,,119.7,
08-1996,114.5,,120,,123.6,,121.6,,123.2,,118.3,,122.4,,119.1,
09-1996,116.7,,121.9,,126.3,,123.5,,124.8,,120.4,,124.1,,121.2,
10-1996,115,,123.6,,126.5,,126,,124,,120.5,,125,,121.4,
11-1996,117.2,,122.2,,125.5,,127.3,,125.9,,120.6,,126.6,,121.8,
12-1996,116.8,,125.3,,130.3,,124.7,,122.8,,122.5,,123.8,,122.7,
01-1997,120.2,,128.6,,136.9,,134,,130,,126.2,,132,,127.4,
02-1997,123.1,,128.7,,136.2,,132.5,,128,,127.3,,130.2,,127.9,
03-1997,124.5,,129.7,,134.3,,131.6,,130.7,,128.1,,131.1,,128.7,
04-1997,125,,134.5,,137,,136.3,,136.8,,130.9,,136.6,,132,
05-1997,127.9,,135.4,,140.3,,136.9,,136.4,,132.9,,136.6,,133.7,
06-1997,127.9,,136.4,,144.5,,139.1,,140.4,,134,,139.8,,135.2,
07-1997,131.7,,140.6,,145.9,,142.3,,143.4,,137.6,,142.9,,138.8,
08-1997,132.3,,139.7,,147.9,,145.8,,143.3,,137.8,,144.5,,139.2,
09-1997,132.8,,140,,141.2,,143.9,,143.9,,137.3,,143.9,,138.7,
10-1997,131.7,,141.8,,142.7,,145.6,,143.7,,137.9,,144.6,,139.3,
11-1997,130.5,,138.5,,144.7,,143.4,,142.8,,136.1,,143.1,,137.6,
12-1997,129.9,,134.5,,139.4,,139.9,,145.3,,133.3,,142.7,,135.3,
01-1998,127.8,,128.6,,136,,134.6,,137.3,,129.3,,136,,130.7,
02-1998,122.8,,119.3,,126.1,,130.4,,134.6,,121.6,,132.5,,123.9,
03-1998,119.7,,114.1,,119.6,,126.7,,124.3,,117,,125.5,,118.7,
04-1998,119,,117.2,,119.7,,124.7,,121.8,,118.2,,123.2,,119.2,
05-1998,118.2,,116.7,,120.3,,123.4,,122.4,,117.8,,122.9,,118.7,
06-1998,114.5,,112.6,,119.5,,120.7,,119.6,,114.2,,120.2,,115.2,
07-1998,110.4,,107.5,,112.8,,112.7,,113.9,,109.3,,113.3,,109.9,
08-1998,108.5,,104.5,,106.6,,108.7,,112.6,,106.3,,110.6,,106.9,
09-1998,105.1,,101.9,,103.8,,106.9,,108,,103.4,,107.4,,103.9,
10-1998,103.1,,101,,101.1,,105.3,,106.1,,101.8,,105.7,,102.4,
11-1998,101.2,,100.3,,98.1,,100,,102.1,,100.4,,101,,100.5,
12-1998,102.8,,100.4,,99.4,,99.7,,100.2,,101.2,,99.9,,101,
01-1999,102.5,,101.9,,100.9,,102,,102.3,,102,,102.1,,102,
02-1999,101.1,,100.7,,101.1,,103.1,,100.2,,100.9,,101.7,,101,
03-1999,101.3,,100.7,,99.9,,102.2,,100.8,,100.8,,101.5,,100.9,
04-1999,100.7,,100.8,,100,,100.8,,100.2,,100.7,,100.5,,100.6,
05-1999,100.8,,100,,100.9,,101.1,,100.1,,100.4,,100.6,,100.5,
06-1999,101.2,,100,,100.5,,100.4,,100.2,,100.5,,100.3,,100.5,
07-1999,100.6,,100.8,,101.6,,100.7,,99.7,,100.8,,100.2,,100.7,
08-1999,100.5,,100.2,,100.3,,99.1,,99.5,,100.3,,99.3,,100.2,
09-1999,99.5,,100.2,,99.9,,98.3,,100,,99.9,,99.1,,99.8,
10-1999,98,,100.4,,99,,97.8,,99.6,,99.3,,98.7,,99.2,
11-1999,96.6,,97.7,,98.4,,97.1,,98.8,,97.4,,97.9,,97.4,
12-1999,97.2,,96.6,,97.3,,97.4,,98.7,,96.9,,98,,97.1,
01-2000,98.2,,97.5,,97.8,,98.7,,99.8,,97.8,,99.2,,98,
02-2000,96.6,,97.7,,98,,99.1,,99.7,,97.3,,99.4,,97.6,
03-2000,98.2,,97.9,,97.9,,97.9,,99.3,,98,,98.5,,98.1,
04-2000,98.9,,98.5,,100.2,,99,,98.9,,98.9,,99,,98.9,
05-2000,98.1,,97.7,,100,,100.7,,100.4,,98.2,,100.6,,98.5,
06-2000,97,,96.6,,99,,100.7,,101.1,,97.1,,100.9,,97.7,
07-2000,97.2,,95.9,,98.6,,100.2,,100.8,,96.8,,100.5,,97.3,
08-2000,97,,96.3,,99.1,,101.3,,103.9,,96.9,,102.5,,97.8,
09-2000,96.8,,97.7,,99.8,,101.8,,103.8,,97.6,,102.7,,98.4,
10-2000,96.4,,97.7,,101.4,,102.2,,104.6,,97.6,,103.3,,98.5,
11-2000,96.4,,97.7,,100.5,,103.4,,104.8,,97.5,,104,,98.5,
12-2000,96.1,,97.1,,99.5,,103.1,,104.3,,97,,103.6,,98,
01-2001,95.4,,96.7,,99.5,,103.1,,104.6,,96.5,,103.8,,97.6,
02-2001,96.5,,96.1,,99.7,,103.2,,105.3,,96.7,,104.2,,97.8,
03-2001,96.3,,96,,100.2,,102.5,,105.5,,96.6,,103.9,,97.7,
04-2001,95.6,,95.7,,100,,103.6,,105.6,,96.2,,104.5,,97.5,
05-2001,94.9,,95.2,,99,,104.3,,105.6,,95.6,,104.9,,97,
06-2001,93.6,,95.1,,97.7,,104.2,,105.2,,94.8,,104.6,,96.3,
07-2001,92.4,,95,,97.4,,103,,105.2,,94.3,,104,,95.8,
08-2001,92.4,,94.4,,97.5,,103.3,,105.6,,94,,104.3,,95.6,
09-2001,91.7,,93.7,,96.8,,101.5,,105.5,,93.3,,103.3,,94.8,
10-2001,90.5,,92.2,,95.4,,99.1,,105,,91.9,,101.7,,93.4,
11-2001,89.6,,88.8,,94.7,,98.9,,100.7,,89.9,,99.7,,91.3,
12-2001,87.5,,87.7,,91.4,,95.7,,99.6,,88.1,,97.4,,89.5,
01-2002,86.5,,85.8,,91.3,,95.3,,99.3,,86.8,,97,,88.3,
02-2002,84.9,,85.3,,90.9,,94.8,,98,,85.9,,96.2,,87.4,
03-2002,83.8,,84.9,,88.4,,94.4,,97.4,,84.9,,95.7,,86.5,
04-2002,83.3,,84.8,,87.9,,93.4,,96,,84.6,,94.5,,86,
05-2002,81.8,,83.5,,86.8,,92.3,,93.6,,83.3,,92.8,,84.6,
