PRIVATE  DOMESTIC  -  RENTAL  INDICES  BY  CLASS  ( TERRITORY-WIDE ) [QUARTERLY],,,,,,,,,,,,,,,,
Quarter,Class A,Class A - Remarks,Class B,Class B - Remarks,Class C,Class C - Remarks,Class D,Class D - Remarks,Class E,Class E - Remarks,"Classes A, B & C","Classes A, B & C - Remarks",Classes D & E,Classes D & E - Remarks,All Classes,All Classes - Remarks
10-12/1979,25.6,,27.4,,27.4,,26.4,,26.7,Z,-,,-,,-,
01-03/1980,31.2,,26.9,,27.8,,29.6,,29.9,,-,,-,,-,
04-06/1980,32.1,,30.9,,30.3,,34.1,,32.5,,-,,-,,-,
07-09/1980,34,,32.8,,30.2,,33,,37,,-,,-,,33.2,
10-12/1980,37.6,,35.8,,34.2,,35.6,,36.8,,-,,-,,36.3,
01-03/1981,38.1,,38.6,,37.3,,41.4,,42.6,,-,,-,,38.9,
04-06/1981,42.6,,40.3,,40.3,,41.4,,48.2,,-,,-,,41.7,
07-09/1981,43.8,,40.8,,42.2,,46,,47.8,,-,,-,,42.9,
10-12/1981,43.7,,40.5,,41.7,,45.4,,47.7,,-,,-,,42.6,
01-03/1982,42.1,,41,,41.5,,44.7,,47.5,,-,,-,,42.1,
04-06/1982,43.9,,41.4,,42.1,,43,,48,,-,,-,,42.9,
07-09/1982,43.5,,41.8,,42.1,,42.1,,46.7,,-,,-,,42.7,
10-12/1982,44.4,,41.7,,41.7,,41.8,,39.4,,-,,-,,42.6,
01-03/1983,41.5,,39.7,,38.9,,41,,41.7,,-,,-,,40.5,
04-06/1983,40.4,,39.1,,38.6,,36.7,,37.9,,-,,-,,39.2,
07-09/1983,40.6,,38.1,,37,,36,,35.4,,-,,-,,38.5,
10-12/1983,40.9,,37.5,,33.6,,33.4,,33,,-,,-,,37.6,
01-03/1984,39,,37.5,,34.3,,32.7,,31.5,,-,,-,,36.7,
04-06/1984,39.7,,37.5,,34.7,,32.7,,32.9,,-,,-,,37,
07-09/1984,39.7,,38.6,,35,,32.7,,33.6,,-,,-,,37.3,
10-12/1984,40.5,,38.9,,34.7,,33.4,,33.3,,-,,-,,37.4,
01-03/1985,40.1,,38.9,,36.4,,34.7,,36,,-,,-,,38,
04-06/1985,40.9,,39.3,,37.5,,35.5,,38.2,,-,,-,,38.9,
07-09/1985,40.9,,40.8,,38.2,,37.2,,40.9,,-,,-,,40,
10-12/1985,41.3,,40.5,,40.1,,38.5,,43.1,,-,,-,,40.8,
01-03/1986,41.6,,41.1,,41,,40.1,,45.2,,-,,-,,41.6,
04-06/1986,42.1,,41.8,,41,,41.7,,45.4,,-,,-,,42.2,
07-09/1986,43,,43,,42.2,,43.6,,46.6,,-,,-,,43.4,
10-12/1986,42.9,,43.1,,42.1,,43.8,,48.2,,-,,-,,43.5,
01-03/1987,44,,43.4,,44.9,,43.6,,48.5,,-,,-,,44.3,
04-06/1987,45.3,,46.3,,46.4,,46.6,,48.5,,-,,-,,46.2,
07-09/1987,47.7,,48.6,,48,,47.3,,49.3,,-,,-,,48.2,
10-12/1987,49.3,,50,,50,,48.9,,48.2,,-,,-,,49.4,
01-03/1988,50,,50,,50.2,,50.4,,48.9,,-,,-,,49.9,
04-06/1988,52.7,,52.5,,54.1,,53.6,,53.1,,-,,-,,53,
07-09/1988,55.6,,55.6,,56.1,,57.5,,55.7,,-,,-,,55.9,
10-12/1988,59.7,,59.7,,60.1,,62.1,,61.5,,-,,-,,60.3,
01-03/1989,64.2,,66.4,,64.1,,66,,63.7,,-,,-,,65.1,
04-06/1989,70.6,,70.8,,70,,70.4,,68.9,,-,,-,,70.4,
07-09/1989,69.6,,70.5,,70.3,,70.1,,68.8,,-,,-,,69.9,
10-12/1989,73.5,,73.5,,71.2,,69.3,,70,,-,,-,,72.3,
01-03/1990,76.9,,77.8,,74.8,,70.2,,67.3,,-,,-,,74.9,
04-06/1990,80.9,,78.2,,77,,71,,66.2,,-,,-,,76.4,
07-09/1990,81,,79.4,,77.8,,71.2,,66.6,,-,,-,,76.9,
10-12/1990,82.5,,81.5,,78.7,,73.2,,66.6,,-,,-,,78.4,
01-03/1991,83.8,,83.1,,79.4,,72.1,,65.3,,82.9,,68.7,,79.2,
04-06/1991,85,,85.3,,83.1,,74.3,,66.2,,84.8,,70.2,,81.1,
07-09/1991,88.8,,88.4,,85.4,,77.5,,67.4,,88.1,,72.3,,83.9,
10-12/1991,89,,90.1,,89.9,,79.9,,70.1,,89.6,,74.8,,85.5,
01-03/1992,89.3,,90.8,,89.6,,81.7,,72.2,,89.9,,76.7,,86.1,
04-06/1992,93.7,,94.2,,95.5,,87,,75.1,,94.2,,80.7,,90.3,
07-09/1992,94.6,,95.7,,98.6,,89.5,,79,,95.6,,83.8,,92.3,
10-12/1992,94.8,,94.4,,98,,91.4,,82.3,,95.1,,86.5,,92.8,
01-03/1993,95.2,,93.1,,98.2,,92.2,,84.8,,94.7,,88.3,,93,
04-06/1993,95.7,,95.1,,99.9,,95.7,,87.6,,96.1,,91.4,,94.8,
07-09/1993,97.4,,100.9,,103.5,,100.2,,92.3,,100,,96.1,,99,
10-12/1993,101.6,,105.1,,106.4,,102.1,,95,,104,,98.4,,102.5,
01-03/1994,104.9,,107.4,,109.4,,106.4,,102,,106.8,,104.2,,106.1,
04-06/1994,112.8,,118.7,,127.6,,125.4,,120.2,,117.7,,122.8,,118.9,
07-09/1994,113.7,,121.2,,133.3,,137.8,,136,,119.9,,137,,123.5,
10-12/1994,115.6,,121.2,,134.4,,138.6,,135.4,,120.8,,137.3,,124,
01-03/1995,114.8,,119.9,,132.2,,137.1,,132.9,,119.6,,135.3,,122.6,
