PRIVATE  DOMESTIC  -  PRICE  INDICES  FOR  SELECTED  POPULAR  DEVELOPMENTS [MONTHLY],,,,,,,,,,,,,,,,,,
Month,"Classes A, B & C Urban","Classes A, B & C Urban - Remarks","Classes A, B & C New Territories","Classes A, B & C New Territories - Remarks","Classes A, B & C All","Classes A, B & C All - Remarks",Classes D & E Urban,Classes D & E Urban - Remarks,Classes D & E New Territories,Classes D & E New Territories - Remarks,Classes D & E All,Classes D & E All - Remarks,Overall Urban,Overall Urban - Remarks,Overall New Territories,Overall New Territories - Remarks,Overall All,Overall All - Remarks
01-1992,73.6,,82.7,,77.4,,55.9,,56.7,,56.3,,71.7,,81.2,,75.7,
02-1992,77.1,,86,,80.8,,58.2,,58.4,,58.4,,74.9,,84.3,,78.9,
03-1992,80.9,,90.8,,85.1,,59.4,,63.1,,60.8,,78.7,,89.2,,83,
04-1992,85,,92.5,,88.1,,64.6,,66.9,,65.5,,82.8,,91.2,,86.3,
05-1992,88.3,,95.3,,91.2,,65.5,,74.1,,68.4,,85.9,,94.1,,89.3,
06-1992,90.5,,96.9,,93.1,,67.7,,69.6,,68.5,,88.1,,95.5,,91,
07-1992,91,,98.3,,94,,66.8,,75.4,,69.6,,88.4,,97.1,,92,
08-1992,90.8,,98.9,,94.2,,67,,74.8,,69.6,,88.3,,97.6,,92.1,
09-1992,89.8,,96.5,,92.4,,69.7,,71.9,,70.6,,87.6,,95.1,,90.7,
10-1992,87.6,,94.2,,90.3,,68.2,,71.5,,69.4,,85.5,,93.1,,88.5,
11-1992,86.8,,91.9,,88.8,,68.8,,73.3,,70.4,,84.8,,90.9,,87.3,
12-1992,84,,91.2,,87,,66.6,,75,,69.3,,82.2,,90.4,,85.5,
01-1993,82.6,,89,,85.3,,66.8,,68.8,,67.6,,81,,88,,83.8,
02-1993,84.2,,89,,86.1,,67.8,,69.8,,68.6,,82.5,,88.1,,84.8,
03-1993,85,,89.6,,86.9,,70.1,,71.1,,70.6,,83.5,,88.7,,85.5,
04-1993,87.4,,90.5,,88.5,,71,,72.3,,71.5,,85.7,,89.6,,87.2,
05-1993,89.2,,93.6,,90.9,,71.4,,74,,72.4,,87.2,,92.5,,89.4,
06-1993,94.5,,96.2,,95,,77,,78.7,,77.8,,92.6,,95.3,,93.6,
07-1993,101.3,,100.9,,100.9,,81.6,,81,,81.6,,99.1,,99.8,,99.2,
08-1993,104.3,,102.7,,103.4,,85.2,,82.1,,84.5,,102.3,,101.7,,101.9,
09-1993,103.5,,101.7,,102.5,,86.4,,82,,85.3,,101.6,,100.6,,101.1,
10-1993,101.9,,100.4,,101,,87.9,,80.8,,86,,100.4,,99.5,,99.9,
11-1993,103.2,,101,,102,,91,,86.4,,89.9,,101.8,,100.4,,101.2,
12-1993,106.4,,101.5,,104.2,,93.7,,89.3,,92.7,,105,,100.9,,103.2,
01-1994,114.2,,107.7,,111.1,,99.6,,98.4,,99.6,,112.5,,107.3,,110.2,
02-1994,124.3,,112.5,,119,,108.3,,102.3,,106.8,,122.5,,112.1,,118,
03-1994,134,,121.6,,128.4,,118.5,,113.1,,117.2,,132.3,,121.3,,127.6,
04-1994,139.9,,129,,135,,124.7,,115.7,,122.4,,138.2,,128.5,,134,
05-1994,133.3,,125.6,,129.6,,118.7,,118.2,,118.9,,131.6,,125.3,,128.8,
06-1994,132.1,,126.3,,129.4,,121.7,,116.5,,120.4,,130.9,,126.1,,128.7,
07-1994,126,,122.7,,124.4,,113.2,,112.5,,113.4,,124.5,,122.4,,123.5,
08-1994,125.8,,121.6,,123.8,,115.2,,111.4,,114.4,,124.5,,121.3,,123.1,
09-1994,125.8,,121.8,,123.9,,111.1,,107.8,,110.4,,124.1,,121.3,,122.8,
10-1994,126.2,,122.7,,124.5,,114.7,,107,,112.7,,124.9,,122,,123.6,
11-1994,126.5,,121.9,,124.3,,114.1,,115.8,,115,,125.2,,121.9,,123.6,
12-1994,122.3,,117.8,,120.2,,107.7,,108.2,,108.3,,120.8,,117.5,,119.3,
01-1995,114.6,,110.1,,112.4,,100.2,,95.3,,99.1,,113.1,,109.5,,111.4,
02-1995,113,,110.4,,111.7,,100.8,,96.9,,99.9,,111.7,,109.9,,110.9,
03-1995,118.3,,113.3,,115.8,,103.6,,103.2,,103.5,,116.7,,112.9,,114.9,
04-1995,119.6,,113.9,,116.8,,106.4,,100.7,,105.1,,118.1,,113.4,,116,
05-1995,117.5,,111.9,,114.7,,106,,98.6,,104.2,,116.2,,111.4,,114,
06-1995,113.1,,109.2,,111.2,,102.2,,97.3,,101.1,,111.9,,108.7,,110.4,
07-1995,109.2,,106.5,,107.9,,99.2,,98.2,,99,,108,,106.2,,107.2,
08-1995,106.3,,104.1,,105.3,,97.2,,92.3,,96,,105.3,,103.6,,104.5,
09-1995,102.8,,101.1,,102,,98.7,,88.8,,96.3,,102.4,,100.6,,101.6,
10-1995,101.1,,99.9,,100.6,,94.3,,90,,93.3,,100.4,,99.5,,100,
11-1995,104.1,,101.4,,102.8,,93.2,,90.6,,92.6,,102.9,,100.9,,102,
12-1995,105.4,,102.3,,103.9,,97.6,,88.9,,95.5,,104.6,,101.7,,103.2,
01-1996,104.5,,101.5,,103,,96.6,,86.8,,94.2,,103.6,,100.9,,102.3,
02-1996,110.1,,104.7,,107.4,,102.8,,94.8,,101,,109.2,,104.4,,107,
03-1996,114.7,,107,,110.9,,109.9,,97.5,,107,,114.2,,106.6,,110.7,
04-1996,116,,110.9,,113.5,,110.7,,101.1,,108.5,,115.5,,110.5,,113.1,
05-1996,119.7,,112.5,,116.2,,112.7,,101.8,,110.1,,118.9,,112.1,,115.7,
06-1996,120.4,,114.7,,117.6,,116.9,,104.9,,114.1,,120,,114.3,,117.4,
07-1996,121.1,,114.5,,117.9,,116.7,,104.3,,113.8,,120.6,,114,,117.6,
08-1996,121.1,,114.6,,118,,116.5,,104.3,,113.6,,120.6,,114.2,,117.6,
09-1996,122.5,,116.7,,119.6,,119.2,,102,,115.1,,122,,116.1,,119.3,
10-1996,125.9,,119.8,,122.9,,122.3,,107,,118.6,,125.4,,119.3,,122.5,
11-1996,131.8,,124.1,,128.1,,133.2,,119.1,,129.8,,132,,123.8,,128.2,
12-1996,139.6,,129,,134.4,,143.1,,127.6,,139.3,,139.9,,129,,134.8,
01-1997,146,,136.5,,141.4,,156.1,,143.2,,153,,147.1,,136.7,,142.2,
02-1997,153.6,,144.1,,149,,165.5,,151.5,,162.1,,154.9,,144.4,,150,
03-1997,165.2,,157.6,,161.5,,172.2,,162.1,,169.8,,166,,157.7,,162.2,
04-1997,169.5,,175.4,,172.4,,170.9,,167.9,,170.2,,169.7,,175.1,,172.2,
05-1997,169.2,,171.3,,170.2,,168.1,,163.1,,166.9,,169,,170.9,,169.9,
06-1997,180.2,,176.9,,178.6,,188.4,,183.4,,187.2,,181,,177.2,,179.2,
07-1997,180.1,,177.4,,178.8,,181.4,,180.9,,181.3,,180.3,,177.5,,179,
08-1997,177.7,,174.3,,176.1,,181.5,,169.2,,178.5,,178.1,,174,,176.2,
09-1997,179.2,,175.9,,177.6,,183.9,,173.4,,181.4,,179.7,,175.7,,177.8,
10-1997,182.1,,179.3,,180.7,,184.1,,180.9,,183.4,,182.2,,179.3,,180.8,
11-1997,165.5,,165.8,,165.6,,169.9,,172.8,,170.6,,166,,166,,165.9,
