PRIVATE  DOMESTIC  -  PRICE  INDICES  FOR  SELECTED  POPULAR  DEVELOPMENTS [QUARTERLY],,,,,,,,,,,,,,,,,,
Quarter,"Classes A, B & C Urban","Classes A, B & C Urban - Remarks","Classes A, B & C New Territories","Classes A, B & C New Territories - Remarks","Classes A, B & C All","Classes A, B & C All - Remarks",Classes D & E Urban,Classes D & E Urban - Remarks,Classes D & E New Territories,Classes D & E New Territories - Remarks,Classes D & E All,Classes D & E All - Remarks,Overall Urban,Overall Urban - Remarks,Overall New Territories,Overall New Territories - Remarks,Overall All,Overall All - Remarks
01-03/1992,77.2,,86.5,,81.1,,57.8,,59.4,,58.5,,75.1,,84.9,,79.2,
04-06/1992,87.9,,94.9,,90.8,,65.9,,70.2,,67.5,,85.6,,93.6,,88.9,
07-09/1992,90.5,,97.9,,93.5,,67.8,,74,,69.9,,88.1,,96.6,,91.6,
10-12/1992,86.1,,92.4,,88.7,,67.9,,73.3,,69.7,,84.2,,91.5,,87.1,
01-03/1993,83.9,,89.2,,86.1,,68.2,,69.9,,68.9,,82.3,,88.3,,84.7,
04-06/1993,90.4,,93.4,,91.5,,73.1,,75,,73.9,,88.5,,92.5,,90.1,
07-09/1993,103,,101.8,,102.3,,84.4,,81.7,,83.8,,101,,100.7,,100.7,
10-12/1993,103.8,,101,,102.4,,90.9,,85.5,,89.5,,102.4,,100.3,,101.4,
01-03/1994,124.2,,113.9,,119.5,,108.8,,104.6,,107.9,,122.4,,113.6,,118.6,
04-06/1994,135.1,,127,,131.3,,121.7,,116.8,,120.6,,133.6,,126.6,,130.5,
07-09/1994,125.9,,122,,124,,113.2,,110.6,,112.7,,124.4,,121.7,,123.1,
10-12/1994,125,,120.8,,123,,112.2,,110.3,,112,,123.6,,120.5,,122.2,
01-03/1995,115.3,,111.3,,113.3,,101.5,,98.5,,100.8,,113.8,,110.8,,112.4,
04-06/1995,116.7,,111.7,,114.2,,104.9,,98.9,,103.5,,115.4,,111.2,,113.5,
07-09/1995,106.1,,103.9,,105.1,,98.4,,93.1,,97.1,,105.2,,103.5,,104.4,
10-12/1995,103.5,,101.2,,102.4,,95,,89.8,,93.8,,102.6,,100.7,,101.7,
01-03/1996,109.8,,104.4,,107.1,,103.1,,93,,100.7,,109,,104,,106.7,
04-06/1996,118.7,,112.7,,115.8,,113.4,,102.6,,110.9,,118.1,,112.3,,115.4,
07-09/1996,121.6,,115.3,,118.5,,117.5,,103.5,,114.2,,121.1,,114.8,,118.2,
10-12/1996,132.4,,124.3,,128.5,,132.9,,117.9,,129.2,,132.4,,124,,128.5,
01-03/1997,154.9,,146.1,,150.6,,164.6,,152.3,,161.6,,156,,146.3,,151.5,
04-06/1997,173,,174.5,,173.7,,175.8,,171.5,,174.8,,173.2,,174.4,,173.8,
07-09/1997,179,,175.9,,177.5,,182.3,,174.5,,180.4,,179.4,,175.7,,177.7,
10-12/1997,168.2,,166.9,,167.6,,172.1,,171.1,,171.9,,168.6,,167,,167.8,
01-03/1998,138.1,,134.6,,136.4,,138.5,,136.6,,138,,138.1,,134.6,,136.4,
04-06/1998,122.6,,119.7,,121.2,,119.4,,118.7,,119.2,,122.2,,119.6,,121.1,
07-09/1998,96.6,,98.4,,97.5,,93.3,,92.8,,93.2,,96.2,,98.2,,97.1,
10-12/1998,94,,95.2,,94.6,,94,,92.6,,93.6,,93.9,,95.1,,94.5,
01-03/1999,100.6,,101,,100.8,,96.2,,98.4,,97.2,,100.3,,100.8,,100.5,
04-06/1999,103.6,,103,,103.3,,103.8,,104,,103.9,,103.6,,103.1,,103.3,
07-09/1999,100.6,,101.1,,100.8,,102.2,,99.4,,100.9,,100.7,,101,,100.8,
10-12/1999,95.2,,94.9,,95.1,,97.8,,98.3,,98,,95.4,,95.2,,95.3,
01-03/2000,97.3,,95.8,,96.6,,102.6,,100.2,,101.5,,97.8,,96.1,,97,
04-06/2000,90.6,,88.2,,89.5,,99.5,,89.9,,95,,91.4,,88.4,,89.9,
07-09/2000,86.3,,84.1,,85.2,,96.5,,88.9,,92.9,,87.2,,84.5,,85.9,
10-12/2000,84.4,,82.9,,83.7,,93.9,,86.4,,90.4,,85.2,,83.2,,84.2,
