PRIVATE  OFFICES  -  AVERAGE  RENTS  BY  GRADE  AND  DISTRICT [QUARTERLY[82-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks
01-03/1982,187.9,Z,269.1,,131.7,Z,159.5,,115.8,Z,160.8,,231.9,,156.2,Z,144.4,Z,128,,103.7,,162.4,,112.6,Z,142.9,Z,110.8,Z
04-06/1982,197.2,Z,277.7,,169,Z,153.7,,138,Z,156.5,,191.5,,157,Z,153.7,Z,111.1,,102.3,,163.4,,121.8,,146.6,,124.1,Z
07-09/1982,182.5,Z,270,,160.6,Z,164.9,,134.7,Z,132.9,,197.2,,152.5,Z,103.2,,112.4,,91,,151.3,,120.8,Z,133.8,Z,115.9,
10-12/1982,189.3,Z,249.9,,-,,132.5,,132.8,Z,124.1,,190.1,,140.3,Z,126.8,Z,116.6,,82.1,,140.5,,106.7,Z,122,Z,109.4,
01-03/1983,148.5,Z,254.3,Z,151.1,Z,131.7,,105.6,Z,117.8,,171.7,,118.6,Z,113.3,,103,,85.7,,129,,101.5,Z,101.2,,103,
04-06/1983,120.3,Z,229.8,Z,155.9,Z,124.4,,108.8,,115.5,,150.6,,108.3,,113.9,,92.3,,78.7,,108.3,,100.8,,101.7,,91.3,
07-09/1983,120.4,Z,170,Z,134.1,Z,118.2,,110.8,Z,97.8,,127.4,Z,91.2,,108.9,,86.1,,70.2,,105.3,,95.2,,109.4,,91.2,
10-12/1983,109.7,Z,209.6,,122.5,Z,127.4,,85.8,Z,100.1,,136.6,,79.2,,104.7,,79.9,,66.5,,110.3,,84.8,,94.5,Z,87,
01-03/1984,100,Z,179.1,Z,119,Z,124.1,,96.7,Z,106.9,,117.8,,90.5,,109.2,,80.1,,65.8,,94.9,,78.7,,100.4,,89.1,
04-06/1984,107.7,Z,178.3,,95.7,,116.1,,92.5,Z,92.7,,123.3,,86.6,,101.8,,79.6,,64.7,,102,,81.8,,94.4,,86.3,
