PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [ANNUAL[86-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks
1986 ,15542,Z,18938,,-,,21166,,12016,Z,11031,,17284,,12119,,15224,,10790,,9126,,11288,,10141,,11690,,10118,
1987 ,17696,Z,26950,,23732,Z,26399,,16572,,13695,,23296,,14902,,19766,,13661,,10501,,13967,,13530,,15692,,13148,
1988 ,26823,Z,57744,Z,30714,Z,42942,,26430,,20032,,44482,,25163,,28250,,21104,,17954,,24005,,22612,,22667,,20787,
1989 ,54912,Z,76150,,59340,Z,56186,,41178,,38434,,67523,,43906,,45408,,31898,,29595,,40537,,35929,,35989,,30111,
1990 ,53661,Z,86837,,58580,Z,53158,,37943,Z,37127,,64314,,41276,,43372,,31628,,29160,,40410,,33871,,32991,,30651,
1991 ,38027,Z,68076,,63167,,51677,,43651,Z,36242,,59721,,43119,,51031,,34868,,31217,,44241,,38443,,38040,,37524,
1992 ,-,,88687,,78322,,67766,,71677,Z,52550,,72774,,57426,,62938,,47950,,42560,,49267,,51033,,49753,,50348,
1993 ,-,,118737,,96193,,89956,,94011,Z,67293,,62450,,74170,,74620,,67959,,53867,,65522,,63786,,56731,,58634,
1994 ,-,,191711,,152345,,124126,,125596,,103065,,106158,,111072,,104669,,74681,,71692,,81626,,83528,,76140,,65448,
1995 ,93603,Z,146847,,124307,,104873,,108823,Z,70565,,90501,Z,87932,,104364,,67932,,62279,,67990,,88896,,62296,,60083,
1996 ,83879,,160021,,135737,,107954,,90507,,63036,,90543,,86367,,76113,,65462,,57946,,78038,,72094,,61190,,55460,
1997 ,115788,,203716,,139344,,115044,,99071,Z,74003,,123005,,94514,,83068,,68757,,58402,,74176,,78443,,57840,,60806,
1998 ,62445,Z,105245,,91749,,70383,,52699,Z,47238,,68274,,62837,,48984,,47705,,41989,,57795,,57981,,45505,,48197,
