PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [ANNUAL[FROM99]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
1999 ,67230,,87173,,76343,,49598,,51483,,56027,,n/a,,29260,,42706,,44033,,34540,,39036,,35486,,n/a,,30825,,37123,,37185,,37584,,29919,,32598,,n/a,
2000 ,50582,,82489,,51350,,38969,,48787,,44508,X,n/a,,32696,,60539,,34892,,29140,,35525,,31719,,n/a,,25588,,28000,,30753,,32732,,24884,,27869,,n/a,
2001 ,40977,,73237,,52242,,34156,,45804,,-,,n/a,,27830,,46124,,34420,,22475,,32084,,25076,,n/a,,21785,,28178,,27794,,26571,,24001,,23008,,n/a,
2002 ,19673,,54665,,39643,,27648,,39510,,-,,n/a,,21253,,40214,,30305,,20092,,30133,,24584,,n/a,,19129,,28926,,23287,,24581,,22636,,21923,,n/a,
2003 ,17670,,53698,,35696,,25581,,38025,,-,,n/a,,19405,,40723,,26150,,18475,,30486,,23266,,n/a,,16683,,22039,,20966,,20883,,21357,,19034,,n/a,
2004 ,54137,,96067,,63440,,36865,,72666,,-,,n/a,,24110,,53997,,43150,,25187,,46843,,30209,,n/a,,20231,,37285,,33101,,24837,,27214,,23488,,n/a,
2005 ,114066,,121796,,79442,,55889,,94799,,154561,X,n/a,,34415,,82121,,61222,,36350,,64172,,48572,,n/a,,29887,,50671,,43862,,33841,,39336,,30891,,n/a,
2006 ,80219,,130825,,94952,,61070,,99357,,143376,X,n/a,,41554,,89656,,64391,,41529,,66856,,46440,,n/a,,35379,,59484,,48552,,39378,,42490,,34996,,n/a,
2007 ,90488,,163053,,104864,,69618,,110987,,169070,X,n/a,,54826,,106906,,78991,,47803,,80100,,54785,,n/a,,49146,,80003,,62845,,48005,,52789,,42968,,n/a,
2008 ,124877,X,218474,,125607,,88727,,129382,,156686,X,n/a,,76333,,120872,,99743,,57994,,94711,,62872,,n/a,,58760,,92260,,74798,,62586,,61989,,50047,,n/a,
2009 ,133016,,171788,,105223,,85700,,109696,,- ,,n/a,,58749,,129067,,94208,,56776,,83325,,61714,,n/a,,59916,,90975,,76907,,59954,,65272,,52672,,n/a,
2010 ,149053,,221386,,145639,,95278,,134132,,193697,X,n/a,,83786,,175740,,114859,,66001,,101804,,69297,,n/a,,74719,,116558,,96983,,74030,,79404,,69320,,n/a,
2011 ,163877,,299642,,180338,,115148,,161264,,- ,,n/a,,104904,,209256,,146048,,82105,,122215,,90824,,n/a,,94560,,173019,,116263,,97528,,95904,,91194,,n/a,
2012 ,171034,,330708,,196326,,153619,,164271,,- ,,n/a,,116778,,220314,,166174,,96218,,132209,,114970,,n/a,,117984,,209802,,143172,,120107,,121150,,115243,,n/a,
2013 ,189940,X,356517,,203598,,154809,X,180841,,- ,,128348,,144557,,284008,,198180,,120525,,159501,,140064,,- ,,144054,,191149,,161154,,141897,,144234,,139871,,- ,
2014 ,171027,X,353514,,264596,X,163290,X,194712,,- ,,123051,,150484,,242180,,203551,,130263,,174196,,144847,,151153,,144425,,203810,,167733,,144823,,154445,,147914,,- ,
2015 ,162989,X,354300,,292141,,-,,196338,,- ,,141364,,179341,,306904,,211178,,132400,,183862,,148677,,132890,X,162955,,249848,,184743,,153436,,155350,,157972,,- ,
2016 ,221386,,401674,,262387,,-,,195282,,- ,,135339,,171000,,253163,X,215050,,123836,X,166129,,141069,,- ,,152156,,199522,,184737,,158194,,143648,,149229,,- ,
2017 ,200155,X,468426,,264440,,236771,,216390,,- ,,157011,,190522,,263078,,249421,,154921,,189220,,155729,,142948,X,175739,,254595,,201589,,181866,,159117,,166169,,- ,
2018 ,390369,,569342,,288969,,358169,X,233290,,- ,,176673,,200283,,456122,,308503,,167018,,204889,,186449,,154321,X,197790,,261817,,214822,,198338,,169453,,175245,,- ,
2019 ,460859,,550558,,225527,X,263675,,224480,,- ,,159387,,200034,,288409,X,277860,,169079,,207586,,175910,,158020,X,190000,,261850,,220266,,196229,,177176,,186797,,- ,
2020 ,-,,413857,,293046,X,247059,X,181540,,- ,,144331,,182298,,276385,X,222818,,149933,X,189723,,169079,,162454,X,174069,,259722,,207741,,182740,,153809,,163951,,- ,
2021 ,559780,,557614,,318174,,-,,180149,,- ,,155562,,208422,,312416,X,252433,,177570,,185793,,208487,,169488,X,182970,,274110,,208901,,189553,,167628,,176751,,- ,
2022 ,233958,X,410515,,236037,X,-,,187641,,- ,,129791,,178570,,236526,X,256046,,142361,X,188111,,178032,,139749,X,173013,,239927,,201934,,195030,,155929,,163322,,- ,
2023 ,367340,X,457977,,193829,X,202804,X,201655,,- ,,134323,,161646,,280671,,250836,,115372,X,167355,,154382,,101131,,148137,,222303,,173673,,188359,,153451,,151477,,- ,
2024 ,264511,PX,295100,P,207015,PX,-,P,170369,P,- ,P,135419,P,120563,P,140000,PX,174846,P,117360,PX,137604,P,128970,P,96009,P,118376,P,163216,PX,150769,P,149492,P,129471,P,129600,P,- ,P
