PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
01-1999,-,,85495,,43147,X,-,,55625,X,- ,,n/a,,-,,-,,34764,X,32186,X,38489,X,33683,,n/a,,28457,,69444,X,38120,X,35774,X,32249,X,36711,,n/a,
02-1999,-,,73329,X,-,,-,,61818,X,- ,,n/a,,-,,-,,53846,,-,,36938,X,- ,,n/a,,23215,X,44513,X,37069,X,40004,X,29142,X,37373,X,n/a,
03-1999,103839,X,82180,X,56349,X,-,,51158,X,- ,,n/a,,31591,X,-,,32143,X,34364,X,43465,X,29125,X,n/a,,49754,,35744,X,73529,X,39545,X,24941,X,33483,,n/a,
04-1999,-,,83875,,78838,X,-,,41265,,53902,X,n/a,,-,,-,,38444,X,45558,X,36008,,33968,,n/a,,40317,,36537,X,45848,X,-,,31201,,37398,,n/a,
05-1999,-,,83000,,98234,X,45532,X,58430,,57528,X,n/a,,26991,X,-,,42945,X,38628,X,40893,X,39756,X,n/a,,30656,,50250,X,41901,X,48276,X,28428,,31553,,n/a,
06-1999,-,,86499,,72446,X,53628,X,54002,,58929,X,n/a,,28873,X,28933,X,46498,,41391,X,40691,,35298,,n/a,,29593,,-,,36457,X,39194,X,45922,X,29629,,n/a,
07-1999,-,,97875,,79308,X,45076,X,52008,,57035,X,n/a,,31455,X,55717,X,46061,X,37500,X,37331,X,35130,X,n/a,,28797,,26548,X,26731,X,37107,X,31323,,31197,,n/a,
08-1999,63859,X,88649,X,104312,X,42910,X,57264,,44604,X,n/a,,-,,33473,X,42441,X,32846,X,41669,,35112,,n/a,,28828,,31488,X,36865,,32415,X,30715,,32340,,n/a,
09-1999,64602,X,88342,,80941,X,-,,48541,,- ,,n/a,,28088,X,37838,X,27559,X,31315,X,35551,,40689,,n/a,,30595,,26440,X,28499,X,-,,29478,,32284,,n/a,
10-1999,49870,X,99333,,84648,X,55241,X,47038,X,- ,,n/a,,33171,X,51849,X,54673,X,31436,X,39668,,24469,X,n/a,,23681,,21919,X,28202,X,35865,X,23299,X,31774,,n/a,
11-1999,53979,X,83035,,70309,X,-,,44790,,- ,,n/a,,30112,X,43224,X,48693,X,32228,X,41505,,33960,,n/a,,26738,,41516,X,35536,X,30703,X,22640,,28299,,n/a,
12-1999,-,,89921,,66343,,-,,49449,,58148,X,n/a,,-,,48750,X,42108,X,32233,X,38238,,38017,X,n/a,,26294,,25686,X,30341,X,39833,X,25589,X,32178,,n/a,
01-2000,-,,93529,,45692,X,-,,48322,,-,,n/a,,35895,X,-,,46194,X,30167,X,38114,,34672,,n/a,,22823,,-,,38714,X,33355,X,29084,,27491,,n/a,
02-2000,52806,X,86542,,38168,X,-,,52730,,- ,,n/a,,33887,X,-,,34575,X,33319,X,36966,,32524,X,n/a,,23235,X,28666,X,-,,-,,24219,X,38243,,n/a,
03-2000,44229,X,81740,,68046,X,37364,X,47055,,44508,X,n/a,,32546,X,50090,X,36258,X,34120,,38095,,31073,,n/a,,23624,,-,,40303,,34971,X,25203,,28542,,n/a,
04-2000,-,,81278,,-,,-,,48834,,- ,,n/a,,31962,X,-,,39770,X,29163,X,43046,,28852,,n/a,,26203,,26420,X,30480,,40104,X,22017,,29189,,n/a,
05-2000,-,,75634,X,57444,X,-,,46337,,- ,,n/a,,-,,-,,35742,X,29028,,36432,,36590,,n/a,,33559,,-,,28173,,35343,X,27149,,24686,,n/a,
06-2000,-,,68476,,37352,X,33563,X,54170,,- ,,n/a,,21119,X,67697,X,34570,,23794,X,37705,,31360,X,n/a,,28342,,36567,X,22792,X,26099,X,26217,,29952,,n/a,
07-2000,-,,69817,,39620,X,48389,X,49651,,- ,,n/a,,28193,,-,,30211,X,27502,X,32868,,28844,X,n/a,,25763,,25763,X,25734,,34561,,23516,,28041,,n/a,
08-2000,86170,X,96656,,67105,,-,,49339,,- ,,n/a,,38167,X,-,,24195,X,25812,X,31342,,27694,,n/a,,22611,,31680,X,27767,,31446,X,22486,,23412,,n/a,
09-2000,-,,86184,,36557,X,-,,50674,,- ,,n/a,,34356,X,66344,X,31277,X,27601,X,30285,,35206,,n/a,,23554,,27321,X,34454,,23175,X,23045,,25722,,n/a,
10-2000,37809,X,90731,,38775,X,37362,X,48599,,- ,,n/a,,34719,X,62052,X,34146,X,25366,X,36795,,30134,,n/a,,27076,,29245,X,30213,X,28575,X,26455,,24698,,n/a,
11-2000,-,,94186,X,49693,,-,,37828,X,- ,,n/a,,36295,X,-,,25676,X,-,,32390,,32623,,n/a,,23517,,20275,X,33362,,31780,X,23500,,32819,,n/a,
12-2000,31896,X,67196,,-,,-,,46972,X,- ,,n/a,,35016,,59642,X,43225,X,23974,X,35038,,23993,X,n/a,,24936,,-,,27912,X,30264,X,24694,,26069,,n/a,
01-2001,29240,X,84710,X,-,,44470,X,47185,,- ,,n/a,,46838,X,40664,X,35648,,27756,X,38866,X,23480,X,n/a,,28459,,-,,31378,X,30560,X,22016,,23628,,n/a,
02-2001,-,,72427,,66950,X,43243,X,45904,,- ,,n/a,,28667,X,45443,X,38429,X,-,,32027,X,28560,,n/a,,21068,X,-,,29416,,30194,X,24418,,27300,,n/a,
03-2001,-,,76519,,47752,,34894,X,50358,X,- ,,n/a,,36400,X,49686,X,43264,,-,,31174,,22171,X,n/a,,20210,,27231,X,26397,,28921,,25188,,24006,,n/a,
04-2001,81173,X,66085,X,71281,X,-,,45537,X,- ,,n/a,,30644,X,-,,-,,25974,X,30163,X,21331,X,n/a,,22624,,22067,X,27596,,27778,X,23342,,23517,,n/a,
05-2001,23959,X,73706,,63353,X,-,,50372,,- ,,n/a,,39313,X,48814,X,28430,,27306,X,37976,,33212,,n/a,,22091,,32640,X,28317,,25570,,25039,,21263,,n/a,
06-2001,-,,68159,,45342,X,32041,X,46219,,- ,,n/a,,24033,X,-,,29792,,21954,X,34036,,26934,,n/a,,22553,,22300,X,30448,,24606,,24424,,25333,,n/a,
07-2001,24074,X,78762,,37449,X,33497,X,43899,,- ,,n/a,,21912,,43541,X,30457,X,-,,34428,X,22971,X,n/a,,18623,X,35309,X,29870,,27940,,22442,,21596,,n/a,
08-2001,-,,72186,X,77163,X,-,,50647,X,- ,,n/a,,17799,X,30769,X,35304,,20259,X,30926,,24154,,n/a,,22225,,32452,X,25700,,30231,X,21203,X,19846,,n/a,
