PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [QUARTERLY[82-98]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks
01-03/1982,-,,-,,28625,Z,26435,,-,,21700,,35211,Z,24641,Z,15176,Z,18625,Z,19049,,19020,Z,21329,Z,18669,Z,13564,Z
04-06/1982,36114,Z,47739,Z,-,,26745,Z,25256,Z,21246,Z,25854,Z,21124,Z,19230,Z,18571,Z,16891,Z,20909,Z,22019,Z,14640,Z,14249,Z
07-09/1982,29454,Z,40313,Z,-,,25565,Z,22051,Z,21462,Z,25713,Z,21884,Z,16525,Z,13746,Z,13524,Z,21117,Z,17357,Z,17507,Z,-,
10-12/1982,-,,-,,-,,18190,Z,23333,Z,21991,Z,27344,Z,18055,Z,-,,-,,13209,Z,12060,Z,16097,Z,18208,Z,-,
01-03/1983,-,,33211,Z,13847,Z,20144,Z,14493,Z,17132,Z,-,,18865,Z,-,,-,,10974,Z,19201,Z,12303,Z,13222,Z,12855,Z
04-06/1983,28412,Z,27555,Z,18027,Z,17612,Z,11565,Z,13230,Z,31183,Z,18688,Z,14267,Z,12025,Z,9999,Z,13051,Z,12620,Z,10778,Z,11664,Z
07-09/1983,16224,Z,25056,Z,-,,15085,Z,12270,Z,14779,Z,28444,Z,15351,Z,11846,Z,10855,Z,11189,Z,11778,Z,10394,Z,13008,Z,10958,Z
10-12/1983,15724,Z,-,,-,,14990,Z,-,,13046,Z,22406,Z,16545,Z,-,,-,,8782,Z,10169,Z,8951,Z,10138,Z,9191,Z
01-03/1984,13459,Z,22910,Z,-,,14088,Z,8633,Z,12232,Z,24735,Z,12503,Z,10785,Z,10221,Z,9753,Z,10507,Z,9587,Z,9298,Z,9177,Z
04-06/1984,15051,Z,20615,Z,-,,11296,Z,9369,Z,11273,Z,13808,Z,11585,Z,9457,Z,9491,Z,8968,Z,10260,Z,10151,Z,9681,Z,8400,Z
07-09/1984,12697,Z,17628,Z,-,,12191,Z,9528,Z,10929,Z,-,,10759,Z,9581,Z,8554,Z,8589,Z,8592,Z,8852,Z,9610,Z,8291,Z
10-12/1984,-,,21632,Z,-,,10862,Z,8578,Z,9924,Z,14296,Z,12213,Z,10254,Z,8993,Z,8190,Z,9658,Z,8688,Z,8988,Z,-,
01-03/1985,13118,Z,20901,Z,-,,11848,,9892,Z,11363,Z,10897,Z,10988,Z,10088,Z,8489,Z,9969,Z,11305,Z,8600,Z,9600,,8006,Z
04-06/1985,15034,Z,19551,Z,-,,13549,Z,10366,Z,11400,Z,16067,Z,10171,Z,12434,Z,9122,Z,8412,,11237,Z,9525,Z,9507,,8860,Z
07-09/1985,14573,Z,23483,Z,-,,14329,Z,10639,Z,10392,,14436,Z,10197,,13052,Z,9627,Z,8478,,10144,Z,8725,Z,10968,,8863,Z
