PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [QUARTERLY[FROM99]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
01-03/1999,103839,X,81072,,49748,X,-,,56272,,- ,,n/a,,31591,X,-,,44782,,33275,X,39517,,32380,,n/a,,36461,,42823,,43846,,38717,,30170,,35334,,n/a,
04-06/1999,-,,83981,,86139,,49580,X,52186,,56553,,n/a,,27619,,28933,X,44313,,40567,,38786,,35914,,n/a,,33490,,42414,,41452,,41010,,32248,,33897,,n/a,
07-09/1999,64230,X,92678,,83580,,43993,X,52545,,54549,,n/a,,29531,,43070,,37212,,33627,X,38065,,37901,,n/a,,29468,,29490,,33781,,35230,,30492,,31961,,n/a,
10-12/1999,51925,X,90839,,69449,,55241,X,47237,,58148,X,n/a,,31132,X,47779,,47580,,31878,,39910,,33507,,n/a,,25571,,30511,,31214,,35524,,23832,,29820,,n/a,
01-03/2000,48518,X,87600,,57599,,37364,X,49299,,44508,X,n/a,,33328,,50090,X,39774,,32931,,37708,,32785,,n/a,,23245,,28666,X,39707,,34163,X,26726,,30412,,n/a,
04-06/2000,-,,76473,,49407,,33563,X,49703,,- ,,n/a,,24733,X,67697,X,36596,,28408,,39177,,32849,,n/a,,29255,,31494,X,28027,,36432,,25536,,28035,,n/a,
07-09/2000,86170,X,84308,,52342,,48389,X,49909,,- ,,n/a,,31656,,66344,X,29106,,26893,,31407,,30922,,n/a,,23766,,28981,,29690,,31349,,22884,,25501,,n/a,
10-12/2000,34853,X,81853,,46573,,37362,X,45057,,- ,,n/a,,35236,,61248,X,33239,,24809,,33990,,30227,,n/a,,24938,,23265,X,31069,,30212,,25276,,28367,,n/a,
01-03/2001,29240,X,76715,,52182,,40869,X,47057,,- ,,n/a,,37173,,44557,,39919,,27756,X,32928,,25740,,n/a,,23067,,27231,X,28051,,29519,,23912,,24801,,n/a,
04-06/2001,52566,X,70636,,56329,,32041,X,47524,,- ,,n/a,,29885,,48814,X,29049,,24899,,35280,,27663,,n/a,,22370,,26664,,28395,,25407,,24604,,23565,,n/a,
