PRIVATE  OFFICES  -  RENTAL  INDICES  BY  GRADE  (ALL  DISTRICTS) [MONTHLY],,,,,,,,
Month,Grade A,Grade A - Remarks,Grade B,Grade B - Remarks,Grade C,Grade C - Remarks,Overall,Overall - Remarks
01-1993,140.7,,147.9,,141.4,,143.4,
02-1993,135.6,,150.7,,145.3,,143.1,
03-1993,137.1,,149.9,,148.4,,144.1,
04-1993,142.2,,156.2,,147.2,,147.9,
05-1993,141.4,,155.2,,145.3,,146.8,
06-1993,144.1,,155.8,,144.6,,148,
07-1993,150.6,,157.5,,149.2,,152.5,
08-1993,150.1,,156.9,,147.2,,151.6,
09-1993,151.3,,159.8,,144.6,,152.6,
10-1993,150.2,,160.4,,150.4,,153.4,
11-1993,157,,163.4,,151.9,,157.9,
12-1993,155,,165,,154.6,,157.9,
01-1994,161.2,,170.4,,159.3,,163.5,
02-1994,170,,173.8,,160.1,,169.1,
03-1994,172.3,,176.1,,162.4,,171.4,
04-1994,179.8,,179.9,,165.5,,176.9,
05-1994,182.4,,186.1,,167.8,,180.5,
06-1994,184.5,,187.8,,171.7,,182.8,
07-1994,187.4,,190.7,,169.4,,184.5,
08-1994,193.1,,193.3,,173.9,,188.9,
09-1994,193.3,,195.6,,171.5,,189.1,
10-1994,194.1,,195.9,,179.1,,191.3,
11-1994,197.5,,194.9,,174.3,,191.4,
12-1994,197.7,,195.6,,177.8,,192.5,
01-1995,196.7,,194.4,,174.9,,191,
02-1995,196.5,,194.2,,177.4,,191.5,
03-1995,192.2,,191.3,,175.3,,188.2,
04-1995,187.1,,187.7,,172.4,,184,
05-1995,185.2,,184.8,,174.4,,182.6,
06-1995,180.3,,184.1,,171.3,,179.4,
07-1995,184,,182.3,,167,,179.7,
08-1995,177.7,,178.1,,167.8,,175.7,
09-1995,177.5,,175.8,,165.5,,174.4,
10-1995,166.8,,169.3,,160.7,,166.3,
11-1995,168.3,,167.5,,157,,165.6,
12-1995,165.8,,168.2,,157.7,,164.8,
01-1996,155.1,,162.1,,153.2,,156.9,
02-1996,155.9,,159.1,,152.2,,156.1,
03-1996,154.3,,160.7,,152.1,,155.9,
04-1996,149.5,,153.2,,147.8,,150.3,
05-1996,150.4,,151.6,,145.1,,149.8,
06-1996,153.2,,153.6,,148.5,,152.4,
07-1996,148.3,,153,,146.4,,149.3,
08-1996,150.2,,153.6,,147.7,,150.7,
09-1996,152.8,,150.3,,147.8,,151.2,
10-1996,149.1,,155.4,,145.8,,150.2,
11-1996,152.9,,154.1,,150.3,,152.8,
12-1996,150.1,,155.9,,148.8,,151.4,
01-1997,152.4,,155.1,,148.4,,152.4,
02-1997,154.4,,158.8,,145.9,,154.2,
03-1997,152.4,,158.1,,150.3,,153.5,
04-1997,155.6,,162.6,,152.7,,156.9,
05-1997,155.6,,161.3,,152.6,,156.6,
06-1997,157.8,,160.3,,151.9,,157.5,
07-1997,157.1,,160.1,,151.9,,157.1,
08-1997,156.2,,163.1,,151.1,,157.2,
09-1997,163.2,,157.2,,151.3,,159.8,
10-1997,159.4,,159.8,,150,,158.1,
11-1997,160.3,,161.7,,151.1,,159.3,
12-1997,161.6,,159.8,,150.4,,159.5,
01-1998,161.2,,159.4,,148.2,,158.8,
02-1998,156.3,,158.1,,140.7,,154.3,
03-1998,151.7,,150.2,,137,,149,
04-1998,151.7,,148.1,,136.1,,148.4,
05-1998,146,,145,,133.2,,143.8,
06-1998,141.8,,139.3,,129.4,,139.2,
07-1998,136.3,,135.6,,124.9,,134.2,
08-1998,132.7,,127.7,,121.3,,129.6,
09-1998,125.1,,122.3,,117.2,,123.1,
10-1998,125.1,,119.3,,114.5,,121.9,
11-1998,117.3,,115.4,,111.7,,115.9,
12-1998,114.3,,110.2,,112.7,,113,
01-1999,110.1,,108.9,,107.2,,109.3,
02-1999,109.7,,103.7,,106.4,,107.7,
03-1999,104.9,,102.7,,103.7,,104.1,
04-1999,100.5,,99.5,,101.2,,100.4,
05-1999,97.9,,100.7,,101.3,,99.2,
06-1999,98.8,,98.8,,98,,98.7,
07-1999,98.3,,98.5,,96.3,,98,
08-1999,96.1,,96.8,,97.1,,96.5,
09-1999,94.9,,96.6,,97.1,,95.7,
10-1999,95.9,,97.9,,97.6,,96.7,
11-1999,95.6,,97.5,,97.8,,96.5,
12-1999,97.3,,98.2,,96.3,,97.4,
01-2000,96,,94.5,,94.2,,95.3,
02-2000,97.4,,91,,94.4,,95.3,
03-2000,97.4,,91.3,,93.7,,95.3,
04-2000,99.7,,93.5,,95.8,,97.5,
05-2000,100.6,,93.2,,95.7,,97.9,
06-2000,101.3,,94.7,,95.9,,98.8,
07-2000,101.3,,94.8,,94.7,,98.6,
08-2000,101.2,,94.9,,93.8,,98.4,
09-2000,102.4,,95.1,,95.2,,99.4,
10-2000,103.7,,99.1,,95,,101.1,
11-2000,103.6,,99.6,,95.8,,101.4,
12-2000,104.7,,99.7,,98,,102.4,
01-2001,110.7,,102.6,,96.4,,106.4,
02-2001,109.1,,100,,94.6,,104.4,
03-2001,107.4,,98.4,,94.5,,102.9,
04-2001,109,,98.1,,94.5,,103.6,
05-2001,108.5,,98.9,,94.5,,103.6,
06-2001,106.3,,99.5,,94.3,,102.3,
07-2001,106.3,,98.3,,93.2,,101.8,
08-2001,104.9,,98.1,,93.1,,100.9,
09-2001,102.5,,97.6,,91.9,,99.2,
10-2001,101,,94.7,,91.1,,97.4,
11-2001,97.9,,94.2,,90.7,,95.5,
12-2001,96.3,,92.4,,89.4,,93.9,
01-2002,93.8,,91.2,,88.3,,92,
02-2002,91.8,,87.3,,86.6,,89.5,
03-2002,88.2,,87.2,,85.4,,87.4,
04-2002,86.8,,85.3,,84.4,,85.9,
05-2002,86.5,,84.1,,84.1,,85.3,
06-2002,86.1,,84,,84,,85.1,
07-2002,85.5,,83.9,,82.8,,84.5,
08-2002,84.4,,83.4,,82.4,,83.7,
09-2002,84,,83.5,,83.1,,83.7,
10-2002,82.8,,84.3,,83.3,,83.3,
11-2002,81.6,,84.5,,83,,82.7,
12-2002,80.6,,85.2,,81.4,,82.1,
01-2003,80.7,,83.3,,80.7,,81.5,
02-2003,78.3,,80.5,,79.6,,79.2,
03-2003,76.5,,79.2,,77.5,,77.5,
04-2003,74.7,,77.3,,77.1,,75.9,
