PRIVATE  OFFICES  -  RENTAL  INDICES  BY  GRADE  (ALL  DISTRICTS) [QUARTERLY],,,,,,,,
Quarter,Grade A,Grade A - Remarks,Grade B,Grade B - Remarks,Grade C,Grade C - Remarks,Overall,Overall - Remarks
01-03/1978,-,,-,,-,,17.4,
04-06/1978,-,,-,,-,,18,
07-09/1978,-,,-,,-,,18.6,
10-12/1978,-,,-,,-,,18.3,
01-03/1979,-,,-,,-,,20.4,
04-06/1979,-,,-,,-,,21.7,
07-09/1979,-,,-,,-,,23.2,
10-12/1979,-,,-,,-,,34.6,
01-03/1980,-,,-,,-,,31.7,
04-06/1980,-,,-,,-,,46.5,
07-09/1980,-,,-,,-,,53.6,
10-12/1980,-,,-,,-,,57.3,
01-03/1981,-,,-,,-,,61.9,
04-06/1981,-,,-,,-,,65.7,
07-09/1981,-,,-,,-,,68.7,
10-12/1981,-,,-,,-,,70.5,
01-03/1982,-,,-,,-,,72.2,
04-06/1982,-,,-,,-,,66.2,
07-09/1982,-,,-,,-,,63.3,
10-12/1982,-,,-,,-,,57.5,
01-03/1983,-,,-,,-,,51.7,
04-06/1983,-,,-,,-,,49.6,
07-09/1983,-,,-,,-,,47.5,
10-12/1983,-,,-,,-,,45.7,
01-03/1984,-,,-,,-,,45.4,
04-06/1984,-,,-,,-,,43.4,
07-09/1984,-,,-,,-,,42.4,
10-12/1984,-,,-,,-,,40.6,
01-03/1985,-,,-,,-,,41,
04-06/1985,-,,-,,-,,42.6,
07-09/1985,-,,-,,-,,44.2,
10-12/1985,-,,-,,-,,45.8,
01-03/1986,48.8,,48.6,,51.3,,49.3,
04-06/1986,51.4,,47.9,,50.9,,50.3,
07-09/1986,53.1,,48.5,,49.9,,50.8,
10-12/1986,60.6,,50.9,,52.3,,54.4,
01-03/1987,64.7,,56,,54.5,,57.7,
04-06/1987,65.5,,61,,56.4,,60.7,
07-09/1987,76.7,,68.4,,61.6,,68.7,
10-12/1987,82.3,Z,69.2,,71,,74.4,
01-03/1988,78.6,,74.4,,70.2,,74.7,
04-06/1988,76.3,,82.9,,73.6,,77.7,
07-09/1988,85.7,,87,,77.3,,84,
10-12/1988,95.2,,99.7,,91,,95.8,
01-03/1989,120.3,,121,,103.9,,116.9,
04-06/1989,138.6,,142.4,,128.8,,137.9,
07-09/1989,140.3,,156.8,,133.1,,144.3,
10-12/1989,143.2,,156.8,,136.9,,146.5,
01-03/1990,141.9,,146,,134.9,,142,
04-06/1990,139.1,,143.8,,131.2,,139.1,
07-09/1990,135.1,,140.2,,130.9,,136.1,
10-12/1990,133.6,,135.1,,124.7,,132.1,
01-03/1991,129.7,,136.3,,125,,131.2,
04-06/1991,123.8,,134.3,,125,,128.1,
07-09/1991,122.1,,135.4,,127.5,,128.3,
10-12/1991,126.5,,137.2,,128.3,,130.7,
01-03/1992,125.7,,141.3,,132.4,,132.9,
04-06/1992,130.1,,139.9,,135.7,,135.1,
07-09/1992,131.8,,146.5,,135.9,,138.1,
10-12/1992,135.5,,147.8,,139.7,,141,
01-03/1993,137.8,,149.5,,145,,143.5,
04-06/1993,142.6,,155.7,,145.7,,147.6,
07-09/1993,150.7,,158.1,,147,,152.2,
10-12/1993,154.1,,162.9,,152.3,,156.4,
01-03/1994,167.8,,173.4,,160.6,,168,
04-06/1994,182.2,,184.6,,168.3,,180.1,
07-09/1994,191.3,,193.2,,171.6,,187.5,
10-12/1994,196.4,,195.5,,177.1,,191.7,
01-03/1995,195.1,,193.3,,175.9,,190.2,
04-06/1995,184.2,,185.5,,172.7,,182,
07-09/1995,179.7,,178.7,,166.8,,176.6,
10-12/1995,167,,168.3,,158.5,,165.6,
01-03/1996,155.1,,160.6,,152.5,,156.3,
04-06/1996,151,,152.8,,147.1,,150.8,
07-09/1996,150.4,,152.3,,147.3,,150.4,
10-12/1996,150.7,,155.1,,148.3,,151.5,
01-03/1997,153.1,,157.3,,148.2,,153.4,
04-06/1997,156.3,,161.4,,152.4,,157,
07-09/1997,158.8,,160.1,,151.4,,158,
10-12/1997,160.4,,160.4,,150.5,,159,
01-03/1998,156.4,,155.9,,142,,154,
04-06/1998,146.5,,144.1,,132.9,,143.8,
07-09/1998,131.4,,128.5,,121.1,,129,
10-12/1998,118.9,,115,,113,,116.9,
01-03/1999,108.2,,105.1,,105.8,,107,
04-06/1999,99.1,,99.7,,100.2,,99.4,
07-09/1999,96.4,,97.3,,96.8,,96.7,
10-12/1999,96.3,,97.9,,97.2,,96.9,
01-03/2000,96.9,,92.3,,94.1,,95.3,
04-06/2000,100.5,,93.8,,95.8,,98.1,
07-09/2000,101.6,,94.9,,94.6,,98.8,
10-12/2000,104,,99.5,,96.3,,101.6,
01-03/2001,109.1,,100.3,,95.2,,104.6,
04-06/2001,107.9,,98.8,,94.4,,103.2,
07-09/2001,104.6,,98,,92.7,,100.6,
10-12/2001,98.4,,93.8,,90.4,,95.6,
01-03/2002,91.3,,88.6,,86.8,,89.6,
04-06/2002,86.5,,84.5,,84.2,,85.4,
07-09/2002,84.6,,83.6,,82.8,,84,
10-12/2002,81.7,,84.7,,82.6,,82.7,
01-03/2003,78.5,,81,,79.3,,79.4,
04-06/2003,73.3,,76,,74.8,,74.3,
07-09/2003,69.8,,73.5,,74.3,,71.7,
10-12/2003,71.8,,74.7,,74.7,,73.1,
01-03/2004,73.2,,76,,75.8,,74.3,
04-06/2004,75.3,,78.8,,78.7,,76.8,
07-09/2004,78.7,,80.2,,78.4,,79,
10-12/2004,81.4,,83.9,,81.4,,82.1,
01-03/2005,89.6,,86.5,,83.8,,87.7,
04-06/2005,95.1,,91.4,,87.8,,92.8,
07-09/2005,104.4,,96.7,,90.6,,99.8,
10-12/2005,111.1,,101.6,,92.6,,105.4,
01-03/2006,117.2,,105.5,,93.6,,110.1,
04-06/2006,125.5,,112.8,,98.7,,117.4,
07-09/2006,128.6,,115.8,,101.3,,120.3,
10-12/2006,129.3,,118,,104.3,,121.6,
01-03/2007,134.1,,122.5,,106.5,,125.8,
04-06/2007,137.8,,127,,109.7,,129.6,
07-09/2007,141.8,,130.3,,113.7,,133.5,
10-12/2007,146.6,,136,,118.4,,138.7,
01-03/2008,155.1,,143,,122.5,,146.1,
04-06/2008,167.4,,152.4,,129.7,,156.9,
07-09/2008,171.8,,158.2,,130.3,,161.3,
10-12/2008,169,,152.6,,127.1,,157.7,
01-03/2009,150.5,,137.6,,117.1,,141.6,
04-06/2009,137.8,,131.3,,113.4,,132.1,
07-09/2009,137.7,,131.7,,116.8,,132.7,
10-12/2009,140.2,,138.2,,121.5,,136.6,
01-03/2010,142.4,,143.7,,126.6,,140.2,
04-06/2010,148.5,,148.3,,131,,145.7,
07-09/2010,153,,152.9,,135.7,,150.3,
10-12/2010,157.6,,155.9,,139.2,,154.3,
01-03/2011,163,,158.7,,140.1,,158.4,
04-06/2011,172.8,,165,,145.7,,166.7,
07-09/2011,183.4,,169.6,,151.3,,174.9,
10-12/2011,188.8,,173.2,,153.6,,179.4,
01-03/2012,190.9,,177.7,,157.6,,182.6,
04-06/2012,194.9,,181.5,,162.7,,186.5,
07-09/2012,199.7,,186.7,,165.5,,190.8,
10-12/2012,202.2,,189.2,,168.1,,193.2,
01-03/2013,204.9,,194.6,,172.9,,196.9,
04-06/2013,211.6,,199.4,,180.8,,203.5,
07-09/2013,214.8,,204.2,,187.1,,207.9,
10-12/2013,214.6,,204.6,,188,,208.1,
01-03/2014,214.6,,207.8,,190,,209.1,
04-06/2014,217.6,,210.6,,193.9,,212.2,
07-09/2014,221.3,,214.1,,197.6,,215.8,
10-12/2014,222.6,,216,,201.7,,217.7,
01-03/2015,224.9,,220.1,,204.9,,220.8,
04-06/2015,230.2,,225.4,,210.9,,226,
07-09/2015,233.8,,228.9,,214.2,,229.6,
10-12/2015,234.8,,229.6,,213.5,,230.2,
01-03/2016,235.6,,230.5,,212.8,,230.7,
04-06/2016,237.7,,230.1,,212.2,,231.7,
07-09/2016,238.8,,230.8,,213.7,,232.8,
10-12/2016,239.6,,232.5,,215.6,,234,
01-03/2017,243.9,,234.8,,215.4,,237.1,
04-06/2017,247.2,,236.3,,220.5,,240.3,
07-09/2017,251,,238.7,,224.8,,243.9,
10-12/2017,253.1,,240.4,,225.8,,245.7,
01-03/2018,253.7,,243.4,,225.6,,246.8,
04-06/2018,261.1,,245.5,,224.8,,251.4,
07-09/2018,263.9,,247.2,,230.3,,254.1,
10-12/2018,265.6,,250.4,,233.4,,256.4,
01-03/2019,268.1,,254.2,,234.9,,259.3,
04-06/2019,271.8,,258.7,,238.9,,263.5,
07-09/2019,272.5,,258.5,,238.9,,263.9,
10-12/2019,268.1,,252.8,,232.4,,258.7,
01-03/2020,263.2,,246.7,,225.4,,253.1,
04-06/2020,252.6,,238.9,,216.5,,243.4,
07-09/2020,246.4,,230.7,,217.3,,237.7,
10-12/2020,237.2,,230.6,,218.8,,232.6,
01-03/2021,237.3,,232.7,,215.2,,232.7,
04-06/2021,236.1,,231.5,,218,,232,
07-09/2021,237.3,,233.4,,224.4,,234.2,
10-12/2021,237.2,,234.8,,223.6,,234.5,
01-03/2022,233.9,,233.2,,219.4,,231.6,
04-06/2022,231.4,,231.2,,216.3,,229.1,
07-09/2022,232.8,,232.5,,218.9,,230.7,
10-12/2022,230.4,,229.5,,219.4,,228.5,
01-03/2023,228.4,,228.5,,218,,226.8,
04-06/2023,227.9,,231.1,,220.7,,227.7,
07-09/2023,227.2,,233.5,,224.7,,228.6,
10-12/2023,227,,231.8,,222.6,,227.6,
01-03/2024,225.1,,228.9,,216.3,,224.8,
04-06/2024,221,,225.1,,213.6,,220.9,
07-09/2024,216.4,,222.3,,212.6,,217.5,
