PRIVATE  OFFICES  -  PRICE  INDICES  BY  GRADE  (ALL  DISTRICTS) [MONTHLY],,,,,,,,
Month,Grade A,Grade A - Remarks,Grade B,Grade B - Remarks,Grade C,Grade C - Remarks,Overall,Overall - Remarks
01-1993,144.8,Z,160,Z,147.4,,147.2,
02-1993,156.5,,157.1,Z,166.8,,158.6,
03-1993,152.7,,187.2,,156.7,,158,
04-1993,151.5,,171,,165.3,,156.8,
05-1993,150.5,,171.9,,170.3,,157.3,
06-1993,162.1,,178.9,,162.2,,164.7,
07-1993,159.8,,181.7,,167,,164.7,
08-1993,162.9,,182.1,,167,,167.2,
09-1993,168.8,,173.1,,164.8,,168.9,
10-1993,174.8,,175.9,,165.7,,173.3,
11-1993,173.9,,179.8,,167.6,,173.9,
12-1993,180.3,,196.1,,181.8,,184.1,
01-1994,188.9,,206.6,,188.7,,192.8,
02-1994,208.3,,229.9,,194.2,,210.2,
03-1994,243.5,,247.1,,203.4,,236.1,
04-1994,241.7,,261.9,,209.4,,239.5,
05-1994,256,,275.8,,210.3,,250,
06-1994,231.2,,235.8,,216.1,,228.7,
07-1994,252.4,,244.7,,199.7,,238.1,
08-1994,227.9,,274,,216.2,,234.2,
09-1994,239.9,,266.9,,203.4,,235.8,
10-1994,219.1,,271,,205.9,,226.3,
11-1994,248.4,,252.5,,199.9,,236.5,
12-1994,235.3,,279.8,,202.3,,235.2,
01-1995,227.4,,198.9,Z,203.8,,216.2,
02-1995,220.7,Z,208.3,Z,203.2,,213.8,
03-1995,207.6,,241.2,,188.1,,208.5,
04-1995,212.5,,233.6,,192.1,,210.6,
05-1995,202,,218.9,,185.4,,200.5,
06-1995,193.2,,224.7,,180.7,,195.4,
07-1995,177.6,Z,189.9,,173.8,,178.7,
08-1995,193.1,Z,192.8,,179.2,,189.8,
09-1995,181.4,Z,206.4,Z,165.6,,182.4,
10-1995,161.3,Z,187.8,Z,168.6,,167.4,
11-1995,191.4,Z,187.2,Z,181.6,,188.4,
12-1995,189.6,Z,197.1,,160.5,,183.8,
01-1996,194.4,,198.1,,170.5,,189.2,
02-1996,193.5,,181.6,,163.6,,183.5,
03-1996,190,,214.6,,176.4,,191.9,
04-1996,189.9,,192.8,,161.5,,183.6,
05-1996,193.8,,218.8,,177.3,,195,
06-1996,185.1,,191.3,,190.6,,187.5,
07-1996,180.7,,194.9,,157.7,,178.4,
08-1996,186.2,,168.2,,161.7,,177.6,
09-1996,181.1,,196.6,,180.9,,183.8,
10-1996,182.7,,175.8,,162.7,,177.6,
11-1996,195.9,,206.8,,180.5,,195.2,
12-1996,229,,199.8,,176.4,,217.2,
01-1997,230.9,,225.6,,179.2,,223.2,
02-1997,220.6,,198.6,,180.6,,212,
03-1997,235.5,,233,,196.7,,229.9,
04-1997,227.3,,217.4,,185.7,,219.8,
05-1997,223.7,,233.7,,200,,221.9,
06-1997,244.7,,220.3,,194,,233.2,
07-1997,219.7,,211.8,,195,,214.6,
08-1997,205.1,,220.5,,178.3,,203.6,
09-1997,216.2,,197.1,,199.6,,210.4,
10-1997,218.4,,212.1,,197.2,,213.9,
11-1997,201.6,,213.2,,184.8,,200.9,
12-1997,170.9,,172.3,,181.5,,173.3,
01-1998,177.5,Z,158.4,Z,172.5,,172.2,
02-1998,162.7,Z,156.3,Z,149.9,,158.5,
03-1998,167.4,,167.5,,151.3,,163.9,
04-1998,168.4,,149.5,,159.2,,162.3,
05-1998,155.7,,143.7,,144.8,,150.8,
06-1998,136.4,,140.4,,145,,139.2,
07-1998,113.8,Z,120.2,Z,127.4,,118.2,
08-1998,112.9,Z,128.8,Z,123.1,Z,118.7,
09-1998,99,Z,116.7,Z,106.7,Z,104.8,
10-1998,112.6,Z,114.3,Z,112.1,Z,112.9,
11-1998,98.2,,108.8,Z,120.7,,105.4,
12-1998,100.5,,121.5,,107.2,,106.6,
01-1999,100.3,Z,101.7,Z,106.5,,101.9,
02-1999,97.2,Z,104.6,Z,104.2,Z,100.2,
03-1999,97.8,Z,102.8,Z,115.1,,102.4,
04-1999,99.2,,96,Z,113,,101.6,
05-1999,99.6,,99.3,Z,109,,101.7,
06-1999,101.8,,100.9,,100.8,,101.4,
07-1999,103.6,,102.8,Z,97.9,,102.3,
08-1999,102.3,Z,97.5,Z,93.9,,99.6,
09-1999,100.1,,96.9,,90.6,,97.4,
10-1999,103.9,,99.6,Z,90.4,,100.2,
11-1999,96.9,,98.1,,91.2,,95.9,
12-1999,97.2,,99.8,Z,87.1,,95.5,
01-2000,96.2,,101,Z,89.4,,95.6,
