PRIVATE  OFFICES  -  PRICE  INDICES  BY  GRADE  (ALL  DISTRICTS) [QUARTERLY],,,,,,,,
Quarter,Grade A,Grade A - Remarks,Grade B,Grade B - Remarks,Grade C,Grade C - Remarks,Overall,Overall - Remarks
01-03/1986,27.2,,30.1,,31.9,,29.2,
04-06/1986,27.4,,32.4,,32.9,,30.3,
07-09/1986,31.4,,29.2,,32.7,,31.2,
10-12/1986,31.4,,34.7,,34,,32.9,
01-03/1987,39.6,,36.8,,37.4,,38.1,
04-06/1987,41,,40.1,,39.3,,40.2,
07-09/1987,46.1,,43.5,,42.4,,44.1,
10-12/1987,44.5,,46.4,,45.5,,45.5,
01-03/1988,46.4,,49.6,,48.4,,48.1,
04-06/1988,53.3,,59.8,,56.3,,56.5,
07-09/1988,69,,68.9,,70.3,,69.5,
10-12/1988,81,,81.2,,77.8,,79.8,
01-03/1989,95.6,,96.5,,97.5,,96.5,
04-06/1989,111.6,,110.2,,105.3,,109,
07-09/1989,105,,106.1,,95.5,,102,
10-12/1989,106.6,,107.1,,101.3,,105.1,
01-03/1990,111.8,,104.4,,97.8,,105.3,
04-06/1990,91.2,,99.9,,95.1,,94.9,
07-09/1990,89.8,,99,,94,,93.4,
10-12/1990,105.9,,101.2,,98.2,,102.9,
01-03/1991,88.5,,100.1,,99.1,,94,
04-06/1991,88.1,,100.3,,102.5,,93.5,
07-09/1991,99.3,,113.7,,108.1,,103.8,
10-12/1991,106,,123.2,,109.3,,109.7,
01-03/1992,114.3,,139.1,,128.1,,121.8,
04-06/1992,129.1,,148.8,,140.4,,135.1,
07-09/1992,137.6,,154,,147.9,,142.4,
10-12/1992,144.2,,160.6,,158.7,,149.2,
01-03/1993,151.3,,168.1,,157,,154.6,
04-06/1993,154.7,,173.9,,165.9,,159.6,
07-09/1993,163.8,,179,,166.3,,166.9,
10-12/1993,176.3,,183.9,,171.7,,177.1,
01-03/1994,213.6,,227.9,,195.4,,213,
04-06/1994,243,,257.8,,211.9,,239.4,
07-09/1994,240.1,,261.9,,206.4,,236,
10-12/1994,234.3,,267.8,,202.7,,232.7,
01-03/1995,218.6,,216.1,,198.4,,212.8,
04-06/1995,202.6,,225.7,,186.1,,202.2,
07-09/1995,184,,196.4,,172.9,,183.6,
10-12/1995,180.8,,190.7,,170.2,,179.9,
01-03/1996,192.6,,198.1,,170.2,,188.2,
04-06/1996,189.6,,201,,176.5,,188.7,
07-09/1996,182.7,,186.6,,166.8,,179.9,
10-12/1996,202.5,,194.1,,173.2,,196.7,
01-03/1997,229,,219.1,,185.5,,221.7,
04-06/1997,231.9,,223.8,,193.2,,225,
