PRIVATE  OFFICES  -  RENTAL  AND  PRICE  INDICES  FOR  GRADE  A  OFFICES  IN  CORE  DISTRICTS [MONTHLY],,,,,,,,
Month,Rents (Sheung Wan / Central),Rents (Sheung Wan / Central) - Remarks,Rents (Wan Chai / Causeway Bay),Rents (Wan Chai / Causeway Bay) - Remarks,Rents (Tsim Sha Tsui),Rents (Tsim Sha Tsui) - Remarks,Prices (Core Districts),Prices (Core Districts) - Remarks
01-1993,135.6,,136.6,,147.2,,140.2,
02-1993,135.6,,142,,142.1,,159.5,
03-1993,132.2,,135.2,,147.8,,150.7,
04-1993,143.3,,143.9,,151.1,,144.5,
05-1993,144.8,,150.3,,149.8,,152.3,
06-1993,140.1,,149,,157.4,,167.5,
07-1993,150.7,,154.6,,160.1,,160,
08-1993,155.2,,154.2,,154.2,,175.6,
09-1993,156.4,,153.6,,161.1,,165.9,
10-1993,155,,150.3,,162.3,,175.8,
11-1993,163.4,,159,,158.6,,166.8,
12-1993,160.6,,165.7,,161.3,,179.3,
01-1994,164.1,,164.9,,173.4,,186.1,
02-1994,167.9,,177.9,,170.8,,213,
03-1994,178.1,,172.6,,177,,259,
04-1994,186.3,,188.6,,184.3,,252.2,
05-1994,184.4,,192.4,,183.1,,270,
06-1994,189.8,,187.6,,188,,240.4,
07-1994,195.3,,193,,186.1,,253.7,
08-1994,201.9,,202.1,,197,,257,
09-1994,208.7,,203,,200.3,,248.8,
10-1994,211.1,,200.1,,194.7,,220.2,Y
11-1994,200,,204.4,,196.2,,241.5,
12-1994,206.9,Y,212.1,,191.3,,241.2,
01-1995,206.7,,204.6,,191.3,,232.5,
02-1995,205,,209.7,,184.9,,215.9,Y
03-1995,206.4,,203.9,,176.5,,202.3,
04-1995,200.7,,196.7,,183.8,,204.7,
05-1995,193.9,,196.6,,178,,200.5,
06-1995,188,,186.3,,174.4,,190.7,
07-1995,193,,192.1,,169.9,,178.2,Y
08-1995,188.3,,183.3,,168.3,,177.7,Y
09-1995,194.5,,183.7,,166.8,,180.8,Y
10-1995,175.4,,172.7,,158.6,,151.6,Y
11-1995,181.3,,174.3,,155.3,,190.8,Y
12-1995,166,,172.4,,155.1,,186.8,
01-1996,158.3,,160.2,,146.6,,188.2,
02-1996,158.7,,163.3,,138.7,,187.1,
03-1996,160.8,,160.2,,148.9,,181.8,
04-1996,152.8,,159.3,,145.7,,190.2,
05-1996,155.4,,162.6,,145.4,,197.3,
06-1996,161.2,,162.9,,141.4,,188.9,
07-1996,155.4,,160,,138.8,,189.8,
08-1996,157.7,,161.3,,139.3,,200.4,
09-1996,160.3,,162.5,,143.5,,186.1,
10-1996,157.9,,157.6,,142.3,,189.3,
11-1996,162.5,,160.6,,145.6,,199.4,
12-1996,165.2,,156.2,,142.3,,227.3,
01-1997,165.5,,164.6,,147.2,,239.3,
02-1997,174.9,,155.9,,145.4,,229.8,
03-1997,166.3,,158.2,,147.4,,247.4,
04-1997,170,,170.9,,142,,257.6,
05-1997,167.2,,167.9,,146.5,,242.8,
06-1997,169.5,,168.2,,150.4,,254.1,
07-1997,171.3,,170.2,,149.3,,237.4,
08-1997,172.7,,169.6,,148.9,,230.3,
09-1997,171.9,,177.9,,157.2,,234.9,
10-1997,175.5,,171.6,,147.5,,224.9,
11-1997,170.7,,172.6,,149.8,,206.5,
12-1997,174.2,,173.2,,153.6,,175.6,
01-1998,173.8,,175.4,,147.2,,173.9,
02-1998,168.8,,176.4,,145.3,,161.7,
03-1998,167.1,,163.6,,142.4,,155.6,
04-1998,174.6,,168.9,,138.1,,165.1,
05-1998,163,,157.6,,136.5,,151.9,
06-1998,149,,153.5,,133.5,,131.7,
07-1998,146.8,,147.6,,126.9,,110.9,
08-1998,143.4,,141.3,,128.4,,108.3,Y
09-1998,136.4,,139.3,,118.4,,100.7,Y
10-1998,132.4,,134.2,,120.3,,110.6,
11-1998,125.5,,123.1,,111.5,,93.6,
12-1998,122.9,,120.6,,108.7,,88.8,
01-1999,117.3,,115.1,,106.3,,95.4,Y
02-1999,113.6,,113.2,,103.4,,101.5,Y
03-1999,106,,107.5,,107.2,,104.8,Y
04-1999,98,,103.8,,98.8,,95.1,
05-1999,97.8,,97.1,,95.1,,100.6,
06-1999,97.1,,97.6,,97.7,,101.1,
07-1999,96.9,,97.1,,101.3,,100.9,
08-1999,96.6,,94.6,,98.5,,104.8,
09-1999,92.4,,91.2,,100.4,,100.7,
10-1999,94.5,,88.8,,101.3,,103.4,
11-1999,90.1,,95.9,,92.8,,96.6,
12-1999,99.7,,98.1,,97.1,,95.1,
01-2000,92.9,,95.2,,95.8,,101.8,
02-2000,93.4,,98.1,,95.9,,101.3,
03-2000,96.7,,96.5,,94.7,,97.6,
04-2000,102.8,,94.3,,97.2,,100.1,
05-2000,100.9,,105.1,,97.3,,86.6,
06-2000,103,,102.2,,99.9,,92.4,
07-2000,103.7,,104.3,,96.4,,91.8,
08-2000,106.8,,99.5,,96.2,,96.7,
09-2000,107.5,,103.7,,97.6,,92.4,
10-2000,113.3,,104.5,,98.1,,96.4,
11-2000,113.1,,103.3,,96.3,,91.5,
12-2000,116.8,,106.4,,94.9,,95,
01-2001,120.9,,110.9,,98.6,,92.4,Y
02-2001,122.9,,105.2,,96.1,,88.4,
03-2001,124.5,,104.6,,101.5,,93,
04-2001,118.6,,110.2,,98.8,,93.5,
05-2001,120.2,,109.8,,97.8,,91.9,
06-2001,122.7,,109.9,,98.4,,90.1,
07-2001,116.6,,109.4,,97.3,,86.5,
08-2001,115.6,,105,,95.3,,93.2,Y
09-2001,115.6,,103.7,,92.6,,82.5,
10-2001,112.3,,101,,89.6,,77,Y
