PRIVATE  OFFICES  -  RENTAL  AND  PRICE  INDICES  FOR  GRADE  A  OFFICES  IN  CORE  DISTRICTS [QUARTERLY],,,,,,,,
Quarter,Rents (Sheung Wan / Central),Rents (Sheung Wan / Central) - Remarks,Rents (Wan Chai / Causeway Bay),Rents (Wan Chai / Causeway Bay) - Remarks,Rents (Tsim Sha Tsui),Rents (Tsim Sha Tsui) - Remarks,Prices (Core Districts),Prices (Core Districts) - Remarks
01-03/1989,128,,118.9,,127,,106.5,
04-06/1989,155.4,,137.6,,150.1,,124.8,
07-09/1989,143.3,,155.7,,159.3,,116.7,
10-12/1989,156.4,,158.7,,161.4,,119.3,
01-03/1990,161.1,,145.7,,154.2,,120,
04-06/1990,150.4,,147.3,,144.2,,105.5,
07-09/1990,151.1,,140.9,,147.5,,113.9,
10-12/1990,143.7,,139.6,,147.8,,121.6,
01-03/1991,138.8,,128.7,,149.5,,95,
04-06/1991,128.8,,124.1,,135.5,,92.9,
07-09/1991,120.2,,123.6,,139.1,,98.5,
10-12/1991,130.5,,125.9,,142.7,,101.9,
01-03/1992,120.6,,121.2,,136.3,,113.1,
04-06/1992,120.6,,124.6,,140.8,,123.9,
07-09/1992,130,,130,,144.1,,131.8,
10-12/1992,124.5,,128.1,,146.1,,137.9,
01-03/1993,134.5,,137.9,,145.7,,150.1,
04-06/1993,142.7,,147.7,,152.8,,154.8,
07-09/1993,154.1,,154.1,,158.5,,167.2,
10-12/1993,159.7,,158.3,,160.7,,174,
01-03/1994,170,,171.8,,173.7,,219.4,
04-06/1994,186.8,,189.5,,185.1,,254.2,
07-09/1994,202,,199.4,,194.5,,253.2,
10-12/1994,206,,205.5,,194.1,,234.3,
01-03/1995,206,,206.1,,184.2,,216.9,
04-06/1995,194.2,,193.2,,178.7,,198.6,
07-09/1995,191.9,,186.4,,168.3,,178.9,
10-12/1995,174.2,,173.1,,156.3,,176.4,
01-03/1996,159.3,,161.2,,144.7,,185.7,
04-06/1996,156.5,,161.6,,144.2,,192.1,
07-09/1996,157.8,,161.3,,140.5,,192.1,
10-12/1996,161.9,,158.1,,143.4,,205.3,
01-03/1997,168.9,,159.6,,146.7,,238.8,
04-06/1997,168.9,,169,,146.3,,251.5,
07-09/1997,172,,172.6,,151.8,,234.2,
10-12/1997,173.5,,172.5,,150.3,,202.3,
01-03/1998,169.9,,171.8,,145,,163.7,
04-06/1998,162.2,,160,,136,,149.6,
07-09/1998,142.2,,142.7,,124.6,,106.6,
10-12/1998,126.9,,126,,113.5,,97.7,
01-03/1999,112.3,,111.9,,105.6,,100.6,
04-06/1999,97.6,,99.5,,97.2,,98.9,
07-09/1999,95.3,,94.3,,100.1,,102.1,
10-12/1999,94.8,,94.3,,97.1,,98.4,
01-03/2000,94.3,,96.6,,95.5,,100.2,
04-06/2000,102.2,,100.5,,98.1,,93,
