PRIVATE  RETAIL  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],,,,,,,,,,,,
Month,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-1999,776,,799,,551,,145982,,136973,,140446,
02-1999,793,,835,,568,,111466,Z,234150,,111028,Z
03-1999,790,,865,,679,,107098,,161751,,104394,
04-1999,759,,831,,681,,110840,,227823,,82195,
05-1999,717,,861,,617,,171299,,139793,,153616,
06-1999,847,,838,,704,,120609,,162409,,83562,
07-1999,831,,961,,650,,134810,,198976,,74664,
08-1999,704,,930,,679,,197841,,179330,,109831,
09-1999,821,,914,,679,,124105,Z,167909,,138843,
10-1999,686,,814,,784,,101764,,133228,,125460,
11-1999,835,,917,,683,,116814,,159350,,84155,
12-1999,729,,1101,,754,,121717,Z,139414,,133369,
01-2000,767,,813,,622,,105856,,138900,,83851,
02-2000,803,,1056,,619,,145322,Z,153169,,82742,Z
03-2000,803,,1015,,771,,115265,,135361,,87326,
04-2000,761,,920,,679,,246998,,151200,,85820,
05-2000,762,,991,,739,,146783,,110113,,108177,
06-2000,896,,889,,787,,84730,,160972,,84231,
07-2000,787,,1066,,697,,90154,,168016,,109298,
08-2000,789,,950,,760,,142814,,189570,,73192,Z
09-2000,836,,909,,807,,120979,,121365,,122937,
10-2000,779,,955,,768,,113442,,177560,,84319,Z
11-2000,808,,1118,,883,,80357,,159277,,61105,
12-2000,793,,1005,,789,,123252,,165572,,73788,Z
01-2001,775,,889,,653,,88847,,181467,,96915,Z
02-2001,882,,1010,,635,,108558,,169950,,67510,Z
03-2001,898,,921,,713,,100328,,107213,,93910,
04-2001,787,,890,,675,,111348,,162749,,104339,
05-2001,800,,858,,730,,86007,,100941,,95171,
06-2001,869,,905,,705,,118730,,111748,,88609,
07-2001,796,,869,,725,,154568,,131437,,112637,
08-2001,798,,898,,725,,139634,,141579,,120699,
09-2001,917,,915,,685,,88864,,89312,,83333,
10-2001,901,,916,,689,,86818,Z,85488,,95713,
11-2001,1066,,983,,641,,103725,,122949,,85432,
12-2001,796,,1218,,591,,123769,,115238,,67418,
01-2002,780,,772,,691,,109905,,113451,,141865,
02-2002,764,,829,,525,,109661,,114342,,118602,
03-2002,852,,950,,647,,93931,,129542,,95584,
04-2002,743,,853,,733,,129094,,146688,,113116,
05-2002,920,,890,,616,,161389,,153789,,105649,
06-2002,798,,815,,662,,104094,,130090,,129913,
07-2002,750,,889,,608,,118727,,127162,,90347,
08-2002,725,,789,,577,,130344,,112581,,93433,
09-2002,762,,765,,584,,104190,,136765,,75671,
10-2002,757,,872,,664,,150569,,101295,,85352,
11-2002,834,,928,,755,,103804,,83365,,109048,
12-2002,790,,1050,,631,,145111,,94103,,124745,
01-2003,710,,776,,545,,89051,,127796,,100514,
02-2003,796,,849,,734,,114235,Z,105209,,84105,
03-2003,936,,852,,627,,135249,,106501,,95777,
04-2003,680,,739,,584,,163281,,100390,,72932,
05-2003,705,,699,,613,,112147,,96032,,89792,
06-2003,769,,801,,595,,127865,,79192,,112701,
07-2003,654,,794,,690,,65409,,117564,,65376,
08-2003,656,,751,,691,,123473,,118308,,103536,
09-2003,806,,804,,741,,97463,,131437,,96725,
10-2003,748,,837,,706,,134399,,190074,,108173,
11-2003,850,,915,,777,,95884,,134839,,94528,
12-2003,745,,1216,,717,,160603,,147515,,111844,
01-2004,703,,807,,713,,187412,,200152,,119304,
02-2004,893,,838,,630,,209776,,244403,,113606,
03-2004,821,,888,,744,,184265,,257271,,109909,
04-2004,689,,798,,679,,128784,,169056,,121709,
05-2004,944,,908,,747,,145532,,193909,,102805,
06-2004,933,,896,,662,,102939,,174195,,86848,
07-2004,907,,1017,,638,,115308,,144230,,74037,
08-2004,820,,799,,706,,172520,,158849,,112112,
09-2004,862,,871,,676,,177500,,184596,,100885,
10-2004,833,,986,,723,,195481,,190919,,116487,
11-2004,900,,954,,810,,218904,,257910,,143206,
12-2004,844,,1053,,787,,154476,,269936,,112346,
01-2005,804,,854,,692,,202172,,260975,,134359,
02-2005,744,,829,,881,,174658,,246007,,224329,
03-2005,988,,1005,,793,,188737,,237654,,143519,
04-2005,834,,892,,739,,186139,,264848,,139002,
05-2005,1079,,838,,714,,154018,,236799,,128583,
06-2005,933,,896,,695,,263382,,253153,,112777,
07-2005,969,,942,,803,,156906,,182677,,102379,
08-2005,898,,1138,,697,,190947,,182236,,144834,
09-2005,961,,946,,855,,158234,,213887,,112694,
10-2005,919,,993,,764,,187335,,150976,,173529,
11-2005,1126,,996,,677,,158178,,188474,,168211,
12-2005,941,,1398,,930,,125400,,191409,,140567,
01-2006,812,,1138,,791,,164435,,151377,,89372,
02-2006,888,,914,,766,,109934,,161011,,135400,
03-2006,1005,,1030,,794,,177508,,183131,,109177,
04-2006,973,,875,,702,,209266,,246129,,114317,
05-2006,1034,,883,,721,,164662,,178198,,97042,
06-2006,951,,908,,752,,157330,,135150,,108510,
07-2006,1037,,1143,,733,,148642,,192349,,105835,
08-2006,960,,884,,701,,182302,,289441,,127771,
09-2006,1146,,1057,,788,,142737,,166174,,100784,
10-2006,941,,1055,,891,,159353,,131356,,116915,
11-2006,1151,,1111,,981,,173132,,161852,,124479,
12-2006,1019,,1065,,795,,133859,,205065,,127475,
01-2007,1000,,857,,656,,170515,,171248,,142536,
02-2007,887,,917,,614,,152500,,151482,,90419,
03-2007,1108,,935,,872,,255132,,199466,,129448,
04-2007,935,,944,,798,,174972,,212890,,118452,
05-2007,1032,,943,,784,,247336,,201411,,157059,
06-2007,1146,,947,,754,,265347,,265958,,135637,
07-2007,1040,,970,,866,,216170,,213524,,197152,
08-2007,1136,,1128,,851,,216098,,174154,,157296,
09-2007,1132,,1094,,923,,239545,,284189,,144404,
10-2007,1077,,1105,,912,,251894,,232567,,117333,
11-2007,1225,,1196,,840,,285998,,200273,,155240,
12-2007,942,,1316,,802,,320998,,229188,,139506,
01-2008,1088,,952,,780,,245805,,236356,,144421,
02-2008,1137,,1004,,955,,272987,,352251,,168166,
03-2008,1274,,1169,,1025,,252064,,231691,,141295,
04-2008,1033,,998,,879,,182686,,243228,,151578,
05-2008,1183,,1047,,842,,224380,,236966,,112681,
06-2008,1153,,1200,,858,,257220,,244444,,133463,
07-2008,1568,,1180,,885,,207380,,214301,,163842,
08-2008,1190,,1067,,832,,289009,,217039,,175266,
09-2008,1224,,1145,,888,,235065,,197271,,125696,
10-2008,1122,,1096,,924,,227385,,154151,,108912,
11-2008,1143,,1276,,946,,130122,Z,187420,,137315,
12-2008,1050,,1200,,909,,123118,,277947,,118322,
01-2009,858,,965,,676,,211261,,249647,,117986,
02-2009,972,,930,,812,,217058,,231359,,111043,
03-2009,1044,,1162,,892,,200728,,233780,,118444,
04-2009,955,,938,,772,,156567,,175162,,138565,
05-2009,1068,,973,,829,,410667,,283822,,136039,
06-2009,1087,,1007,,882,,314353,,253803,,165520,
07-2009,1180,,987,,874,,301793,,296837,,150624,
08-2009,1150,,1097,,898,,220790,,245223,,166445,
09-2009,1135,,1145,,903,,317224,,244638,,148861,
10-2009,1168,,1154,,908,,380750,,261410,,153675,
11-2009,1212,,1321,,915,,274385,,229718,,161215,
12-2009,1056,,1230,,844,,294867,,245258,,178292,
01-2010,1015,,972,,747,,283893,,256572,,158098,
02-2010,985,,1001,,856,,374744,,209436,,187398,
03-2010,1395,,1222,,975,,284753,,319197,,195321,
04-2010,1027,,1049,,889,,226829,,271703,,215611,
05-2010,1266,,1097,,935,,242536,,301993,,183090,
06-2010,1332,,1202,,926,,310642,,251814,,194599,
07-2010,1440,,1194,,996,,234583,,285980,,201656,
08-2010,1262,,1137,,982,,408475,,265753,,167272,
09-2010,1339,,1320,,995,,274434,,295936,,199173,
10-2010,1225,,1230,,1014,,284780,,298159,,188816,
11-2010,1187,,1341,,978,,412646,,407240,,209075,
12-2010,1277,,1301,,939,,274154,,277961,,239666,
01-2011,1039,,996,,830,,331526,,355937,,211455,
02-2011,1245,,1036,,957,,537609,,350048,,202751,
03-2011,1230,,1262,,1040,,384216,,334518,,248219,
04-2011,1192,,1057,,984,,392990,,395589,,283995,
05-2011,1384,,1236,,1037,,321200,,391103,,243341,
06-2011,1450,,1249,,1098,,434639,,327275,,312188,
07-2011,1311,,1277,,1087,,399478,,282757,,272101,
08-2011,1439,,1343,,1080,,446679,,379350,,250713,
09-2011,1306,,1417,,1113,,471671,,228687,,205221,
10-2011,1280,,1242,,1041,,478248,,292821,,188060,
11-2011,1389,,1465,,1027,,369572,,482468,,331077,
12-2011,1295,,1361,,1078,,568509,,538450,,288347,
01-2012,1137,,1235,,864,,309228,Z,402247,,160881,
02-2012,1245,,1261,,1078,,664266,,304592,,211852,
03-2012,1555,,1455,,1234,,639735,,506971,,288188,
04-2012,1353,,1296,,1099,,418258,,436596,,311375,
05-2012,1456,,1346,,1236,,459250,,454303,,282592,
06-2012,1489,,1690,,1212,,517191,,443989,,291524,
07-2012,1603,,1389,,1201,,485276,,426777,,292837,
08-2012,1407,,1339,,1177,,426612,,429680,,289681,
09-2012,1733,,1589,,1250,,504662,,427209,,349717,
10-2012,1487,,1524,,1258,,522450,,437840,,321290,
11-2012,1633,,1646,,1043,,507749,,517822,,357318,
12-2012,1450,,1539,,1107,,433457,,448918,,360797,
01-2013,1297,,1334,,919,,547133,,396516,,387794,
02-2013,1288,,1206,,1189,,505915,,513174,,377482,
03-2013,1754,,1547,,1109,,611711,,447625,,353635,
04-2013,1393,,1373,,1176,,522757,,385033,,204261,
05-2013,1639,,1385,,1155,,422778,,356261,,257508,
06-2013,1604,,1416,,1234,,330516,Z,418145,,410698,
07-2013,1616,,1555,,1227,,665084,,593362,,348074,
08-2013,1546,,1631,,1207,,429936,Z,405350,,322626,
09-2013,1618,,1695,,1216,,526425,Z,328878,,423777,
10-2013,1368,,1400,,1266,,527919,,387876,,366180,
11-2013,1759,,1705,,1169,,597525,,419578,,436247,
12-2013,1501,,1343,,1068,,356256,,458732,,292804,
01-2014,1232,,1401,,1073,,763571,Z,437297,,375731,
02-2014,1559,,1360,,1125,,507753,Z,495480,,446508,
03-2014,1725,,1629,,1218,,546391,Z,441660,,487774,
04-2014,1648,,1441,,1219,,386764,,369397,,407947,
05-2014,1574,,1430,,1298,,387316,,475167,,369148,
06-2014,1887,,1548,,1288,,446014,Z,329482,,286760,
07-2014,1699,,1452,,1223,,342918,Z,349556,,353402,
08-2014,1551,,1463,,1335,,388295,,485307,,362529,
09-2014,1818,,1665,,1326,,378716,,387921,,415287,
10-2014,1546,,1643,,1255,,571173,Z,467126,,258531,
11-2014,1456,,1827,,1202,,435310,,491165,,359466,
12-2014,1669,,1537,,1284,,438674,Z,413716,,487348,
01-2015,1453,,1497,,1033,,642365,,358230,,439290,
02-2015,1355,,1520,,1318,,409872,Z,399922,,356213,
03-2015,1560,,1774,,1358,,472611,Z,462861,,330603,
04-2015,1683,,1518,,1361,,555156,,477722,,328025,
05-2015,1518,,1575,,1310,,457014,,376477,,436987,
06-2015,1796,,1530,,1343,,539458,,364351,,412280,
07-2015,1580,,1498,,1256,,817901,Z,391872,,319986,
08-2015,1781,,1527,,1288,,469975,Z,540594,,261395,
09-2015,1579,,1515,,1292,,655026,,449962,Z,387031,
10-2015,1618,,1367,,1291,,437688,Z,231156,,318805,Z
11-2015,1736,,1350,,1213,,649839,Z,445839,,419437,Z
12-2015,1514,,1424,,1225,,361025,Z,298474,,370612,Z
01-2016,1516,,1174,,1143,,425890,Z,463191,,708985,Z
02-2016,1464,,1286,,1223,,464599,Z,433441,Z,226707,Z
03-2016,1701,,1448,,1330,,888210,Z,330014,,347135,Z
04-2016,1518,,1332,,1276,,359300,Z,413074,,350741,Z
05-2016,1474,,1333,,1326,,350826,Z,342297,,340558,Z
06-2016,1432,,1289,,1448,,513095,Z,328254,,400859,Z
07-2016,1714,,1186,,1290,,282890,Z,340809,,465329,Z
08-2016,1402,,1296,,1336,,517052,Z,573514,,434829,
09-2016,1446,,1547,,1242,,478929,Z,357502,,255569,
10-2016,1414,,1307,,1259,,470705,Z,378523,,493170,
11-2016,1453,,1576,,1256,,492334,,471074,,401414,
12-2016,1381,,1233,,1383,,389647,Z,476088,,392940,
01-2017,1463,,1282,,1152,,384780,Z,357841,,423087,
02-2017,1476,,1330,,1210,,529939,Z,335551,,298165,Z
03-2017,1599,,1455,,1372,,675458,,299383,,391562,
04-2017,1620,,1264,,1303,,455688,,492611,,426177,
05-2017,1426,,1450,,1369,,430574,,385693,,417289,
06-2017,1584,,1290,,1351,,517635,Z,354524,,438909,
07-2017,1472,,1271,,1336,,696957,,406541,,354989,
08-2017,1572,,1382,,1375,,418273,,369818,,319983,Z
09-2017,1398,,1624,,1277,,420152,,429095,,504227,
10-2017,1470,,1445,,1450,,468486,,380443,,275079,
11-2017,1591,,1561,,1313,,701148,,353150,,460931,
12-2017,1478,,1403,,1246,,615585,,341376,,387937,
01-2018,1427,,1328,,1167,,430806,,537371,,323440,
02-2018,1461,,1412,,1283,,436367,Z,404305,,466843,
03-2018,1551,,1578,,1384,,380580,,511518,,486844,
04-2018,1411,,1481,,1262,,656849,,540651,,348460,
05-2018,1529,,1373,,1374,,715553,,392954,,346066,
06-2018,1574,,1394,,1398,,468131,,366529,,397519,
07-2018,1520,,1301,,1406,,382839,Z,537171,,408229,
08-2018,1692,,1398,,1386,,446894,,360223,,603420,
09-2018,1682,,1597,,1371,,526729,,421374,,356483,
10-2018,1535,,1499,,1347,,578267,Z,380800,,316057,Z
11-2018,1602,,1369,,1426,,451404,Z,294118,,362343,Z
12-2018,1383,,1354,,1297,,463241,Z,398940,,357436,Z
01-2019,1357,,1345,,1179,,710901,Z,394355,Z,436568,
02-2019,1504,,1304,,1470,,520952,Z,287613,,268503,Z
03-2019,1690,,1591,,1409,,548966,Z,420898,,389167,
04-2019,1750,,1380,,1353,,477196,,414128,,339777,
05-2019,1531,,1397,,1400,,284772,Z,371138,,351026,
06-2019,1736,,1362,,1400,,498969,Z,326930,,288779,
07-2019,1511,,1340,,1355,,500770,Z,346927,Z,500095,Z
08-2019,1537,,1453,,1387,,649855,Z,353335,,652198,Z
09-2019,1438,,1448,,1338,,348148,Z,543072,,394418,Z
10-2019,1391,,1418,,1324,,709924,Z,278221,,395364,Z
11-2019,1421,,1297,,1264,,611661,Z,462460,,356524,
12-2019,1221,,1318,,1273,,333695,Z,414008,Z,339384,Z
01-2020,1182,,1210,,1053,,593236,Z,284603,,245277,Z
02-2020,1280,,1169,,1166,,426119,Z,401857,Z,306259,Z
03-2020,1322,,1129,,1279,,446465,Z,339961,,377091,Z
04-2020,1144,,1085,,1076,,404816,Z,399570,,444133,Z
05-2020,1036,,1176,,1164,,512103,Z,627627,,405860,
06-2020,1249,,1124,,1252,,614544,Z,344210,,436605,
07-2020,1173,,1117,,1208,,402504,Z,389822,,296271,
08-2020,1137,,1069,,1129,,405735,Z,330234,,310403,
09-2020,1318,,1121,,1213,,299516,,417515,,374617,
10-2020,1149,,1053,,1102,,418228,Z,323553,,394771,
11-2020,1264,,1160,,1171,,469377,Z,378324,,486232,
12-2020,1253,,1157,,1180,,411706,,378554,,418780,
01-2021,1219,,1033,,1064,,486679,,444359,,345336,
02-2021,1135,,1192,,1244,,449493,,576579,,443217,
03-2021,1340,,1152,,1345,,629964,,401197,,445447,
04-2021,1272,,1096,,1217,,433956,,360144,,461145,
05-2021,1194,,1098,,1230,,841004,,397993,,392366,
06-2021,1358,,1101,,1246,,461994,,423292,,369550,
07-2021,1208,,1030,,1189,,534866,,376536,,433129,
08-2021,1282,,1200,,1193,,820819,,422468,,435911,
09-2021,1339,,1123,,1247,,488126,,364395,,423847,
10-2021,1131,,1103,,1244,,721320,Z,374214,,402319,Z
11-2021,1341,,1224,,1168,,469362,,405087,,463943,
12-2021,1270,,1103,,1181,,372590,Z,372273,,352431,
01-2022,1199,,1088,,1064,,596401,,406945,,382744,
02-2022,1278,,1070,,1183,,652607,Z,533522,Z,367038,Z
03-2022,1278,,1115,,1193,,445732,Z,425738,,329184,Z
04-2022,1066,,1116,,1076,,407771,,378317,,310052,
05-2022,1219,,1051,,1179,,347841,,319079,,550326,
06-2022,1244,,1126,,1228,,384591,,627952,,323499,
07-2022,1249,,1049,,1228,,412987,Z,402621,,516722,Z
08-2022,1212,,1099,,1139,,569386,Z,351831,,298763,
09-2022,1253,,1110,,1149,,358716,Z,246168,,418510,Z
10-2022,1067,,1078,,1216,,436159,Z,209374,,199331,Z
11-2022,1265,,1232,,1153,,618109,Z,286678,,210584,Z
12-2022,1042,,1114,,1217,,565273,Z,261113,,463529,Z
01-2023,1031,,978,,1025,,541724,Z,490620,,500042,Z
02-2023,1454,,1125,,1254,,512867,Z,412190,,263102,Z
03-2023,1307,,1187,,1267,,387678,Z,412678,,377219,
04-2023,1296,,1184,,1164,,380100,Z,409620,Z,393806,
05-2023,1216,,1199,,1187,,846172,Z,368203,,480920,Z
06-2023,1437,,1170,,1244,,536640,Z,406325,,299937,Z
07-2023,1257,,1151,,1202,,534154,Z,307026,,275554,Z
08-2023,1309,,1164,,1201,,420686,Z,361393,Z,252223,
09-2023,1334,,1208,,1255,,287686,Z,336683,Z,229418,Z
10-2023,1174,,1143,,1161,,313675,Z,241032,Z,442932,Z
11-2023,1236,,1287,,1174,,569236,Z,296290,,244473,Z
12-2023,1204,,1210,,1196,,526521,Z,229753,Z,366464,Z
01-2024,1116,,1069,,1008,,506884,Z,293845,,453660,Z
02-2024,1100,,1104,,1220,,188145,Z,366646,Z,300417,Z
03-2024,1141,,1134,,1235,,300955,Z,377608,Z,366779,Z
04-2024,1201,,1038,,1113,,325080,Z,393219,,229875,Z
05-2024,1099,,1023,,1174,,331083,Z,306766,,327032,
06-2024,1169,,1123,,1175,,483706,Z,210676,Z,341507,Z
07-2024,1215,,1066,,1121,,470009,Z,313692,Z,212334,Z
08-2024,1200,,1045,,1109,,282932,Z,325882,Z,305811,Z
09-2024,1303,,1061,,1080,,210695,Z,316661,Z,303584,Z
10-2024,1116,P,1222,P,1092,P,280970,PZ,300865,PZ,268939,PZ
11-2024,1106,P,1438,P,1109,P,200782,PZ,220072,PZ,322207,PZ
12-2024,1066,P,1068,P,1203,P,350286,PZ,231223,P,213410,PZ
01-2025,967,P,975,P,1052,P,376611,PZ,251695,PZ,314914,PZ
