PRIVATE  RETAIL  -  AVERAGE  RENTS  AND  PRICES [QUARTERLY[89-98]],,,,,,,,,,,,,,,,
Quarter,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Kowloon),Rents (New Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Kowloon),Prices (New Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-03/1989,591.2,,591.4,,302.1,,227.4,,46013,,44875,,41173,,40737,
04-06/1989,520.4,,583.1,,336.1,,245.3,,44363,,55018,,40647,,42812,
07-09/1989,454.4,,551.9,,374.3,,293.4,,38631,,43610,,35692,,40521,
10-12/1989,505.6,,728.5,,347.7,,279.1,,45012,,39224,,44069,,36312,
01-03/1990,467.5,,602.8,,296.5,,232.6,,42600,,51677,,48700,,31679,
04-06/1990,485.9,,676.7,,348.3,,299.2,,49989,,57694,,47676,,36654,
07-09/1990,487.5,,593.9,,418,,286.4,,48277,,58997,,51049,,38846,
10-12/1990,562.3,,734,,499.6,,321.2,,53814,,56374,,57395,,37362,
01-03/1991,489.4,,742.1,,351.3,,334,,54838,,58080,,58158,,47581,
04-06/1991,592.4,,648.1,,462.2,,378.9,,66255,,82184,,65493,,52193,
07-09/1991,636.1,,725,,486.3,,359.8,,78432,,80922,,67830,,58674,
10-12/1991,674.3,,771.1,,562.4,,369.1,,77954,,84686,,62973,,58348,
01-03/1992,622.3,,762.7,,480,,364,,83802,,101001,,77147,,67121,
04-06/1992,677.4,,788,,519.2,,406.8,,88785,,100398,,91558,,81686,
07-09/1992,851.7,,886.5,,530.2,,435.1,,91463,,120947,,77790,,76682,
10-12/1992,814.8,,897.6,,636.2,,517.6,,104143,,117109,,92875,,79243,
01-03/1993,711.8,,892.9,,628.8,,519.3,,144879,,135848,,88474,,66977,
04-06/1993,818.9,,919.9,,662,,573.1,,140121,,139877,,116344,,94120,
07-09/1993,893.6,,937.5,,751.7,,600.8,,138814,,143703,,117213,,106052,
10-12/1993,876.7,,971,,734.9,,575.7,,145568,,124578,,115487,,100975,
01-03/1994,854.2,,897.6,,696.5,,564.8,,141762,,156262,,121372,,106232,
04-06/1994,909.4,,1084.3,,701.9,,584.5,,152412,,176895,,136893,,94892,
07-09/1994,1040,,1066.2,,758.6,,643.3,,139669,,185058,,124283,,90012,
10-12/1994,954.1,,1063,,761.8,,671.1,,166844,,163818,,134489,,95053,
01-03/1995,1050.2,,1153.8,,830.2,,634.4,,145947,,150096,,116408,,95857,
04-06/1995,1009.9,,1148.3,,951.5,,651.5,,129915,,149589,,147046,,105585,
07-09/1995,1021.7,,1102.3,,835.7,,731.6,,139915,,143816,,132262,,103475,
10-12/1995,1040.1,,1220.8,,903.4,,647.4,,135341,,134526,,182402,,91352,
01-03/1996,954.8,,1067.4,,712.3,,631.7,,146636,,208421,,128663,,98585,
04-06/1996,923.6,,1151.1,,786.2,,645.2,,156309,,188903,,163084,,108952,
07-09/1996,1045.1,,1152.2,,726,,776.1,,146604,,178752,,134071,,108215,
10-12/1996,1016.4,,1250.9,,883.9,,809.9,,167920,,228282,,146307,,122484,
01-03/1997,1036.8,,1318.4,,849.2,,715.1,,222543,,307845,,184983,,141456,
04-06/1997,1205.4,,1391.3,,954.8,,791.5,,210446,,325267,,181288,,180046,
07-09/1997,1096.7,,1248.4,,946.1,,871.5,,238546,,404458,,190213,,200580,
10-12/1997,1069.6,,1287.9,,814.7,,818.8,,229416,,345500,,229748,,175739,
01-03/1998,958.7,,1189.5,,799.3,,704.5,,192512,,258596,,129436,,160799,
04-06/1998,941.8,,1065.3,,743.6,,717.9,,166570,,227714,,126438,,139660,
07-09/1998,893.1,,1011.9,,664.7,,731.1,,131858,,148781,,98510,,128811,
10-12/1998,843.5,,1148.5,,761.4,,710.7,,118337,,178204,,102377,,102669,
