PRIVATE  RETAIL  -  AVERAGE  RENTS  AND  PRICES [QUARTER[FROM99]],,,,,,,,,,,,
Quarter,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-03/1999,785,,832,,603,,120296,,170880,,118316,
04-06/1999,772,,843,,668,,137119,,170794,,109663,
07-09/1999,784,,938,,668,,158919,,183239,,108245,
10-12/1999,752,,930,,739,,113060,,143140,,113535,
01-03/2000,790,,947,,681,,118601,,140883,,85018,
04-06/2000,803,,934,,731,,150302,,140018,,91826,
07-09/2000,804,,982,,753,,115026,,160827,,106409,
10-12/2000,793,,1025,,816,,104891,,168000,,71698,
01-03/2001,853,,937,,675,,99723,,143046,,88286,
04-06/2001,817,,884,,701,,105196,,125084,,94619,
07-09/2001,835,,893,,712,,127528,,122459,,104109,
10-12/2001,937,,1040,,646,,107908,,110136,,83811,
01-03/2002,806,,859,,637,,104769,,118044,,120461,
04-06/2002,816,,854,,673,,134395,,144172,,116070,
07-09/2002,746,,817,,590,,117120,,125606,,87940,
10-12/2002,796,,943,,688,,134958,,93409,,108064,
01-03/2003,823,,826,,621,,110442,,114771,,94171,
04-06/2003,716,,748,,596,,132164,,91874,,93771,
07-09/2003,700,,782,,708,,95782,,124245,,89909,
10-12/2003,784,,992,,733,,135563,,157043,,106161,
01-03/2004,801,,849,,705,,193409,,241025,,113491,
04-06/2004,845,,860,,696,,129087,,179316,,105066,
07-09/2004,863,,899,,673,,157928,,162589,,96537,
10-12/2004,860,,994,,774,,189420,,240190,,125087,
01-03/2005,869,,910,,783,,189428,,248017,,158836,
04-06/2005,942,,879,,716,,199444,,252045,,126364,
07-09/2005,942,,1008,,781,,169465,,192670,,119868,
10-12/2005,998,,1125,,791,,160055,,173810,,163876,
01-03/2006,917,,1036,,786,,158165,,168738,,108207,
04-06/2006,985,,887,,725,,178834,,186769,,105994,
07-09/2006,1049,,1026,,740,,157633,,210032,,109592,
10-12/2006,1039,,1077,,895,,158557,,165715,,122797,
01-03/2007,1024,,905,,743,,195253,,175901,,125239,
04-06/2007,1029,,945,,779,,233792,,224521,,136962,
07-09/2007,1099,,1064,,880,,222817,,216574,,165493,
10-12/2007,1092,,1194,,857,,289082,,219386,,136800,
01-03/2008,1173,,1056,,930,,255329,,265563,,152340,
04-06/2008,1113,,1073,,862,,225917,,241121,,133307,
07-09/2008,1344,,1130,,867,,237439,,209386,,159203,
10-12/2008,1107,,1184,,927,,171268,,203545,,120417,
01-03/2009,974,,1040,,817,,209888,,236847,,115495,
04-06/2009,1032,,970,,822,,318545,,246593,,150889,
07-09/2009,1155,,1075,,892,,282314,,260181,,156497,
10-12/2009,1150,,1236,,891,,314543,,245808,,165297,
01-03/2010,1177,,1090,,875,,309735,,270446,,180321,
04-06/2010,1196,,1110,,915,,258505,,275299,,199810,
07-09/2010,1352,,1216,,991,,306273,,281121,,190613,
10-12/2010,1228,,1289,,983,,330295,,336586,,208951,
01-03/2011,1166,,1119,,960,,401533,,344251,,225725,
04-06/2011,1326,,1171,,1034,,379438,,369891,,277997,
07-09/2011,1353,,1343,,1093,,434453,,296398,,246813,
10-12/2011,1323,,1351,,1047,,474396,,435412,,264477,
01-03/2012,1345,,1337,,1086,,595225,,438755,,248167,
04-06/2012,1428,,1438,,1174,,464998,,445821,,293599,
07-09/2012,1574,,1439,,1209,,478336,,427941,,315330,
10-12/2012,1528,,1570,,1153,,494108,,469108,,344475,
01-03/2013,1508,,1400,,1086,,544659,,449151,,378626,
04-06/2013,1539,,1391,,1188,,435231,,388404,,293813,
07-09/2013,1593,,1625,,1216,,587932,,446203,,362830,
10-12/2013,1545,,1503,,1185,,503381,,421943,,365712,
01-03/2014,1522,,1492,,1154,,612374,,455560,,428597,
04-06/2014,1704,,1472,,1265,,401570,,385027,,362170,
07-09/2014,1688,,1523,,1297,,376252,,405308,,380910,
10-12/2014,1551,,1676,,1245,,466101,,455101,,383570,
01-03/2015,1480,,1630,,1252,,548587,,406309,,382118,
04-06/2015,1672,,1540,,1339,,517023,,404616,,395858,
07-09/2015,1644,,1513,,1279,,671517,,454781,,320643,
10-12/2015,1625,,1378,,1244,,505085,,322368,,365441,
01-03/2016,1584,,1322,,1255,,615213,,409978,,415510,
04-06/2016,1478,,1319,,1346,,419123,,356902,,363001,
07-09/2016,1525,,1341,,1288,,437408,,412819,,375678,
10-12/2016,1418,,1379,,1292,,463764,,437114,,423286,
01-03/2017,1526,,1376,,1268,,557637,,330436,,385244,
04-06/2017,1547,,1328,,1340,,460732,,410039,,428664,
07-09/2017,1481,,1424,,1328,,513009,,403403,,411038,
10-12/2017,1515,,1472,,1349,,585817,,357576,,381609,
01-03/2018,1491,,1463,,1296,,416039,,489627,,426626,
04-06/2018,1500,,1421,,1340,,594472,,428472,,364461,
07-09/2018,1625,,1428,,1388,,454544,,443532,,462205,
10-12/2018,1511,,1411,,1359,,500357,,358294,,345395,
01-03/2019,1529,,1442,,1356,,580583,,381240,,379316,
04-06/2019,1679,,1380,,1383,,425536,,380294,,329627,
07-09/2019,1497,,1411,,1360,,513651,,427000,,530362,
10-12/2019,1354,,1348,,1290,,543203,,382124,,369972,
01-03/2020,1261,,1166,,1175,,492638,,330793,,327965,
04-06/2020,1151,,1124,,1163,,508085,,459243,,427506,
07-09/2020,1209,,1104,,1185,,355218,,388437,,328562,
10-12/2020,1225,,1126,,1150,,426990,,361655,,435262,
01-03/2021,1258,,1121,,1239,,518298,,455550,,418874,
04-06/2021,1275,,1098,,1230,,555843,,394676,,407006,
07-09/2021,1274,,1113,,1209,,604938,,388096,,431209,
10-12/2021,1247,,1142,,1199,,515503,,386752,,400084,
01-03/2022,1249,,1096,,1147,,561749,,436807,,368577,
04-06/2022,1175,,1099,,1158,,383846,,429526,,389545,
07-09/2022,1238,,1085,,1171,,466288,,332016,,400075,
10-12/2022,1128,,1141,,1195,,555009,,256696,,263228,
01-03/2023,1253,,1108,,1197,,470386,,434610,,372726,
04-06/2023,1316,,1184,,1197,,633827,,391678,,405487,
07-09/2023,1301,,1174,,1220,,447738,,329844,,250405,
10-12/2023,1205,,1210,,1175,,496447,,265511,,311112,
01-03/2024,1123,,1105,,1156,,284935,Z,342019,,386731,
04-06/2024,1160,,1062,,1152,,369634,,335053,,308035,
07-09/2024,1237,,1058,,1104,,335439,,319058,,260144,
10-12/2024,1101,P,1264,P,1126,P,270049,P,249843,P,266229,P
