PRIVATE  RETAIL  -  RENTAL  AND  PRICE  INDICES [MONTHLY],,,,
Month,Rents,Rents - Remarks,Prices,Prices - Remarks
01-1993,99.2,,105.7,
02-1993,100.4,,107.7,
03-1993,100.7,,108.9,
04-1993,99.9,,106.1,
05-1993,101.8,,115.4,
06-1993,102.1,,118.9,
07-1993,101.3,,117.9,
08-1993,104.1,,113.4,
09-1993,103.5,,112.5,
10-1993,104.7,,114.8,
11-1993,105.7,,119.2,
12-1993,105.3,,119.1,
01-1994,111.4,,127.9,
02-1994,109.7,,130.9,
03-1994,113.3,,132.2,
04-1994,113.9,,139.2,
05-1994,117.4,,138.3,
06-1994,116.3,,135.8,
07-1994,118.2,,144,
08-1994,118,,129.6,
09-1994,118.5,,130.5,
10-1994,122.2,,130.1,
11-1994,119.4,,133.9,
12-1994,119.9,,129.8,
01-1995,119.4,,130.1,
02-1995,119.7,,121.7,
03-1995,117.9,,130.2,
04-1995,119.2,,136.8,
05-1995,118.1,,133.4,
06-1995,119.6,,134.7,
07-1995,117.4,,128.5,
08-1995,116.6,,127,
09-1995,115.7,,125.3,
10-1995,114.8,,139.6,
11-1995,116.1,,122.7,
12-1995,119.2,,125.9,
01-1996,115.4,,134.8,
02-1996,117.1,,135,
03-1996,115.2,,127.5,
04-1996,112.6,,126.4,
05-1996,116.4,,136.7,
06-1996,115.4,,134.4,
07-1996,118.5,,130.3,
08-1996,119.2,,129,
09-1996,119.2,,138.5,
10-1996,121.2,,132.5,
11-1996,121.9,,138.7,
12-1996,121.8,,144.5,
01-1997,119.3,,150.8,
02-1997,123.5,,156.2,
03-1997,120.5,,168,
04-1997,123,,170.7,
05-1997,122.9,,182.9,
06-1997,126.8,,180,
07-1997,124.2,,181.7,
08-1997,125.2,,195.9,
09-1997,124.5,,202.6,
10-1997,123.5,,192.2,
11-1997,123.7,,181.1,
12-1997,125.2,,165.3,
01-1998,120.9,,175,
02-1998,117.4,,159.9,
03-1998,115.7,,144.9,
04-1998,113.2,,138.5,
05-1998,114.7,,138.9,
06-1998,112.6,,135.1,
07-1998,111.1,,123,
08-1998,107.4,,105.3,
09-1998,106.1,,110.8,
10-1998,106.6,,98.6,
11-1998,104,,106.8,
12-1998,104.2,,102.7,
01-1999,99.9,,104,
02-1999,100.5,,97.9,
03-1999,100.8,,100.8,
04-1999,99.6,,100.9,
05-1999,99.2,,101.9,
06-1999,99,,103.2,
07-1999,98.9,,102.5,
08-1999,98.3,,100.4,
09-1999,99.9,,99.5,
10-1999,101.1,,97.7,
11-1999,101.4,,95.3,
12-1999,101.6,,95.5,
01-2000,100.4,,97.2,
02-2000,100.4,,97.6,
03-2000,100.9,,99.7,
04-2000,100.2,,97.6,
05-2000,100.9,,93.9,
06-2000,101.4,,89.4,
07-2000,101.3,,87.1,
08-2000,100.5,,92.2,
09-2000,102.1,,94,
10-2000,101.8,,91.3,
11-2000,103,,91.2,
12-2000,102.2,,92.4,
01-2001,102.2,,92,
02-2001,101.6,,87.9,
03-2001,99.7,,87.3,
04-2001,99,,86.8,
05-2001,100.3,,87.1,
06-2001,100.4,,87.3,
07-2001,99.9,,87.2,
08-2001,99.2,,88.2,
09-2001,98.3,,85.5,
10-2001,98.7,,83.6,
11-2001,97.2,,83.7,
12-2001,96.3,,84.6,
01-2002,95.2,,85,
02-2002,93.6,,84.7,
03-2002,93.3,,83.5,
04-2002,93,,85.3,
05-2002,92.6,,86.7,
06-2002,92.3,,87.7,
07-2002,92.9,,87.1,
08-2002,92.4,,86.9,
09-2002,93,,84.2,
10-2002,92.5,,84.1,
11-2002,92.3,,83.7,
12-2002,91.6,,81.3,
01-2003,90.1,,82.6,
02-2003,89.2,,80.9,
03-2003,87.9,,79.6,
04-2003,84.4,,80,
05-2003,84,,82.6,
06-2003,83.9,,82,
07-2003,84.4,,79.4,
08-2003,84.5,,85.4,
09-2003,85.8,,87.4,
10-2003,87,,92.9,
11-2003,87.4,,94.7,
12-2003,87.8,,98.2,
01-2004,87.9,,101.6,
02-2004,89.8,,111.3,
03-2004,89.1,,115.1,
04-2004,91.5,,115.7,
05-2004,92.4,,116.3,
06-2004,92.1,,113.7,
07-2004,93.2,,116,
08-2004,93.9,,115.4,
09-2004,96.1,,124.4,
10-2004,95.7,,127,
11-2004,95.3,,133.8,
12-2004,97,,141.8,
01-2005,96.4,,145.7,
02-2005,96.4,,137.8,
03-2005,97.7,,149.5,
04-2005,96.2,,151.7,
05-2005,99.7,,149.9,
06-2005,101.1,,157.3,
07-2005,102.3,,143.8,
08-2005,102.4,,148.4,
09-2005,103.9,,154.4,
10-2005,102.7,,153.2,
11-2005,103.8,,151.6,
12-2005,103.6,,148.2,
01-2006,102.9,,146.3,
02-2006,102.9,,155.3,
03-2006,103.9,,153.3,
04-2006,101.6,,155.8,
05-2006,103.6,,157.5,
06-2006,103.3,,150.2,
07-2006,104,,151.3,
08-2006,103.6,,153.4,
09-2006,104.7,,156.9,
10-2006,105.9,,152,
11-2006,107.9,,153.7,
12-2006,106.9,,156.5,
01-2007,107.4,,158.9,
02-2007,107.9,,157.9,
03-2007,108.9,,159.7,
04-2007,108.6,,165.1,
05-2007,110,,169.5,
06-2007,111,,171.4,
07-2007,112.5,,174.9,
08-2007,113.4,,176.4,
09-2007,114.5,,178.5,
10-2007,115.4,,182.6,
11-2007,115.9,,186.4,
12-2007,116.4,,188.8,
01-2008,116.6,,193.5,
02-2008,116.8,,197.2,
03-2008,116.9,,200.8,
04-2008,117.2,,202.9,
05-2008,116.9,,203.8,
06-2008,117.5,,205.9,
07-2008,117.8,,200.7,
08-2008,116.5,,195.6,
09-2008,116.3,,185.5,
10-2008,116,,178.4,
11-2008,114.8,,172.4,
12-2008,111.6,,170.2,
01-2009,108.7,,162.5,
02-2009,108,,162.8,
03-2009,107.9,,167.8,
04-2009,106.7,,171.8,
05-2009,108.6,,183.8,
06-2009,109.2,,189.5,
07-2009,110.7,,196.8,
08-2009,111.5,,207.3,
09-2009,112.6,,213.6,
10-2009,113.6,,215.8,
11-2009,115.8,,220.1,
12-2009,117.3,,225.9,
01-2010,117.8,,229.4,
02-2010,117.9,,233.3,
03-2010,118.6,,238.5,
04-2010,119.6,,244.8,
05-2010,121.9,,247.6,
06-2010,122.9,,251.5,
07-2010,123,,255.9,
08-2010,125,,262.6,
09-2010,125.7,,270,
10-2010,126.6,,278.7,
11-2010,127.6,,286.8,
12-2010,128.5,,287.8,
01-2011,126.9,,295.3,
02-2011,128,,305.3,
03-2011,129.2,,313.1,
04-2011,130.4,,321.9,
05-2011,133.6,,323.6,
06-2011,135.6,,328.2,
07-2011,135,,330.6,
08-2011,136.4,,334.1,
09-2011,138.3,,343.5,
10-2011,137.2,,343,
11-2011,140,,344.6,
12-2011,140.6,,345.1,
01-2012,141,,351.8,
02-2012,143.7,,362.2,
03-2012,145.1,,375.6,
04-2012,147.7,,387.7,
05-2012,151.1,,401.8,
06-2012,151,,416.9,
07-2012,152.7,,432.1,
08-2012,154.4,,435,
09-2012,156,,450.8,
10-2012,156.9,,467.5,
11-2012,158,,479.6,
12-2012,158.3,,485.2,
01-2013,159.2,,496.5,
02-2013,160.6,,503.4,
03-2013,161.4,,504,
04-2013,163.1,,506,
05-2013,166.6,,508.9,
06-2013,167.5,,512.2,
07-2013,168.2,,513.8,
08-2013,167.6,,510.1,
09-2013,168.6,,508.6,
10-2013,167.5,,507.7,
11-2013,166.9,,504.7,
12-2013,169.2,,505.2,
01-2014,168.9,,505.3,
02-2014,169.4,,505,
03-2014,169.7,,506.3,
04-2014,170.8,,510.9,
05-2014,173,,514,
06-2014,173.6,,516.3,
07-2014,173.7,,520.3,
08-2014,174,,525.2,
09-2014,175,,527.3,
10-2014,175.2,,535.8,
11-2014,176.1,,543.6,
12-2014,177.9,,544.4,
01-2015,179.2,,547.7,
02-2015,180.5,,550.4,
03-2015,180.8,,556.9,
04-2015,181.7,,557.7,
05-2015,182.4,,558.7,
06-2015,183,,561.4,
07-2015,184.9,,569.4,
08-2015,184.9,,571.1,
09-2015,184.9,,573.6,
10-2015,182.5,,566.5,
11-2015,182.5,,557,
12-2015,182.4,,540.5,
01-2016,180.6,,534.7,
02-2016,179,,533.9,
03-2016,178.3,,532,
04-2016,177.2,,531.4,
05-2016,178.4,,526.4,
06-2016,178.7,,519.2,
07-2016,177.6,,510.1,
08-2016,177.4,,511.2,
09-2016,177.5,,520.6,
10-2016,179.3,,529.5,
11-2016,179.3,,534.4,
12-2016,179.5,,539.3,
01-2017,179.6,,541.1,
02-2017,181.6,,551.3,
03-2017,179.4,,547.7,
04-2017,180.4,,549.6,
05-2017,181.2,,550,
06-2017,182,,553,
07-2017,183.1,,557.5,
08-2017,183.3,,562.1,
09-2017,184.3,,567.4,
10-2017,184.4,,569.1,
11-2017,184.4,,574.8,
12-2017,186.2,,577,
01-2018,185.2,,581.8,
02-2018,185.5,,583.3,
03-2018,185.6,,587,
04-2018,185.8,,587.6,
05-2018,186.9,,588.9,
06-2018,187,,590.6,
07-2018,187.4,,591.8,
08-2018,187.9,,594.9,
09-2018,188,,598.5,
10-2018,188.8,,600,
11-2018,186.4,,601,
12-2018,188.9,,591.5,
01-2019,188,,578,
02-2019,191.7,,575.2,
03-2019,188.1,,565.1,
04-2019,187.8,,575.7,
05-2019,190,,582.2,
06-2019,189.3,,562.6,
07-2019,190.8,,564.8,
08-2019,189.4,,545.5,
09-2019,186.8,,521.9,
10-2019,183.1,,505.1,
11-2019,179.7,,508.6,
12-2019,181.8,,511.3,
01-2020,177.9,,519.3,
02-2020,172.6,,523.8,
03-2020,171.8,,531.6,
04-2020,167.2,,528.3,
05-2020,167.6,,532.2,
06-2020,168.9,,522.1,
07-2020,168.8,,525.7,
08-2020,169.1,,512.4,
09-2020,168.8,,497.8,
10-2020,165.6,,501,
11-2020,168.5,,511,
