PRIVATE  RETAIL  -  RENTAL  AND  PRICE  INDICES [QUARTERLY],,,,
Quarter,Rents,Rents - Remarks,Prices,Prices - Remarks
01-03/1978,13.3,,-,
04-06/1978,13,,-,
07-09/1978,14.5,,-,
10-12/1978,16,,15,
01-03/1979,17,,17,
04-06/1979,18.9,,17.8,
07-09/1979,18.4,,19.8,
10-12/1979,19.9,,20.2,
01-03/1980,21.9,,25.8,
04-06/1980,25.6,,25.7,
07-09/1980,25.9,,27.2,
10-12/1980,29.9,,29.6,
01-03/1981,30.4,,30.7,
04-06/1981,35.8,,31.4,
07-09/1981,36,,33.6,
10-12/1981,39.8,,32.2,
01-03/1982,39.6,,31,
04-06/1982,41.8,,24.7,
07-09/1982,39.5,,24,
10-12/1982,40.2,,22.2,
01-03/1983,38.6,,20.7,
04-06/1983,37.1,,21.2,
07-09/1983,36.9,,19.3,
10-12/1983,35.6,,17.6,
01-03/1984,34.4,,18.1,
04-06/1984,35.4,,18.4,
07-09/1984,34,,16.9,
10-12/1984,32.9,,17.2,
01-03/1985,35.3,,18.1,
04-06/1985,35.2,,18.8,
07-09/1985,37,,19.5,
10-12/1985,35.7,,20.1,
01-03/1986,37.9,,21.5,
04-06/1986,38.4,,21.6,
07-09/1986,38.7,,21.5,
10-12/1986,37.7,,22.6,
01-03/1987,38.9,,24.5,
04-06/1987,41.1,,25.4,
07-09/1987,45.5,,27.5,
10-12/1987,45.2,,28.5,
01-03/1988,46.8,,30.2,
04-06/1988,47.9,,33.1,
07-09/1988,50.9,,38.2,
10-12/1988,54.5,,40.8,
01-03/1989,58.2,,46,
04-06/1989,63.7,,48.8,
07-09/1989,63.8,,45.4,
10-12/1989,65.1,,46.7,
01-03/1990,67.9,,49.4,
04-06/1990,68.6,,52.1,
07-09/1990,71.1,,53.9,
10-12/1990,72.9,,54.1,
01-03/1991,74.3,,57.8,
04-06/1991,78,,64.5,
07-09/1991,80.2,,68.6,
10-12/1991,84.1,,75,
