PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],,,,,,,,,,,,
Month,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-1999,101,,98,,68,,11762,Z,12267,,6558,
02-1999,111,,104,,75,,9919,Z,11656,,7142,
03-1999,100,,103,,76,,12198,Z,10355,,7440,
04-1999,99,,95,,69,,9633,Z,9275,,6437,
05-1999,101,,96,,70,,9988,Z,9766,,6403,
06-1999,99,,95,,73,,12336,Z,10426,,6135,
07-1999,94,,95,,67,,12646,Z,10531,,6475,
08-1999,87,,95,,69,,11516,Z,9351,,6479,
09-1999,94,,93,,70,,11297,Z,9538,,6762,
10-1999,95,,94,,66,,10072,,9408,,7097,
11-1999,97,,94,,73,,8892,Z,9711,,6333,
12-1999,91,,102,,72,,9261,,9389,,6686,
01-2000,96,,97,,64,,8540,Z,9577,,6429,
02-2000,99,,106,,73,,8542,,10045,,6190,
03-2000,100,,95,,70,,9411,,9540,,6900,
04-2000,91,,94,,66,,10489,Z,10229,,5880,
05-2000,97,,99,,68,,10105,Z,9176,,5874,
06-2000,96,,100,,69,,9701,,9522,,5949,
07-2000,97,,98,,69,,11004,Z,9168,,6199,
08-2000,88,,95,,67,,10535,Z,9530,,6447,
09-2000,91,,103,,65,,9754,Z,9489,,6385,
10-2000,100,,100,,67,,10131,,8235,,6251,
11-2000,98,,96,,67,,9622,,8585,,5943,
12-2000,102,,105,,66,,10048,Z,8736,,5988,
01-2001,92,,97,,61,,7782,Z,7730,,5766,
02-2001,93,,98,,60,,9135,Z,8447,,6090,
03-2001,95,,96,,65,,9529,,8744,,5639,
04-2001,90,,89,,63,,8504,,9156,,5489,
05-2001,89,,93,,67,,8208,,9019,,5592,
06-2001,87,,91,,66,,8366,,8208,,5703,
07-2001,88,,88,,63,,8707,,7985,,5976,
08-2001,80,,90,,67,,8602,,8814,,5647,
09-2001,93,,95,,65,,8350,Z,9120,,5695,
10-2001,83,,86,,63,,7304,Z,7657,,5349,
11-2001,79,,84,,65,,7342,,8301,,5667,
12-2001,82,,92,,63,,7849,,8649,,5307,
01-2002,90,,89,,60,,6474,,8398,,5179,
02-2002,85,,91,,61,,7722,,8733,,5113,
03-2002,87,,94,,64,,8543,Z,7852,,4882,
04-2002,78,,83,,58,,8780,,8053,,4954,
05-2002,81,,86,,58,,9260,,8809,,5359,
06-2002,75,,85,,58,,9550,,9329,,4920,
07-2002,79,,87,,60,,8146,,8434,,4948,
08-2002,79,,88,,59,,7275,,7702,,4889,
09-2002,80,,87,,60,,7535,,8278,,4522,
10-2002,79,,83,,59,,8208,Z,7962,,4665,
11-2002,81,,83,,59,,7687,,7915,,4904,
12-2002,79,,91,,58,,7716,Z,7818,,5004,
01-2003,74,,82,,53,,7672,Z,8050,,5107,
02-2003,74,,80,,53,,9964,Z,8357,,4898,
03-2003,85,,84,,54,,7121,,7635,,4757,
04-2003,71,,77,,52,,6189,Z,8835,,4635,
05-2003,71,,78,,51,,5599,Z,7477,,4283,
06-2003,70,,76,,52,,6628,Z,7455,,4417,
07-2003,68,,74,,51,,7037,,7554,,4673,
08-2003,68,,76,,54,,7703,,7556,,4854,
09-2003,71,,79,,54,,7060,,7844,,4572,
10-2003,70,,77,,54,,6699,,8005,,4576,
11-2003,71,,80,,53,,7972,,8255,,4419,
12-2003,66,,80,,58,,7636,,8633,,5262,
01-2004,72,,86,,53,,8177,,8571,,5102,
02-2004,71,,79,,51,,8296,,9690,,5070,
03-2004,76,,85,,54,,7717,,8772,,5428,
04-2004,74,,79,,53,,6987,,8426,,5091,
05-2004,68,,79,,52,,6649,,8723,,4929,
06-2004,74,,81,,55,,6841,,9106,,5131,
07-2004,67,,80,,55,,7705,,9563,,5520,
08-2004,72,,83,,54,,9147,,9967,,5478,
09-2004,72,,89,,58,,8740,,10887,,5838,
10-2004,72,,83,,58,,9044,,11578,,5869,
11-2004,69,,82,,63,,8732,,11140,,6089,
12-2004,76,,87,,61,,9276,,12458,,6087,
01-2005,68,,82,,58,,9679,,11656,,6408,
02-2005,68,,88,,58,,7515,,11156,,5777,
03-2005,70,,90,,60,,8482,,13497,,6474,
04-2005,71,,86,,57,,9986,,13636,,6550,
05-2005,74,,89,,58,,10945,,14501,,7110,
06-2005,74,,89,,59,,10865,,14204,,7166,
07-2005,75,,87,,56,,10674,,15881,,7365,
08-2005,75,,84,,56,,12118,,15303,,7485,
09-2005,69,,95,,55,,12474,,14976,,7668,
10-2005,76,,91,,57,,11643,,14099,,7343,
11-2005,74,,96,,56,,12699,,13970,,7365,
12-2005,80,,95,,65,,12634,,15233,,7155,
01-2006,77,,88,,58,,13101,Z,16887,,7102,
02-2006,84,,98,,64,,12211,,15241,,7722,
03-2006,81,,98,,66,,12801,,16684,,7774,
04-2006,82,,93,,59,,14693,,16496,,8002,
05-2006,82,,98,,64,,14992,,17877,,8360,
06-2006,77,,98,,66,,12626,,16374,,9258,
07-2006,85,,98,,63,,13495,,16861,,8891,
08-2006,87,,96,,67,,13545,,17892,,8758,
09-2006,88,,98,,67,,14611,,18781,,8783,
10-2006,88,,101,,67,,16173,,18887,,8420,
11-2006,81,,100,,65,,14943,,18038,,8748,
12-2006,93,,107,,66,,16953,,18418,,8768,
01-2007,85,,100,,67,,16539,,18796,,9009,
02-2007,88,,103,,69,,18857,,19572,,9058,
03-2007,101,,110,,69,,16285,,19307,,9300,
04-2007,89,,100,,63,,18192,,21081,,9837,
05-2007,87,,109,,69,,18417,,20661,,9765,
06-2007,88,,110,,69,,20617,,22498,,9585,
07-2007,99,,109,,67,,18344,,22066,,9548,
08-2007,92,,110,,70,,21399,,23166,,10049,
09-2007,92,,114,,73,,21578,,23342,,10870,
10-2007,90,,112,,70,,19844,,23060,,11039,
11-2007,94,,116,,71,,19445,,25708,,11067,
12-2007,106,,114,,76,,18066,,25772,,11775,
01-2008,105,,110,,71,,19888,,27174,,11639,
02-2008,121,,117,,79,,20177,,27608,,11941,
03-2008,109,,127,,75,,25198,,27273,,12694,
04-2008,109,,115,,71,,27785,,27144,,13179,
05-2008,107,,118,,73,,19412,,27043,,12296,
06-2008,115,,123,,76,,22973,,28259,,13342,
07-2008,102,,118,,76,,22834,,28877,,13194,
08-2008,114,,119,,77,,25621,,27100,,13080,
09-2008,107,,118,,79,,25539,Z,24024,,13119,
10-2008,105,,119,,73,,25724,Z,26821,,13124,
11-2008,109,,115,,76,,21586,Z,31340,,12770,
12-2008,114,,113,,73,,26188,Z,23117,,10621,
01-2009,97,,105,,71,,21427,Z,22102,,12062,
02-2009,103,,103,,71,,16906,Z,21885,,10985,
03-2009,99,,103,,72,,20482,Z,19711,,11179,
04-2009,98,,100,,65,,19462,Z,23479,,11036,
05-2009,87,,100,,66,,20850,,25481,,12236,
06-2009,93,,105,,69,,22183,,23712,,12293,
07-2009,93,,102,,70,,26644,,24253,,12147,
08-2009,98,,103,,73,,24010,,24081,,12125,
09-2009,96,,103,,72,,26750,,25386,,12924,
10-2009,104,,106,,66,,25379,,26329,,13730,
11-2009,105,,107,,73,,24977,,25681,,13674,
12-2009,99,,117,,76,,30445,,27591,,13747,
01-2010,98,,107,,70,,28768,,27328,,14369,
02-2010,109,,111,,73,,29884,,28037,,13709,
03-2010,106,,112,,74,,27923,,29048,,15189,
04-2010,104,,112,,71,,26733,,31288,,15732,
05-2010,104,,111,,73,,30061,,32394,,14357,
06-2010,104,,117,,78,,30003,,30353,,15452,
07-2010,109,,117,,75,,29409,,31056,,15892,
08-2010,101,,115,,74,,30560,,31718,,16465,
09-2010,101,,114,,80,,31595,,32832,,17195,
10-2010,105,,115,,76,,33449,,32275,,17757,
11-2010,116,,119,,79,,31495,,36600,,17794,
12-2010,117,,123,,80,,40149,,36478,,17172,
01-2011,116,,112,,75,,38536,,35703,,19533,
02-2011,110,,117,,82,,32801,,41996,,20159,
03-2011,112,,122,,84,,36002,,39736,,21543,
04-2011,108,,120,,79,,39701,Z,40711,,22451,
05-2011,103,,123,,80,,38521,,42110,,22874,
06-2011,121,,124,,83,,39923,,44029,,24839,
07-2011,116,,125,,83,,46419,,43656,,24219,
08-2011,118,,126,,85,,45555,Z,41653,,24953,
09-2011,114,,127,,86,,43608,,45833,,24174,
10-2011,127,,128,,83,,42411,Z,42050,,23818,
11-2011,125,,131,,85,,43469,Z,45290,,23672,
12-2011,115,,134,,86,,44711,Z,45992,,23325,
01-2012,131,,122,,81,,46717,Z,44194,,24929,
02-2012,121,,132,,89,,42118,Z,46372,,24921,
03-2012,133,,136,,86,,47024,,50106,,24596,
04-2012,117,,129,,83,,48184,,50878,,26593,
05-2012,127,,134,,90,,46439,,49917,,26830,
06-2012,125,,140,,91,,46630,,50982,,26868,
