PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [QUARTERLY[82-98]],,,,,,,,,,,,,,,,
Quarter,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Kowloon),Rents (New Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Kowloon),Prices (New Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-03/1982,45.5,Z,66.1,Z,42.7,,29.2,,5808,Z,7767,Z,4769,,N.A.,
04-06/1982,44.9,,64.1,Z,46.4,,30.7,,6501,,8757,Z,4360,,N.A.,
07-09/1982,43.5,Z,53.3,Z,44.7,,38.8,,6339,Z,8156,Z,4402,,N.A.,
10-12/1982,53,Z,48.2,,39.9,,31.8,,3882,Z,-,,3785,Z,N.A.,
01-03/1983,41.3,,48.8,,37.1,,27.1,,4926,Z,5414,Z,4451,,N.A.,
04-06/1983,36.4,,45.5,,35,,24.7,,3763,Z,4204,Z,3599,,N.A.,
07-09/1983,40.9,,46.6,Z,32.5,,26.7,,4810,,5402,Z,3669,,N.A.,
10-12/1983,33.1,,44.5,Z,32.2,,24.2,,4264,Z,4101,Z,3275,,N.A.,
01-03/1984,29.8,,45.9,,34.3,,24.4,,4179,,3933,Z,3440,,2611,#
04-06/1984,34.2,,42.7,,31.8,,24.5,,3608,Z,3680,Z,3618,,2708,#
07-09/1984,33.6,,45,Z,37.6,,25.3,,3706,Z,3632,Z,3401,,2688,#
10-12/1984,33.9,,46.4,Z,34.7,,25.5,,2708,Z,3974,Z,3376,,2856,#
01-03/1985,38.4,,41.3,Z,39.4,,26,,3827,,4583,,3735,,2767,@
04-06/1985,42.1,,48.5,Z,39.4,,27.2,,4446,,4977,Z,3921,,2865,@
07-09/1985,40.6,,39.3,Z,42.5,,28.6,,4660,,4713,,3958,,2851,@
10-12/1985,38.6,,43.3,,44.5,,27.9,,4896,,5035,Z,4030,,3101,@
01-03/1986,43.1,,40.1,,46.8,,30.4,,4341,,4681,,3960,,3676,@
04-06/1986,38.3,,41.1,,44.9,,31.6,,4406,,4536,,4067,,2918,@
07-09/1986,38.3,,45.4,Z,39.2,,31.5,,4336,,4914,,4028,,2804,+
10-12/1986,39.2,,45.9,,40.5,,32.9,,4353,,4776,,4313,,3195,
01-03/1987,41.4,,43.4,Z,41.8,,35.3,,4540,,5509,,4664,,3615,
04-06/1987,44.6,Z,39.2,Z,43.1,Z,40.6,,4900,,5645,,5364,,4056,
07-09/1987,51.5,Z,33.2,Z,58,Z,55.8,,5814,,6609,,5979,,4604,
10-12/1987,49.7,Z,48.7,Z,52.6,Z,46.9,,6429,,7356,,6367,,4857,
01-03/1988,73.8,Z,56.9,Z,74.2,Z,48.4,,6389,,8046,,6672,,5427,
04-06/1988,62.3,,56.7,Z,58.9,,52.5,,7529,,9015,,7862,,5954,
07-09/1988,67.6,,68.3,,60.7,,53.2,,8328,,10012,,8618,,6361,
10-12/1988,75.7,,80.2,,70.6,,54.5,,8896,,9790,,9252,,6927,
01-03/1989,90.8,,88.2,,72.5,,64.2,,9401,,10971,,10007,,7154,
04-06/1989,88.4,,92.5,,83.4,,60.9,,10478,,13118,,11360,,7909,
07-09/1989,90,,104.6,,87.7,,61.6,,10997,,10917,Z,11059,,8039,
10-12/1989,98.6,,94.4,,86.5,,65.1,,10695,,12384,,10835,,7842,
01-03/1990,87.5,,99.4,,86.4,,68.8,,11188,,13478,,11852,,8034,
04-06/1990,89.6,,99.2,,89.7,,66.9,,11132,,13082,,11486,,8108,
07-09/1990,89.9,,98,,93.5,,69.3,,11512,,12666,,11975,,8089,
10-12/1990,96,,89.4,,94.1,,69.3,,12961,,12573,,12775,,8281,
01-03/1991,97.2,,96.7,,89.7,,71.2,,12020,,12635,,12391,,8324,
04-06/1991,98.8,,102.6,,90.2,,68.9,,12835,,13818,,12742,,8551,
07-09/1991,102.1,,103.4,,103.9,,73.6,,13250,,14421,,13347,,9186,
10-12/1991,115.4,,107,,102.7,,76.7,,13309,,15135,,14503,,9416,
01-03/1992,101.3,,104,,99.1,,77.2,,15678,,17257,,15067,,10431,
04-06/1992,109.8,,113.2,,101.7,,73.4,,17782,,18359,,17415,,10875,
07-09/1992,114.6,,114.2,,116.5,,82.4,,17949,,17077,,18490,,12697,
10-12/1992,122.7,,108.5,,112.5,,81.7,,18564,,17419,,18296,,12214,
01-03/1993,123.2,,125.9,,123.2,,88,,18891,,19024,,18929,,12924,
04-06/1993,143.4,,124.6,,138,,94.1,,21845,,22466,,21845,,14017,
07-09/1993,141.4,,122.2,,140.4,,89.5,,23496,,22402,,22310,,13798,
10-12/1993,140.8,,120.6,,136,,89.4,,26097,,21032,,23570,,14067,
01-03/1994,136.4,,113.8,,132.3,,89.8,,24835,,23308,,25546,,14652,
04-06/1994,134.8,,128.3,,139.9,,91.8,,24095,,20775,,26489,,13113,
07-09/1994,151.2,,124.5,,152.6,,93.5,,22613,,21009,,23411,,13279,
10-12/1994,141,,123.7,,153.8,,92.8,,23956,,21147,,22649,,14282,
01-03/1995,145.9,,135.9,,148.5,,93.9,,26131,,22001,,22078,,14408,
04-06/1995,145.2,,128.4,,144.5,,92.9,,20555,,20057,,22543,,13322,
07-09/1995,133.7,,132.5,,144.4,,99,,20006,,18140,,19555,,11472,
10-12/1995,149.5,,121.5,,137.4,,97.2,,19417,,17322,,19031,,11578,
01-03/1996,142,,114.2,,133.4,,91.4,,19093,,14580,,19800,,11718,
04-06/1996,141.8,,114.9,,135.2,,92.3,,21822,,17016,,16692,,11631,
07-09/1996,130.7,,106.9,,129.4,,86.4,,17844,,16375,,17372,,11222,
10-12/1996,133.8,,107.9,,134.4,,88.5,,17107,,16480,,20364,,10968,
01-03/1997,137.7,,112.8,,131.1,,92.5,,21059,,17413,,19095,,11504,
04-06/1997,143,,106.4,,131.9,,95.6,,19563,,14740,,18741,,11020,
07-09/1997,137.6,,106.9,,136.3,,92.5,,17755,,13818,,17919,,11324,
