PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [QUARTERLY[FROM99]],,,,,,,,,,,,
Quarter,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-03/1999,103,,101,,72,,11412,,11387,,7054,
04-06/1999,100,,95,,70,,10698,,9821,,6308,
07-09/1999,92,,94,,68,,11698,,9864,,6558,
10-12/1999,95,,97,,70,,9469,,9490,,6693,
01-03/2000,98,,99,,68,,8870,,9644,,6609,
04-06/2000,94,,97,,67,,10055,,9598,,5899,
07-09/2000,92,,98,,67,,10408,,9418,,6347,
10-12/2000,100,,101,,66,,9886,,8521,,6062,
01-03/2001,93,,97,,63,,8963,,8399,,5788,
04-06/2001,89,,91,,65,,8361,,8747,,5595,
07-09/2001,86,,91,,65,,8577,,8643,,5769,
10-12/2001,82,,87,,64,,7536,,8241,,5447,
01-03/2002,88,,91,,61,,7446,,8268,,5045,
04-06/2002,78,,84,,58,,9191,,8670,,5094,
07-09/2002,79,,88,,59,,7643,,8175,,4796,
10-12/2002,80,,86,,59,,7829,,7898,,4869,
01-03/2003,79,,83,,54,,7942,,7938,,4907,
04-06/2003,71,,77,,52,,6174,,7911,,4436,
07-09/2003,69,,77,,53,,7278,,7663,,4696,
10-12/2003,69,,79,,55,,7489,,8337,,4783,
01-03/2004,74,,84,,53,,7977,,9023,,5242,
04-06/2004,72,,79,,53,,6811,,8769,,5053,
07-09/2004,70,,84,,56,,8502,,10232,,5613,
10-12/2004,72,,83,,61,,9060,,11704,,6015,
01-03/2005,69,,87,,59,,8614,,12296,,6290,
04-06/2005,72,,88,,58,,10637,,14120,,6949,
07-09/2005,74,,88,,56,,11666,,15349,,7504,
10-12/2005,77,,94,,59,,12257,,14414,,7290,
01-03/2006,80,,94,,63,,12675,,16358,,7566,
04-06/2006,81,,96,,62,,14032,,16972,,8565,
07-09/2006,86,,97,,66,,13901,,17896,,8810,
10-12/2006,87,,103,,66,,16010,,18471,,8659,
01-03/2007,92,,105,,68,,17175,,19235,,9127,
04-06/2007,88,,106,,67,,19019,,21393,,9727,
07-09/2007,95,,111,,70,,20572,,22780,,10131,
10-12/2007,96,,114,,72,,18962,,24940,,11309,
01-03/2008,111,,119,,74,,21948,,27315,,12067,
04-06/2008,110,,118,,73,,23684,,27495,,12964,
07-09/2008,107,,118,,77,,24446,,26961,,13136,
10-12/2008,109,,116,,74,,24473,,27522,,12252,
01-03/2009,100,,104,,71,,19280,,20880,,11322,
04-06/2009,93,,101,,67,,21217,,24195,,11931,
07-09/2009,95,,103,,72,,25734,,24639,,12394,
10-12/2009,103,,110,,72,,26824,,26536,,13714,
01-03/2010,104,,110,,72,,28912,,28203,,14488,
04-06/2010,104,,113,,74,,29228,,31347,,15210,
07-09/2010,104,,115,,76,,30605,,31899,,16570,
10-12/2010,112,,119,,78,,35192,,35129,,17597,
01-03/2011,113,,118,,80,,36316,,38933,,20569,
04-06/2011,110,,122,,80,,39289,,42171,,23401,
07-09/2011,116,,126,,85,,45255,,43484,,24476,
10-12/2011,123,,131,,85,,43532,,44942,,23607,
01-03/2012,129,,130,,85,,46000,,47778,,24739,
04-06/2012,122,,133,,88,,47060,,50591,,26765,
07-09/2012,128,,136,,92,,56435,,56805,,29526,
10-12/2012,138,,145,,96,,57087,,64655,,36301,
01-03/2013,144,,146,,100,,66132,,72479,,44334,
04-06/2013,137,,149,,102,,71104,,67172,,43665,
07-09/2013,138,,159,,104,,71874,,68839,,43091,
10-12/2013,148,,161,,104,,63077,,65300,,39949,
01-03/2014,151,,161,,110,,67422,,68580,,39772,
04-06/2014,159,,161,,109,,72223,,63451,,40330,
07-09/2014,150,,165,,114,,70887,,68995,,42651,
10-12/2014,161,,170,,118,,76411,,79565,,44247,
01-03/2015,176,,170,,124,,75166,,75437,,48126,
04-06/2015,160,,180,,123,,88324,,75995,,47867,
07-09/2015,170,,181,,125,,79742,,73693,,46921,
10-12/2015,174,,185,,126,,70412,,78665,,46802,
01-03/2016,169,,179,,126,,66373,,69171,,44567,
04-06/2016,177,,178,,130,,76181,,68172,,43920,
07-09/2016,171,,185,,126,,68386,,69280,,45036,
10-12/2016,183,,186,,130,,84690,,74382,,49185,
01-03/2017,184,,184,,133,,77632,,77005,,50057,
04-06/2017,177,,186,,129,,89111,,80417,,51808,
07-09/2017,185,,192,,137,,83245,,80843,,50312,
10-12/2017,200,,199,,139,,88033,,82777,,54451,
01-03/2018,180,,201,,141,,86383,,87392,,55751,
04-06/2018,191,,202,,145,,95451,,93229,,59534,
07-09/2018,200,,205,,148,,91525,,94583,,64444,
10-12/2018,204,,207,,148,,95992,,84041,,68948,
01-03/2019,201,,208,,155,,102587,,84824,,62359,
04-06/2019,204,,207,,152,,94963,,93346,,66814,
07-09/2019,204,,212,,158,,104574,Z,96959,,68486,
10-12/2019,214,,214,,153,,105696,Z,89043,,59639,
01-03/2020,196,,204,,149,,85424,Z,87014,,59995,
04-06/2020,192,,205,,148,,74013,,87198,,59593,
07-09/2020,186,,213,,159,,82328,,88183,,59306,
10-12/2020,196,,208,,150,,80645,,84176,,62054,
01-03/2021,187,,204,,152,,85896,,89216,,61944,
04-06/2021,197,,215,,152,,96755,,87866,,63822,
07-09/2021,200,,220,,161,,104928,,93261,,64546,
10-12/2021,208,,222,,160,,96433,,87088,,64005,
01-03/2022,209,,217,,156,,90714,,92566,,63372,
04-06/2022,203,,216,,158,,98400,Z,90504,,66698,
07-09/2022,200,,228,,166,,86559,Z,89269,,62063,
10-12/2022,198,,226,,165,,83819,,81249,,61370,
01-03/2023,198,,221,,168,,71216,,85447,,60295,
04-06/2023,197,,222,,165,,80623,,81556,,59001,
07-09/2023,210,,224,,169,,70527,Z,84294,,60024,
10-12/2023,206,,227,,168,,81973,,82303,,55073,
01-03/2024,201,,218,,165,,76350,,77947,,57047,
04-06/2024,204,,220,,168,,68519,Z,77840,,53092,
07-09/2024,204,,222,,172,,68206,Z,70066,,49495,
10-12/2024,192,P,253,P,162,P,72705,PZ,74693,P,45896,P
