PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [ANNUAL[DOMESTIC]],,,,,,,,,,,,
Year,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks,Domestic Classes D & E,Domestic Classes D & E - Remarks
1987 ,8.7,,8.9,,9.1,,-,,-,,9.7,
1988 ,8.4,,8.4,,8.8,,-,,-,,9,
1989 ,8.6,,8.6,,8.6,,-,,-,,9,
1990 ,8.8,,8.6,,8.5,,-,,-,,8.5,
1991 ,7.1,,6.9,,7.3,,7.7,,7.6,,7.5,
1992 ,5.6,,5.4,,5.7,,5.9,,6,,5.7,
1993 ,5.5,,5,,5.2,,5.4,,5.3,,5.3,
1994 ,5.4,,4.7,,5,,5.4,,5.2,,5.4,
1995 ,5.7,,5.2,,5.6,,6,,5.8,,6.1,
1996 ,5.2,,4.6,,4.8,,4.9,,4.7,,4.9,
1997 ,4.2,,3.7,,3.8,,3.7,,3.4,,3.6,
1998 ,4.9,,4.1,,4.3,,4.4,,4.4,,4.4,
1999 ,5.2,,4.4,,4.5,,4.5,,4.2,,-,
2000 ,5.8,,4.9,,4.8,,4.7,,4.4,,-,
2001 ,6.3,,5.3,,5.4,,5.4,,5,,-,
2002 ,6.1,,5.1,,5.1,,5,,4.7,,-,
2003 ,6.2,,5.2,,4.8,,4.6,,4.3,,-,
2004 ,5.3,,4.3,,4,,3.7,,3.3,,-,
2005 ,5,,4.1,,3.7,,3.4,,3,,-,
2006 ,5.3,,4.2,,3.8,,3.5,,3.2,,-,
2007 ,5.1,,4.2,,3.7,,3.5,,3,,-,
2008 ,4.8,,4.1,,3.7,,3.5,,3,,-,
2009 ,4.2,,3.5,,3.1,,2.8,,2.5,,-,
2010 ,4,,3.5,,3.1,,2.8,,2.5,,-,
2011 ,3.8,,3.3,,2.9,,2.7,,2.4,,-,
2012 ,3.5,,3,,2.7,,2.5,,2.2,,-,
2013 ,3.2,,2.9,,2.6,,2.4,,2.1,,-,
2014 ,3.1,,2.8,,2.7,,2.4,,2.2,,-,
2015 ,2.9,,2.7,,2.6,,2.4,,2.2,,-,
2016 ,3,,2.7,,2.6,,2.4,,2.2,,-,
2017 ,2.8,,2.5,,2.4,,2.3,,2,,-,
2018 ,2.7,,2.4,,2.3,,2.2,,2,,-,
2019 ,2.6,,2.4,,2.3,,2.1,,2.1,,-,
2020 ,2.4,,2.2,,2.1,,2,,1.9,,-,
2021 ,2.4,,2.2,,2.1,,2,,1.9,,-,
2022 ,2.5,,2.2,,2.1,,2.1,,2,,-,
2023 ,2.9,,2.5,,2.3,,2.2,,2.1,,-,
2024 ,3.5,P,3,P,2.7,P,2.5,P,2.3,P,-,P
