PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [QUARTERLY[DOMESTIC]],,,,,,,,,,,,
Quarter,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks,Domestic Classes D & E,Domestic Classes D & E - Remarks
01-03/1990,8.8,,9,,8.6,,-,,-,,8.8,
04-06/1990,9.1,,8.8,,8.8,,-,,-,,8.8,
07-09/1990,8.8,,8.6,,8.5,,-,,-,,8.6,
10-12/1990,8.5,,8.4,,8.2,,-,,-,,8.2,
01-03/1991,8.3,,8.1,,8,,-,,-,,8.1,
04-06/1991,7.6,,7.4,,7.7,,-,,-,,8.1,
07-09/1991,6.8,,6.5,,6.8,,-,,-,,7.2,
10-12/1991,6.1,,6,,6.4,,-,,-,,6.4,
01-03/1992,5.7,,5.6,,5.7,,-,,-,,5.9,
04-06/1992,5.5,,5.2,,5.3,,-,,-,,5.4,
07-09/1992,5.5,,5.1,,5.6,,-,,-,,5.5,
10-12/1992,5.7,,5.3,,5.5,,-,,-,,5.6,
01-03/1993,5.8,,5.2,,5.6,,-,,-,,5.7,
04-06/1993,5.4,,4.9,,5.3,,-,,-,,5.4,
07-09/1993,5.3,,4.8,,5,,-,,-,,5.2,
10-12/1993,5.5,,5,,5,,-,,-,,4.9,
01-03/1994,5.2,,4.4,,4.4,,-,,-,,4.4,
04-06/1994,5.3,,4.6,,4.8,,-,,-,,5,
07-09/1994,5.3,,4.8,,5.1,,-,,-,,5.6,
10-12/1994,5.5,,4.9,,5.3,,-,,-,,5.7,
01-03/1995,5.5,,4.9,,5.5,,-,,-,,6.1,
04-06/1995,5.6,,5.1,,5.4,,-,,-,,5.8,
07-09/1995,5.8,,5.4,,5.7,,-,,-,,6.1,
10-12/1995,5.8,,5.3,,5.7,,-,,-,,6.1,
01-03/1996,5.6,,4.8,,5.4,,-,,-,,5.5,
04-06/1996,5.4,,4.7,,5,,-,,-,,5.2,
07-09/1996,5.3,,4.7,,5,,-,,-,,5.2,
10-12/1996,5,,4.4,,4.5,,-,,-,,4.6,
01-03/1997,4.4,,3.8,,3.9,,-,,-,,4,
04-06/1997,4.1,,3.6,,3.6,,-,,-,,3.5,
07-09/1997,4.2,,3.7,,3.7,,-,,-,,3.6,
10-12/1997,4.2,,3.7,,3.7,,-,,-,,3.7,
01-03/1998,4.6,,3.8,,4.1,,-,,-,,4.2,
04-06/1998,4.9,,4.1,,4.3,,-,,-,,4.4,
07-09/1998,5.4,,4.5,,4.7,,-,,-,,4.8,
10-12/1998,5.4,,4.4,,4.5,,-,,-,,4.6,
01-03/1999,5.2,,4.4,,4.4,,4.6,,4.5,,-,
04-06/1999,5.1,,4.3,,4.4,,4.4,,4.1,,-,
07-09/1999,5.3,,4.4,,4.5,,4.3,,4.2,,-,
10-12/1999,5.4,,4.6,,4.6,,4.5,,4.1,,-,
01-03/2000,5.4,,4.4,,4.5,,4.4,,4,,-,
04-06/2000,5.8,,4.9,,4.8,,4.6,,4.3,,-,
07-09/2000,5.9,,5,,5,,4.9,,4.6,,-,
10-12/2000,6.2,,5.2,,5.2,,5.1,,4.5,,-,
01-03/2001,6.4,,5.3,,5.3,,5.2,,4.9,,-,
04-06/2001,6.2,,5.2,,5.2,,5.4,,5,,-,
07-09/2001,6.2,,5.3,,5.4,,5.4,,5,,-,
10-12/2001,6.4,,5.3,,5.5,,5.5,,5.2,,-,
01-03/2002,6.1,,5.1,,5.3,,5.3,,4.8,,-,
04-06/2002,6.1,,5,,5.1,,5.1,,4.6,,-,
07-09/2002,6.2,,5.1,,5.2,,5,,4.9,,-,
10-12/2002,6.3,,5.3,,5,,4.9,,4.7,,-,
01-03/2003,6.4,,5.3,,5,,5,,4.6,,-,
04-06/2003,6.4,,5.3,,5.1,,4.9,,4.7,,-,
07-09/2003,6.3,,5.3,,4.9,,4.7,,4.3,,-,
10-12/2003,5.9,,4.9,,4.5,,4.2,,3.9,,-,
01-03/2004,5.4,,4.4,,4,,3.8,,3.3,,-,
04-06/2004,5.3,,4.4,,4,,3.8,,3.3,,-,
07-09/2004,5.3,,4.4,,4,,3.8,,3.3,,-,
10-12/2004,5.1,,4.2,,3.8,,3.5,,3.1,,-,
01-03/2005,4.8,,3.9,,3.7,,3.4,,3,,-,
04-06/2005,4.8,,3.9,,3.6,,3.3,,2.9,,-,
07-09/2005,5,,4.1,,3.7,,3.4,,3.1,,-,
10-12/2005,5.3,,4.3,,4,,3.5,,3.1,,-,
01-03/2006,5.2,,4.2,,3.8,,3.6,,3,,-,
04-06/2006,5.2,,4.1,,3.8,,3.5,,3.1,,-,
07-09/2006,5.3,,4.2,,3.8,,3.5,,3.2,,-,
10-12/2006,5.4,,4.3,,3.8,,3.6,,3.3,,-,
01-03/2007,5.2,,4.3,,3.8,,3.6,,3.1,,-,
04-06/2007,5.2,,4.2,,3.8,,3.6,,3.1,,-,
07-09/2007,5.2,,4.3,,3.8,,3.6,,3.1,,-,
10-12/2007,4.9,,4.2,,3.6,,3.4,,2.9,,-,
01-03/2008,4.7,,4.1,,3.6,,3.4,,2.9,,-,
04-06/2008,4.8,,4.1,,3.7,,3.4,,3,,-,
07-09/2008,4.9,,4.2,,3.8,,3.7,,3.1,,-,
10-12/2008,5,,4.2,,3.9,,3.8,,3.4,,-,
01-03/2009,4.6,,3.6,,3.4,,3.2,,2.9,,-,
04-06/2009,4.3,,3.5,,3.1,,2.8,,2.5,,-,
07-09/2009,4.1,,3.5,,3,,2.7,,2.4,,-,
10-12/2009,4.1,,3.6,,3.1,,2.7,,2.4,,-,
01-03/2010,4,,3.5,,3.1,,2.7,,2.3,,-,
04-06/2010,4.1,,3.6,,3.1,,2.8,,2.5,,-,
07-09/2010,4,,3.5,,3.1,,2.8,,2.4,,-,
10-12/2010,3.9,,3.5,,3,,2.8,,2.5,,-,
01-03/2011,3.6,,3.3,,2.9,,2.7,,2.4,,-,
04-06/2011,3.6,,3.2,,2.9,,2.6,,2.3,,-,
07-09/2011,3.8,,3.3,,2.9,,2.7,,2.5,,-,
10-12/2011,3.8,,3.3,,3,,2.7,,2.5,,-,
01-03/2012,3.6,,3.2,,2.8,,2.7,,2.4,,-,
04-06/2012,3.5,,3.1,,2.8,,2.5,,2.3,,-,
07-09/2012,3.5,,3.1,,2.8,,2.5,,2.2,,-,
10-12/2012,3.4,,3,,2.8,,2.5,,2.2,,-,
01-03/2013,3.2,,2.9,,2.7,,2.4,,2.2,,-,
04-06/2013,3.1,,2.9,,2.6,,2.4,,2.1,,-,
07-09/2013,3.1,,2.8,,2.6,,2.4,,2.1,,-,
10-12/2013,3.2,,2.9,,2.6,,2.4,,2.1,,-,
01-03/2014,3.2,,2.9,,2.6,,2.4,,2.2,,-,
04-06/2014,3.2,,2.9,,2.7,,2.5,,2.2,,-,
07-09/2014,3.1,,2.8,,2.7,,2.4,,2.2,,-,
10-12/2014,3,,2.7,,2.6,,2.4,,2.2,,-,
