PROPERTY  MARKET  YIELDS  -  PRIVATE  NON-DOMESTIC [ANNUAL[NON-DOMESTIC]],,,,,,,,
Year,Offices - Grade A,Offices - Grade A - Remarks,Offices - Grade B,Offices - Grade B - Remarks,Flatted Factories,Flatted Factories - Remarks,Retail,Retail - Remarks
1987 ,8.5,,9.5,,-,,8.9,
1988 ,9.2,,9.3,,-,,7.9,
1989 ,8.5,,9.2,,-,,7.7,
1990 ,9.2,,9.4,,-,,8,
1991 ,7.9,,8.3,,10.5,,7.3,
1992 ,6.1,,6.5,,8.9,,6.5,
1993 ,5.5,,5.9,,8.2,,5.9,
1994 ,5,,5.1,,8.5,,5.9,
1995 ,5.8,,5.9,,9.5,,6.1,
1996 ,4.8,,5.4,,10,,5.6,
1997 ,4.2,,5,,10,,4.6,
1998 ,6.1,,6.4,,11.5,,5.7,
1999 ,5.6,,6.7,,12.8,,7,
2000 ,6.2,,7.2,,13,,7.8,
2001 ,7.3,,8.4,,13.8,,8.1,
2002 ,7.1,,8.5,,13.9,,7.7,
2003 ,6.3,,7.8,,13.1,,7,
2004 ,3.7,,5.4,,10.9,,5.5,
2005 ,3.9,,4.5,,8.3,,4.9,
2006 ,4.6,,5,,7.2,,4.8,
2007 ,3.9,,4.6,,6.2,,4.6,
2008 ,3.9,,4.6,,5.7,,4.2,
2009 ,3.8,,4.2,,5.5,,3.9,
2010 ,3.2,,3.8,,4.7,,3.4,
2011 ,3.1,,3.4,,3.9,,3,
2012 ,3.1,,3.1,,3.3,,2.5,
2013 ,2.8,,2.9,,2.8,,2.4,
2014 ,2.9,,3,,2.9,,2.4,
2015 ,2.9,,3,,2.9,,2.4,
2016 ,3,,3.2,,3.1,,2.5,
2017 ,2.7,,2.8,,2.9,,2.5,
2018 ,2.4,,2.6,,2.8,,2.4,
2019 ,2.5,,2.7,,2.8,,2.7,
2020 ,2.7,,2.7,,2.9,,2.6,
2021 ,2.5,,2.5,,2.9,,2.5,
2022 ,2.5,@,2.6,,2.9,,2.5,
2023 ,2.6,@,2.8,,3.1,,2.8,
2024 ,3.1,P@,3.5,P~,3.6,P,3.1,P
