PROPERTY  MARKET  YIELDS  -  PRIVATE  NON-DOMESTIC [QUARTERLY[NON-DOMESTIC]],,,,,,,,
Quarter,Offices - Grade A,Offices - Grade A - Remarks,Offices - Grade B,Offices - Grade B - Remarks,Flatted Factories,Flatted Factories - Remarks,Retail,Retail - Remarks
01-03/1990,8.4,,9.5,,-,,8.3,
04-06/1990,10.1,,9.7,,-,,8.1,
07-09/1990,10,,9.6,,-,,8,
10-12/1990,8.4,,9,,-,,8,
01-03/1991,9.7,,9.2,,-,,7.7,
04-06/1991,8.6,,9,,-,,7.5,
07-09/1991,7.5,,8,,-,,7.2,
10-12/1991,7.2,,7.5,,-,,7,
01-03/1992,6.7,,6.9,,-,,6.8,
04-06/1992,6.1,,6.3,,-,,6.3,
07-09/1992,5.8,,6.4,,-,,6.2,
10-12/1992,5.7,,6.2,,-,,6.3,
01-03/1993,5.5,,5.7,,-,,6.1,
04-06/1993,5.6,,6,,-,,5.9,
07-09/1993,5.7,,5.9,,-,,5.9,
10-12/1993,5.3,,5.9,,-,,5.9,
01-03/1994,4.7,,5.2,,-,,5.5,
04-06/1994,4.7,,4.9,,-,,5.8,
07-09/1994,5.1,,5.1,,-,,6.1,
10-12/1994,5.3,,5.1,,-,,6.3,
01-03/1995,5.7,,5.8,,8.7,,6.3,
04-06/1995,5.8,,5.7,,9.3,,6,
07-09/1995,6.2,,6.4,,10.1,,6.2,
10-12/1995,6,,6,,10,,5.9,
01-03/1996,5.1,,5.6,,9.9,,5.7,
04-06/1996,5,,5.2,,9.9,,5.5,
07-09/1996,5.2,,5.6,,9.9,,5.9,
10-12/1996,4.5,,5.4,,10,,5.6,
01-03/1997,4.2,,4.9,,9.7,,4.9,
04-06/1997,4,,4.9,,9.9,,4.6,
07-09/1997,4.5,,5.1,,10.1,,4.2,
10-12/1997,4.8,,5.3,,10.5,,4.5,
01-03/1998,5.6,,6.4,,11.2,,5,
04-06/1998,5.8,,6.6,,11.3,,5.5,
07-09/1998,7.1,,7.1,,11.5,,6.3,
10-12/1998,7,,6.6,,12.5,,6.7,
01-03/1999,6.7,,6.9,,12.6,,6.7,
04-06/1999,5.6,,6.7,,12.8,,6.7,
07-09/1999,5.3,,6.6,,12.5,,6.9,
10-12/1999,5.4,,6.6,,13,,7.4,
01-03/2000,5.6,,6.3,,12.8,,7.2,
04-06/2000,6,,7.1,,13.1,,7.7,
07-09/2000,6.5,,7.6,,13,,8,
10-12/2000,6.7,,7.8,,13.6,,8.1,
01-03/2001,6.9,,7.7,,14,,8.2,
04-06/2001,7.3,,8.2,,13.8,,8.1,
07-09/2001,7.5,,8.8,,13.4,,8.1,
10-12/2001,7.7,,9.1,,14.2,,8.3,
01-03/2002,7,,8.8,,14.3,,7.9,
04-06/2002,7,,8.5,,13.6,,7.6,
07-09/2002,6.9,,8.3,,13.6,,7.6,
10-12/2002,7.3,,8.6,,14,,7.9,
01-03/2003,7.2,,8.6,,13.9,,7.8,
04-06/2003,6.8,,8.5,,13.4,,7.4,
07-09/2003,6.2,,7.9,,12.9,,7.2,
10-12/2003,5.6,,7,,12.6,,6.5,
01-03/2004,4.1,,5.6,,11.8,,5.8,
04-06/2004,3.8,,5.6,,11.7,,5.7,
07-09/2004,3.8,,5.5,,10.8,,5.7,
10-12/2004,3.6,,5.2,,10,,5.1,
01-03/2005,3.4,,4.8,,9.3,,4.8,
04-06/2005,3.7,,4.1,,8.5,,4.7,
07-09/2005,4,,4.3,,7.9,,5,
10-12/2005,4.3,,4.8,,7.9,,5,
01-03/2006,4.8,,5,,7.5,,4.9,
