DOMESTIC  PRIMARY  AND  SECONDARY  SALES  -  NUMBER  OF SALE  AND  PURCHASE  AGREEMENTS  AND  TOTAL CONSIDERATION,,,,
Month,Primary Sales Number,Primary Sales Consideration,Secondary Sales Number,Secondary Sales Consideration
01-2002,2718,8218,5129,9966
02-2002,1506,4305,4189,8070
03-2002,1709,4190,3741,6795
04-2002,2543,6516,4866,8739
05-2002,2257,5844,5068,11097
06-2002,2087,4840,5108,11289
07-2002,755,1866,4206,8406
08-2002,796,2313,4085,7554
09-2002,3278,7005,3000,5108
10-2002,2282,5032,3581,6626
11-2002,1340,3202,3601,5920
12-2002,1817,5757,3312,5594
01-2003,2291,5342,3896,6655
02-2003,966,2001,2683,4405
03-2003,1655,6418,2895,5102
04-2003,2431,5710,2942,4810
05-2003,1257,3314,2873,4174
06-2003,1602,3975,3231,4994
07-2003,2765,6415,3760,6078
08-2003,2766,5755,3793,6448
09-2003,1867,5012,3765,6235
10-2003,3958,13907,5402,13823
11-2003,2602,7897,5209,9739
12-2003,2338,7302,4629,8068
01-2004,2894,8698,4832,9330
02-2004,3734,12848,5715,13463
03-2004,3705,14089,7744,18906
04-2004,1379,6884,7615,19840
05-2004,961,4476,6419,15388
06-2004,2100,6199,5262,11527
07-2004,2421,6587,4490,9439
08-2004,1099,4941,4617,9201
09-2004,1558,6544,5827,12932
10-2004,1801,7923,7010,18662
11-2004,2576,11607,8705,23368
12-2004,1466,6967,6700,16917
01-2005,1056,6021,6853,17269
02-2005,2092,8060,6168,15427
03-2005,993,5049,7680,21639
04-2005,918,5404,13206,33258
05-2005,2471,19273,9992,26527
06-2005,2028,8073,8722,22555
07-2005,1150,7995,6347,16342
08-2005,569,5619,6729,16396
09-2005,524,2515,6576,15418
10-2005,2762,15974,5792,13933
11-2005,1228,8178,5080,11233
12-2005,203,1047,4223,9626
01-2006,148,545,4751,11218
02-2006,251,604,5118,13015
03-2006,895,3440,6561,16406
04-2006,781,4334,6068,15910
05-2006,1137,5848,6675,17525
06-2006,1105,4238,6045,15194
07-2006,552,2063,4846,11701
08-2006,1421,6054,5611,14982
09-2006,3929,13686,5882,15282
10-2006,1165,4455,5170,13697
11-2006,953,4061,6153,15400
12-2006,1649,8397,5606,13973
01-2007,994,4659,6491,16691
02-2007,1267,4820,6537,17312
03-2007,834,4501,7205,20690
04-2007,2410,20854,7120,18588
05-2007,2293,13487,8817,24700
06-2007,1173,6745,8480,24935
07-2007,1402,7493,7786,21239
08-2007,1886,8677,9594,28083
09-2007,2434,7163,6319,16938
10-2007,1901,14913,9370,28916
11-2007,2573,21092,13186,49024
12-2007,956,8066,12547,44445
01-2008,1702,8927,13084,47600
02-2008,690,3614,11891,40151
03-2008,2399,11644,7151,25798
04-2008,540,2702,8507,24862
05-2008,638,3788,7643,22516
06-2008,2058,23532,8147,26899
07-2008,457,5300,6976,19838
08-2008,216,1208,5068,13766
09-2008,917,3575,5158,15158
10-2008,403,5135,4316,11143
11-2008,131,907,3133,8100
12-2008,895,6999,3811,10663
01-2009,507,4134,4368,11990
02-2009,232,1653,4255,11969
03-2009,863,8845,6239,16603
04-2009,1587,8034,8269,23546
05-2009,2525,11478,9263,27945
06-2009,2717,14925,11088,34788
07-2009,1307,8574,10716,34992
08-2009,2301,12865,8949,28122
09-2009,1532,20575,10753,35588
10-2009,627,7593,8673,28741
11-2009,753,10592,8460,27561
12-2009,1210,9954,7898,24771
01-2010,975,5433,9681,30721
02-2010,564,4143,11169,36635
03-2010,2028,14432,8832,33926
04-2010,1975,19177,10261,34105
05-2010,685,6042,10329,36806
06-2010,1318,5627,7812,27369
07-2010,1137,12103,11820,40078
08-2010,1531,21768,13168,47456
09-2010,556,5980,9868,35204
10-2010,1656,15427,7896,29520
11-2010,747,13974,12442,44857
12-2010,474,5597,8854,34306
01-2011,296,3597,7706,29736
02-2011,486,5391,9904,40217
03-2011,1123,12647,9333,39218
04-2011,741,9778,6894,29218
05-2011,2054,17200,7627,32248
06-2011,1050,14850,7993,38006
07-2011,608,10980,4646,20792
08-2011,884,13007,4555,18788
09-2011,231,3586,4592,19373
10-2011,822,6237,3821,16226
11-2011,1189,19900,3606,15866
12-2011,1396,13712,2905,11950
01-2012,879,9707,2628,12480
02-2012,581,6132,3303,12900
03-2012,1435,17546,9923,41494
04-2012,804,9985,7413,34692
05-2012,1092,12894,7257,34458
06-2012,827,9129,5059,24941
07-2012,1670,12177,4039,19596
08-2012,1397,9889,6690,29846
09-2012,644,8505,6657,31932
10-2012,2264,21419,6450,33426
11-2012,1066,10780,5969,31188
12-2012,309,2805,2977,14355
01-2013,632,4895,4798,23647
02-2013,1197,12106,5110,26589
03-2013,1095,7981,3439,19059
04-2013,1045,6805,2382,11909
05-2013,1328,10341,2948,13685
06-2013,135,1074,3605,17625
07-2013,211,1872,3775,19119
08-2013,546,4704,2861,14862
09-2013,871,4749,2815,14219
10-2013,773,4955,2653,13410
11-2013,1151,16483,2639,13899
12-2013,2062,19907,2605,15047
01-2014,1760,14007,2728,13252
02-2014,1142,9983,2017,11096
03-2014,693,8051,2448,12505
04-2014,1136,11005,3645,18112
05-2014,841,8544,4429,23318
06-2014,1375,11078,4585,22799
07-2014,2507,29291,5285,27822
08-2014,1606,16207,4606,25828
09-2014,1182,14776,4776,27387
10-2014,1723,23258,4466,26446
11-2014,1119,13459,3729,21362
12-2014,1773,16498,4236,27333
01-2015,1465,13003,4947,30207
02-2015,1540,13527,4487,27324
03-2015,738,8483,3591,23360
04-2015,1634,16833,2915,18066
05-2015,1808,17805,3360,22395
06-2015,1547,14415,4229,28828
07-2015,1122,15720,4271,28831
08-2015,764,9016,3132,22049
09-2015,1602,14094,2661,19426
10-2015,1404,10601,1896,11919
11-2015,1049,9026,1777,11771
12-2015,2153,18505,1890,11317
01-2016,450,6188,1595,9611
02-2016,234,3077,1573,8692
03-2016,641,7496,1728,9610
04-2016,1294,15975,3200,18519
05-2016,1476,20981,3110,19935
06-2016,1538,13556,3082,19047
07-2016,1142,11828,3101,17905
08-2016,1628,14873,4193,25764
09-2016,3474,28211,4352,27746
10-2016,2251,24198,4350,30306
11-2016,2212,31158,4527,30502
12-2016,453,9048,3097,23815
01-2017,664,8164,2622,19275
02-2017,1474,17465,2605,18995
03-2017,1435,20632,4421,29743
04-2017,2650,38342,4410,31240
05-2017,1275,21342,4457,32218
06-2017,2320,27416,3780,31723
07-2017,952,12133,2563,21079
08-2017,1236,14369,2778,19282
09-2017,2389,23434,3240,21838
10-2017,1541,15809,3748,26079
11-2017,1416,20623,4278,33194
12-2017,1293,20783,4044,31172
01-2018,828,13976,4442,35830
02-2018,1168,17159,4314,33735
03-2018,738,11253,3525,27557
04-2018,2122,26644,4524,35180
05-2018,756,13200,4766,38984
06-2018,2070,29636,4643,38387
07-2018,1753,28775,4338,36462
08-2018,1490,18236,3332,28529
09-2018,1252,17926,2248,19157
10-2018,2337,21382,1906,17189
11-2018,720,9776,1915,16244
12-2018,399,11542,1661,12534
01-2019,2191,28401,2352,16523
02-2019,1654,17551,2435,18529
03-2019,1468,15211,3763,30659
04-2019,2789,27707,5033,42394
05-2019,3246,32682,4962,45764
06-2019,1191,15405,3436,29925
