NON-DOMESTIC  SALES  -  NUMBER  OF  TRANSACTIONS  AND  CONSIDERATION  BY  PROPERTY  TYPE,,,,,,,,,,,,
Month,Offices Number,Offices Number - Remarks,Offices Consideration,Offices Consideration - Remarks,Commercial Number,Commercial Number - Remarks,Commercial Consideration,Commercial Consideration - Remarks,Flatted Factories Number,Flatted Factories Number - Remarks,Flatted Factories Consideration,Flatted Factories Consideration - Remarks
01-2002,142,,287,,307,,1154,,347,,319,
02-2002,82,,375,,179,,1129,,220,,195,
03-2002,144,,546,,207,,1100,,333,,503,
04-2002,174,,440,,232,,1070,,382,,327,
05-2002,156,,424,,345,,2406,,401,,401,
06-2002,142,,502,,308,,1395,,264,,296,
07-2002,121,,317,,278,,1235,,352,,322,
08-2002,127,,653,,254,,850,,298,,251,
09-2002,160,,417,,256,,1162,,282,,267,
10-2002,108,,207,,261,,1499,,272,,166,
11-2002,134,,346,,261,,932,,289,,247,
12-2002,149,,450,,279,,1011,,316,,736,
01-2003,141,,231,,274,,978,,307,,271,
02-2003,105,,282,,196,,749,,184,,151,
03-2003,171,,564,,278,,1090,,342,,269,
04-2003,104,,242,,254,,1038,,250,,188,
05-2003,113,,231,,259,,977,,295,,222,
06-2003,132,,380,,273,,1116,,265,,211,
07-2003,151,,527,,317,,1237,,306,,222,
08-2003,151,,356,,349,,1673,,326,,275,
09-2003,176,,577,,461,,2753,,379,,344,
10-2003,159,,483,,464,,2229,,364,,335,
11-2003,199,,963,,433,,2683,,367,,313,
12-2003,215,,846,,584,,2963,,428,,358,
01-2004,222,,1442,,430,,2569,,276,,257,
02-2004,219,,1137,,598,,4723,,403,,370,
03-2004,380,,2602,,847,,7342,,619,,638,
04-2004,220,,1281,,721,,3185,,427,,507,
05-2004,217,,1089,,597,,3312,,461,,436,
06-2004,218,,1214,,476,,3483,,487,,494,
07-2004,193,,891,,442,,2852,,435,,414,
08-2004,214,,799,,433,,2745,,516,,759,
09-2004,283,,1876,,696,,4646,,553,,711,
10-2004,349,,2080,,614,,5039,,535,,539,
