"PRIVATE   COMMERCIAL  -  COMPLETIONS,   STOCK,   VACANCY   AND   TAKE-UP",,,,,,,,,,
Year,Completions,Completions - Remarks,Stock at year end,Stock at year end - Remarks,Vacancy at year end,Vacancy at year end - Remarks,Vacancy as a % of stock,Vacancy as a % of stock - Remarks,Take-up,Take-up - Remarks
1985,249300,,5817100,,524000,,0.09,,264000,
1986,174000,,5971900,,466300,,0.078,,213000,
1987,283700,,6780000,,367600,,0.054,,358000,
1988,238300,,6978300,,380900,,0.055,,174000,
1989,197000,,7118400,,395100,,0.056,,126000,
1990,239100,,7299000,,381600,,0.052,,194000,
1991,204600,,7546400,,350900,,0.046,,177000,
1992,165000,,7695200,,335600,,0.044,,124200,
1993,273300,,7926800,,481200,,0.061,,71000,
1994,239900,,8049200,,545900,,0.068,,125000,
1995,206700,,8171900,,633400,,0.078,,88400,
1996,120700,,8323800,,754100,,0.091,,48600,
1997,248800,,8530800,,763100,,0.089,,147000,
1998,207500,,8750700,,826800,,0.094,,122100,
1999,205400,,8993900,,823500,,0.092,,188800,
2000,64300,,8968200,,674800,,0.075,,191900,
2001,131500,,9104300,,750900,,0.082,,37300,
2002,138000,,9230700,,990800,,0.107,,-109600,
2003,117900,,9305600,,1002200,,0.108,,54400,
2004,91300,,9407800,,1019400,,0.108,,66100,
2005,110700,,9522400,,980100,,0.103,,139000,
2006,182800,,10395500,,1022600,,0.098,,176000,
2007,48000,,10483500,,849100,,0.081,,211000,
2008,49300,,10587800,,920100,,0.087,,-39200,
2009,83700,,10663800,,931700,,0.087,,42200,
2010,64600,,10744200,,844300,,0.079,,134700,
2011,42200,,10791900,,859200,,0.08,,-6500,
2012,90100,,10862100,,752400,,0.069,,165000,
2013,38400,,10882700,,781500,,0.072,,-14100,
2014,57100,,10917200,,795000,,0.073,,15500,
2015,68300,,10992400,,847400,,0.077,,10300,
2016,123100,,11133200,,998300,,0.09,,-42000,
2017,105000,,11274200,,1014400,,0.09,,76600,
2018,125000,,11433300,,1076700,,0.094,,45700,
2019,117500,,11519700,,1164000,,0.101,,8300,
2020,67300,,11575300,,1320500,,0.114,,-108400,
2021,41500,,11609700,,1181600,,0.102,,144600,
2022,117700,,11692400,,1223700,,0.105,,52200,
2023,90700,,11778300,,1217400,,0.103,,87300,
2024,69100,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).
2025,3000,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).,-,#Provisional figures (up to 31.01.2025).
