"PRIVATE   FLATTED   FACTORIES  -  COMPLETIONS,   STOCK,   VACANCY   AND   TAKE-UP",,,,,,,,,,
Year,Completions,Completions - Remarks,Stock at year end,Stock at year end - Remarks,Vacancy at year end,Vacancy at year end - Remarks,Vacancy as a % of stock,Vacancy as a % of stock - Remarks,Take-up,Take-up - Remarks
1985,456100,,13121400,,715900,,0.055,,389000,
1986,610500,,13708700,,515900,,0.038,,787000,
1987,540600,,14461300,,247200,,0.017,,804000,
1988,1105300,,15505800,,703600,,0.045,,588000,
1989,864200,,16307100,,832600,,0.051,,672000,
1990,585500,,16765900,,885800,,0.053,,385000,
1991,520700,,17113200,,1053700,,0.062,,265000,
1992,555900,,17610100,,1133800,,0.064,,417000,
1993,310900,,17772200,,1069600,,0.06,,226000,
1994,266300,,17606900,,1107800,,0.063,,-73000,
1995,248600,,17687400,,1400500,,0.079,,-206000,
1996,241500,,17818800,,2125400,,0.119,,-272600,
1997,180900,,17930900,,1801900,,0.1,,173300,
1998,30700,,17915600,,1937800,,0.108,,-162400,
1999,3700,,17883900,,1730700,,0.097,,203500,
2000,18700,,17545000,,1484100,,0.085,,66300,
2001,30400,,17569500,,1922800,,0.109,,-447000,
2002,2700,,17559600,,1840300,,0.105,,81500,
2003,-,,17462500,,1844400,,0.106,,-106800,
2004,800,,17480000,,1512400,,0.087,,329100,
2005,-,,17468400,,1273300,,0.073,,218600,
2006,-,,17396500,,1250300,,0.072,,-41600,
2007,15700,,17346600,,1069900,,0.062,,140700,
2008,69500,,17374000,,1133900,,0.065,,-106900,
2009,3000,,17284300,,1388000,,0.08,,-290300,
2010,20600,,17231000,,1145900,,0.067,,260700,
2011,32400,,17182500,,1035700,,0.06,,84700,
2012,46200,,17137100,,863800,,0.05,,150600,
2013,85100,,17160200,,988800,,0.058,,-83500,
2014,35600,,17020800,,958700,,0.056,,-13300,
2015,29700,,16850800,,842600,,0.05,,-70500,
2016,4500,,16729100,,977800,,0.058,,-189300,
2017,22500,,16525600,,1012300,,0.061,,-119700,
2018,41100,,16406000,,1029100,,0.063,,-7500,
2019,56200,,16342300,,971900,,0.059,,60300,
2020,37700,,16283400,,1037600,,0.064,,-109500,
2021,29500,,16172800,,919500,,0.057,,77100,
2022,105000,,16218900,,851600,,0.053,,148700,
2023,57400,,16210300,,930700,,0.057,,-46000,
2024,22900,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).
2025,3000,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).,-,# Provisional figures (up to 31.01.2025).
