PRIVATE   OFFICES  -  STOCK   AT   YEAR   END   BY   GRADE,,,,
Year,Grade A (Stock),Grade B (Stock),Grade C (Stock),Total (Stock)
1985,2235400,1221400,919000,4375800
1986,2242400,1234400,937400,4414200
1987,2191400,1257400,971600,4420400
1988,2413400,1265900,978100,4657400
1989,2621000,1290000,985800,4896800
1990,2685300,1369300,1024100,5078700
1991,3050500,1350800,1120800,5522100
1992,3390200,1508100,1200800,6099100
1993,3540300,1648800,1247000,6436100
1994,3871600,1705100,1284500,6861200
1995,4118300,1757600,1312700,7188600
1996,4274900,1795000,1317700,7387600
1997,4621600,1863800,1396700,7882100
1998,5281000,1926700,1426400,8634100
1999,5194000,2199500,1594700,8988200
2000,5138000,2315300,1622100,9075400
2001,5200200,2351700,1609800,9161700
2002,5257300,2421900,1607300,9286500
2003,5482500,2451400,1605300,9539200
2004,5753200,2440600,1601100,9794900
2005,5732200,2452100,1585400,9769700
2006,5799200,2428800,1584800,9812800
2007,6074900,2465200,1566600,10106700
2008,6394200,2442200,1555900,10392300
2009,6569100,2432500,1527400,10529000
2010,6744000,2424700,1520300,10689000
2011,6817500,2461000,1503600,10782100
2012,6898200,2499100,1493800,10891100
2013,6995900,2487800,1499500,10983200
2014,7061000,2509400,1490300,11060700
2015,7179600,2616400,1487200,11283200
2016,7390600,2664000,1475400,11530000
2017,7595000,2762800,1480400,11838200
2018,7775300,2797300,1480700,12053300
2019,8019300,2814100,1480400,12313800
2020,8101200,2849900,1475700,12426800
2021,8159900,2896100,1483800,12539800
2022,8455500,2986400,1470500,12912400
2023,8617500,3017700,1475300,13110500
