PRIVATE   OFFICES  -  TAKE-UP   BY   GRADE,,,,
Year,Grade A (Take-Up),Grade B (Take-Up),Grade C (Take-Up),Total (Take-Up)
1985,NA,NA,NA,385000
1986,NA,NA,NA,256000
1987,NA,NA,NA,269000
1988,NA,NA,NA,354000
1989,NA,NA,NA,102000
1990,NA,NA,NA,135000
1991,149000,51000,39000,239000
1992,272000,137000,65000,474000
1993,366900,109000,61300,537200
1994,103000,91000,33000,227000
1995,291400,55300,-8300,338400
1996,124400,34800,-2800,156400
1997,262900,43000,7900,313800
1998,232100,7400,14600,254100
1999,434300,-2000,68900,501200
2000,286500,87400,49900,423800
2001,52800,-24400,-25600,2800
2002,1900,-14100,12400,200
2003,61700,45600,10200,117500
2004,249900,61700,61800,373400
2005,324500,73100,22600,420200
2006,80800,62000,24300,167100
2007,140000,13800,15900,169700
2008,349600,3300,-7800,345100
2009,-71300,-22100,-7600,-101000
2010,292000,29000,18100,339100
2011,233700,39500,12200,285400
2012,133700,39900,8000,181600
2013,12100,-15400,-13800,-17100
2014,116300,36900,200,153400
2015,14900,24300,-11900,27300
2016,108200,-5800,-4300,98100
2017,48700,-25700,300,23300
2018,234200,34600,-3000,265800
2019,168600,-20000,-1600,147000
2020,-189200,-56800,-40200,-286200
2021,-18200,-21900,400,-39700
2022,42000,-31700,9000,19300
2023,45300,-2300,-1600,41400
